content,polarity
"Ketika berlibur di Bandung bersama keluarga kami rindu masakan jawa tengah, maka kami sepakat makan siang di Ayam Bakar Wong Solo, ternyata rasa ayam bakarnya sama seperti yang di Semarang, yaitu gurih dan empuk sekali, Salut Deh!",positive
"Sambelnyaaaa.nampol, sedap banget. Ayam bakarnya bumbunya meresap, dikasi sambelnya dua macam enak dan pedaaass. Harga terjangkau, dengan 22 ribu rupiah sudah kenyang dapet paket ayam nasi plus tempe tahu sambel lalap. Tempatnya mudah dijangkau baik oleh kendaraan pribadi maupun angkutan umum.",positive
"Ulasan yang saya berbeda, saya memesan 100 lebih bungkus kotakan nasi ayam bakar wong solo untuk acara organisasi kampus. Untuk ayamnya empuk, lalapannya juga enak segar. Sambelnya tidak kalah maknyuss.",positive
"Rasanya konsisten meski bukan fast food. Saya pernah coba yang di Banjarmasin, Balikpapan, Yogyakarta, Surabaya, rasa sambalnya sama. Enak dan bikin kangen (sambal bawang & sambal kecap). Lele dan nila gorengnya juga OK. Parkiran nya luas. Lele + nasi + teh + tahu+karedok 82 ribu termasuk pajak buat 2 orang.",positive
"Saya memilih menu nasi goreng seafood meskipun ikon mereka ayam bakar. Rasanya enak, nasinya kering dan berasa pas bumbunya. Porsi personalnya pas untuk seorang, tidak berlebihan dan tidak kurang. Seporsi harga 32 ribu rupiah. Untuk teh manis menurut saya terlalu mahal, 8 ribu tanpa penyajian yang istimewa dan rasa teh yang standard untuk sekelas tempat makan wong solo.",positive
"Banyak menu pilihan ayam, tapi yang paling enak ayam penyet, selain pedas di tambah dengan goreng Terung yang pedas, dengan es teh manis rasanya maknyus.",positive
"Dibandung dulu terletak di Jl Dago, setelah tutup sekitar tahun 2007an tahun lalu buka kembali di jalan Riau. dulu terkenalnya ayam bakarnya yang super enak, ditambah dengan cah kangkung pedes dan tempe penyet di goreng dan ditumbuk diatas cobek hmmm enak banget. pas saya coba kembali menu tersebut, yang tidak berubah adalah ayam bakarnya tetep enak. nah untuk yang tidak. Lanjutan",positive
"Walaupun namanya ayam bakar wong solo, tetapi tetap saja memberikan nuansa makan di Sunda. so jangan khawatir yang tidak terlalu suka nuansa makanan solo yang manis. tetap disesuaikan dengan lidah kita",positive
"Untuk orang Indonesia, yang paling penting dari makanannya adalah rasanya yang kaya dengan rempah. Ayam bakarnya enak! Bumbunya pas dan sambalnya juga enak. Standar ayam bakar wong solo yang sudah tersebar di seluruh Indonesia lah! Harganya standar dan tempatnya bersahabat utk keluarga. Kalo bingung mau makan siang di mana, keluarga pasti memilih ke sini~ Jangan khawatir, menunya tidak cuma ayam,. Lanjutan",positive
saya sangat suka dengan ayam kampungnya dan yang paling bikin saya ketagihan adalah sambal bawangnya.huiiihh.ga ada duanya.,positive
