content,polarity
Restoran Sambara berlokasi di tengah kota Bandung dan gampang dicapai. Restoran ini terkenal di kalangan turis dengan suasana restoran yang modern dan makanan yang enak.,positive
"Sebenarnya saya datang di Siang hari dan mengulang di Malam Hari, saat siang saya datang lebih cepat (early) sehingga semua lebih fresh sajian yang kita pilih. sehingga baik makanan dan minuman terasa fresh. Saya coba tanya apakah malah hari.makanan sama fresh dengan siang ini, yang jawab teman saya org bandung bilang.masih fresh karena semua akan di panasi lagi. Karena merasa. Lanjutan",positive
Masakan sunda. tinggal pilih and ambil sendiri untuk menu menu yang di inginkan.suasana dan penyajian yang tradisional ditambah lagi dengan alunan musik khas sunda menambah suasa sana.,positive
"Prnh bbrpa kali mncoba sajian tradisional. tp blm ada yg pas. Nah wktu itu diantar supir Agent dr Bandungtrip mkn siang di Sambara . Layanan awal dtng ramah skali, bnyk disajikan mkanan2 kecil khas sunda tp mnrt sya msh krng pas rasanya. Lanjt ke makanan utama. ini serius, nasi bakarnya enak bgttttt. dibungkus daun pisang dalam nasinya ada potongan ayam. Lanjutan",positive
Datang kesini untuk berbuka puasa bersama keluarga. Masakan lumayan enak dan sepertinya dimasak secara kurang bercita rasa. Penyajian untuk restoran sekelas sambara harusnya bisa lebih sophisticated sehingga bisa menyasar kalangan turis wisata mancanegara dan up-scale customer. Semoga dimasa datang sambara bisa mewakili restoran sunda di Bandung :),positive
"saya sangat senang sekali dibawa kerabat saya ke restauran ini. sebelumnya saya tidak pernah mencoba masakan sunda. yang suka makan ayam cocok disini, ayam yang disajikan beragam sekali variant rasa nya. saya mencoba ayam goreng yang tidak pedas, rasanya enak sekali gurih. bubur sumsum dan sambal hiaat disini juga enak.",positive
"Letaknya dekat dengan gedung sate, tempatnya cozy, pilih sendiri menunya beragam dan bervariasi, lengkap ada pilihan sambal, lalapan, ada aneka bubur (bubur kcang hijau, ketan hitam,sum2,dll), otak2, dll pokoknya yummiieeee tapi harga lumayan sih gak murah bgt tp jg gak mahal bgt",positive
Menyediakan aneka pilihan makanan sunda termasuk side dish-nya. Tempat yg luas dan terbuka. Juga menyediakan aneka makanan precooked yg tinggal dihangatkan di rumah (raozen),positive
"Kalau kita ingin mencoba makanan sunda dengan pilihan yg beragam, coba saja restoran ini. Tempatnya cukup luas, cukup nyaman, lokasi dekat gedung sate Bandung, dan juga di dekat stasiun kereta api. Untuk rasa, saya suka tutug oncomnya, plus tumis sayurannya yg cukup mengiurkan. Untuk minuman biasa saja standar, pelayan cukup ok. Harga agak sedikit mahal.",positive
"~GALIBNYA, restoran ini menampilkan suasana dan masakan Sunda secara prasmanan. Pengunjung disambut deretan angklung menuju ruang makan yang dirancang terbuka. Umumnya pengunjung coba membunyikan alat musik bambu itu beberapa nada. Kesan awal yang baik. Kursi tak berlengan bersandaran tinggi dengan motif anyaman beserta meja-meja panjang putih di ruang yang lapang mengesankan modern minimalis. Melayangkan pandangan ke tembok, di sana terdapat. Lanjutan",positive
