content,polarity
"Saya suka ke My Little Kitchen Setiabudi. Favorit kalau ksni Caesar saladnya enak, mashed potatoes juga bikin nangih. Steaknya juga memuaskan. Dan yang pasti harganya enak di kantong :)",positive
"Keluarga kami sering sekali makan di My Little Kitchen. Restoran ini cukup sedeehana, hanya terletak di ruko. Tapi makanan yang disajikan enak, tampilan menarik, dan harga cukup bersahabat.",positive
Saya suka dengan mashed potato nya. bikin nagih terus. over all rasanya itu lezat banget. porsi pas untuk makan malam (menurut saya). yang kurang adalah entah kenapa steak nya kurang panas atau cenderung dingin. itu saja.,positive
"Enak, murah & rasanya membuat ketagihan. Wajib coba : MELTIQUE TENDERLOIN. Mantap!! Steak Import dengan harga yang masuk akal.",positive
Makanan disini enak dan murah. Porsinya memang kecil tapi untuk wanita cukup. Burgernya enak. Pastanya juga enak. Akan kembali!,positive
"Pesan local cheez melt steak. Enak banget sih ngga, tpi ya oke la. Harga bersahabat dgn kantong. Iced caf latte nya yg sy pesen setelh steak ludes, buat sy jadi tersenyum. Good stuff. Tempatnya jga asik. Pilih duduk di atas ya, teduh krn d samping jendela ada 2 pohon besar, jadi biarpun ga pake AC ruangannya nyaman.",positive
"Harga reasonable dan enak untuk makan bersama keluarga. Kami pesan cheese steak dan pasta, rasanya enak dan porsinya cukup (tidak terlalu besar).",positive
"oz burgernya enak, harganya tidak terlalu mahal, tempatnya oke, berada di daerah bandung utara, dekat dengan EnHai Bandung.",positive
"Anda pecinta makanan ""STEAK???"" tempat ini wajib anda kunjungi ketika anda ke bandung. Cafe kecil disebelah STHB/Enhaii bandung, namun memiliki cita rasa yang luar biasa",positive
Kami dan keluarga sama-sama mampir du my little kitchen: untuk mskan malam . Disini bisa pilih beef lokal dan beef Australia . Masakan nya enak lah . Harga sedang .,positive
"Salah satu tempat steak yang enak di bandung. Saya merekomendasikan meltique beef dan aussie burger . Pecinta burger harus mencoba tempat ini. Mereka memiliki satu jenis burger, dan benar-benar luar biasa. sangat enak. Harganya sangat terjangkau. Tempat ini sangat kecil. Duduk di lantai atas untuk mendapatkan pemandangan yang lebih baik dan menghindari bau dari dapur",positive
"Resto ini patut dicoba. Utk steak nya enak, minumannya juga enak. Harga makanan terjangkau, pas deh pokoknya dikantong. Dan porsi nya cukup mengenyangkan. Udah pasti balik lagi kesini kalau ke Bandung.",positive
Restoran my little kichen du setia budi sebelah NHI ( perhotelan) steak nya memang enak sekali apa lagi daging Australia nya.,positive
"Masakan yang disajikan menurut saya enak, harga juga cukup, selain itu mereka punya kopi yang sedap.",positive
