content,polarity
"Makan siang disini asyik juga. Nuasa Bali walaupun musicnya music sunda kadang Music khas Bali bergantian. Tempatnya enak dan adem tapi sayang sekali pesan kopi lama banget datangnya, diminta berkali kali, iya pak iya pak hampir 1 jam dan ketika kopi datangpun bukan kopi panas tapi kopi ade, ini kah ciri khas kopi disini. kalau khasnya kopi dingin GAK ENAK. Lanjutan",negative
"Kafenya sudah suangat lama ada di sini. ruamee lagi. dari namanya pasti kepikiran ini cafe masakan bali, model nasi campur, nasi lawar. tapi salah sodara2 ini kafe . jadi makanan western, steak2, piza, pasta, dan indonesian food ada semua di sini. untuk rasa lumayan sih. parkiranya yang agak susah.",positive
"Tidak rugi mencoba masuk restoran ini. Saya pikir cuma menang rame doank. Ternyata rasa penasaran terobati,dengan menu yang lengkap dan rasa yang lezat. Saya mencoba sop buntut,wuuuiiih,kuahnya bening tapi kaldunya nendang banget. Dagingnya empuk,lepas dari tulangnya. Istri makan omelet mix,isinya macam macam,di suguhkan bersama kentang goreng. Enak dan porsinya cukup besar. Pokoknya wajib mampir dan coba",positive
"makan malam bersama teman disini, suasananya nyaman, sesuai nama tempatnya, dekor ala artsitektur bali.SUKA! makannnya juga enak dan disajikan dengan menarik. tempatnya luas dan strategis. we'll be back here.",positive
"Pertama kali saya kunjungan kerestauran ini, bernama cafe bali yang tepat berada di penghujung jalan riau di kota Bandung. tempat yang selalu ramai dan penuh hingga terasa sulit mencari tempat parkir untuk kendara pribadi. Kafe yang mengusung tema tema pulau dewata ini tidak membuat saya merasa dibali, tetapi saya merakasan seperti rumah makan sunda, tidak terlalu banyak ornament sunda yang. Lanjutan",positive
"Mencoba masakan Indonesia disini berbeda dari tempat lain. makanan enak,,bersih dan nyaman. Berbagai menu masakan Indonesia dihadirkan disini. Terdapat juga masakan eropa dan Asia. Toilet bersih dan kering.",positive
Tempatnya sangat cozy dengan design yang sedikit unik. Harganya agak sedikit mahal namun rasanya lumayan enak. Penyajian nya pun terbilang cepat krn tampa harus menunggu lama dan bisa langsung menikmati orderannya.,positive
Cafe ini termasuk pioner perkembangan cafe di Jl. Riau. Menyajikan berbagai jenis makanan dalam dan luar negeri. Makanan yang disajikan lezat dan nikmat. Suasanya cafe juga nyaman dan asyik untuk suasana makan bersama keluarga & teman,positive
Cafe nya pinggir jalan Riau. Parkiran enak. Pas masuk jg suasana enak.kita pilih di area dkt pohon. Dan alhasil banyak digigit nyamuk . Menu nya rasanya memang tidak luar biasa tapi enak. Harga middle high.,positive
Pilihan menu cepat sajinya memang banyak tapi porsinya kecil. Harganya mahal. Rasanya tidak terlalu istimewa. Loteknya juga kemanisan.,negative
mahallll. pilhan makanan biasa saja. tidak ada yang spesial. nasi rames saja bisa puluhan ribu. kurang worth it ya,negative
