content,polarity
Bakso malang nya enak ambil sendiri porsi nya sesuai selera rasa nya maknyuss tempat nyaman pas dikantong,positive
"Dari jaman kuliah di Bandung, suka banget makan ini. Sekarang udah dijkt, setiap ke Bandung, kudu wajib harus makan ini. Endesss pisan, hehee",positive
hmm.enak buat nyemil dalam cuaca dingin. pelayanan cepat .dan enak rasanyaaaaaaa.cuma susah buat cari parkiran mobil.,positive
"Restonya luas, bersih, jadi enak klo makan sama keluarga. Pelayanan ga terlalu ramah. Baskonya enak dan murah.",positive
"cocok kalau buat yang mau kumpul rame2 karena ini tempat makan baso yg lumayan besar, secara di restoran. sistem pesanannya ambil sendiri, terus nanti dihitung per piece nya. saya paling suka pangsit rebus nya, pangsit gorengnya ga begitu suka. harganya yah masih oke lah. saya makan 4 baso biasa 1pangsit rebus,1 pangsit gulung,1 baso goreng dan air mineral totalnya 22. Lanjutan",positive
"Pilihan baso sesuai selera dan porsi kita.kuah cukup bagus. Pelayanannya kurang menyenangkan,agak cutek ( karena sudah laku ) Mending waktu dulu ( masih kaki lima ) pelayananya lebih ramah dan menghargai pelanggan",positive
Baso nya enakkkkkkk bikin pengen ke sini lagi ke sini lagiii gorengan sama kuah ny jugaa mantappp cuma sayang nya tempat yg di burangrang rada panas kalau yg di holis maa nyaman,positive
"Lokasi restoran yang sedikit nyempil dan tersembunyi tidak pernah mengurungkan niat kami untuk mampir dan mencicipi bakso malang di tempat ini. Saat masuk, pengunjung langsung diarahkan pada antrian untuk mengambil mangkok dan meracik sendiri komposisi bakso yang dinginkan, sebelum diguyur kuah panas nan segar di dekat kasir. Untungnya, bagian dalam restoran cukup luas sehingga pengunjung yang datang bersama keluarga pun. Lanjutan",positive
"Begitu masuk tempat ini ada meja panjang yang berisi banyak panci. Ambil mangkok dan pilih sendiri isi mangkokmu. Ada bakso besar dan kecil, tahu dan macam -macam gorengan.",positive
"Letakny dideket pasteur, agak susahuntuk parkir. namun masalah rasa enak banget, paket mulai 17500 lagi dh sama minum, murah meriah dan enak.",positive
