content,polarity
"sarapan paginya enak , menunya lengkap, aroma kopinya khas, cocok untuk sarapan pagi bersama keluarga",positive
"Restonya luas, parkiran luas, suasana tenang dan nyaman. dihalaman ada bandulan untuk anak anak. Makanannya enak enak deh pokoknya, kalo ke Bandung rugi kalo gak mampir kesini guys.",positive
"Makanan nya enak, harga worth it banget mulai rp. 32.000, nasi timbel porsinya bikin kenyang seharian.princess karawang minuman special recomended",positive
"Restoran ini terletak di jl. Surapati Bandung. Di dekat kawasan gasibu Bandung. Dekat dari area gedung sate, kantor Telkom Japati dan berada di ujung turunan jalan layang Pasupati. Dilengkapi parkiran yang lumayan untuk sekian banyak mobil, tempat makannya luas, terdiri atas 2 lantai. Bisa duduk maupun lesehan di lantai 1 atau duduk di kursi di lantai 2. Dilengkapi pula dengan. Lanjutan",positive
"Tempatnya selalu ramai pengunjung, dan makanannya sunda yang enak dan pelayannya sangat memuaskan sekali, sangat cocok untuk berkumpul bersama keluarga menikmati makanan khas bandung",positive
"Restoran ini berlokasi di dekat Lapangan Gasibu Bandung. Menunya tentu tidak jauh-jauh dari masakan Sunda tetapi lebih banyak pilihan makanan. Saya memesan soto bandung dan seporsi nasi, yang ternyata datang sebakul. Suami memesan nasi goreng Sindang Reret dan menurut dia, rasanya enak dan fresh. Tentu nasi goreng yang made by order terasa lebih enak dibandingkan dengan nasi goreng yang dihangatkan. Lanjutan",positive
"Restoran ini selalu ramai oleh tamu karena letaknya strategis dan makanannya enak. Apabila akan makan bersama keluarga besar sebaiknya reservasi tempat dan menu sehari sebelumnya sehingga kita tidak terlalu lama menunggu untuk dilayani. Menu yang kami coba dan rasanya mantap antara lain aneka masakan gurame (cobek, bakar, asam manis), cumi goreng tepung, karedok, sayur asem, ayam bakakak dan aneka minuman. Lanjutan",positive
"Sarapan standard untuk paket menginap di hotel, hanya saja bisa menikmati bubur khas bandung cukup memuaskan selera, lokasi yg besar. Beberapa kali makan di restorant ini secara umum oke lah.",positive
"Sindang reret adalah restoran sunda yg cukup terkenal di kota bandung, saya suka dengan ayam goreng, gurame goreng nya, serta tidak lupa sambel yg membuat makan menjadi nikmat :)). Tempat yg cukup besar, saya pilih tempat lesehan biar lebih santai karna saya makan bersama keluarga.",positive
saya makan di sni bersam keluarga. menu yg rekomen al : ikan gurame bakar . sayur asemnya juga enak dan segar.,positive
"Singgah di resto Sindang Reret dlm rangka employee gathering kantor memuaskan, untuk rasa makannya enak, cocok di lidah , yang paling sma balado ikan air tawar nya. wajib mampir kesini deh utk lunch ataupun dinner",positive
"Setelah selesai acara kunjungan ke unpad kami mampir ke resto ini untuk istirahat,makan siang dan sholat dzuhur karena rombongan kami besar jadi beberapa hari sebelumnya kami sudah pesen tempat dan menunya.makanan yg dihidangkan enak dan tempat yang bersih dan nyaman tapi sayangnya resto yg besar hanya menyediakan musholah yang kecil sehingga untuk rombongan besar harus ngantri lama bergiliran untuk sholat.",positive
"Gurame lover? Ini tempatnya. Gurame goreng dan bakarnya merupakan menu andalan disana. Kurang cocok untuk makan sendiri disini, enaknya bersama keluarga atau teman-teman. harganya cukup mahal untuk kantong mahasiswa, tetapi makanannya dijamin maknyos!!",positive
Saya dan keluarga termasuk pencinta kuliner sunda. Sudah pasti yang akan dicari dan dipercaya adalah restoran yang benar benar punya cita rasa tinggi ala sunda. Restaurant Sindangreret di Jl. Surapati Bandung tak ayal lagi selalu penuh dengan pengunjung. Saya lihat selain tamu tamu domestic ternyata banyak juga tamu tamu asing yang memilih restaurant ini karena selalu direkomendasikan oleh para Tour. Lanjutan,positive
"Suka sekali makan di sini. Pilihan makanannya otentik tradisional banget. Rasa enak, interior pun adem.",positive
