content,polarity
Tempat makan sushi yang paling komplit variasi sushi maupun menu khas jepang lainnya. Tampilan hidangannya juga sangat menarik. Interior restonya keren & asik buat santai keluarga maupun pertemuan bisnis dengan kolega,positive
"Kalo mau nyari sushi yang enak di bandung dan tempatnya higienis yaa sushi tei jawabannya. DI bandung sendiri sushi tei ada banyak salah satunya ada di deket setiabudhi-sukajadi. tempatnya lumayan nyempil tapi masih dilewatin transportasi umum kok. jadi cukup mudah untuk dijangkau. dari segi rasa, sushi tei ga pernah mengecawakan lidah dan mata. rasanya enak, seger, and lezatoss. servisnya juga. Lanjutan",positive
"Sushi tei adalah restaurant yang memiliki menu utama sesuai dengan namanya, yaitu SUSHI. Sushi disini sangat variatif dan sangat enak pastinya.",positive
"Terletak di gedung flamboyan sukajadi yg mau ke setiabudi, tempatnya enak buat bersantai, sushi tei emang rasa nya nikmat, yg enak ramen nya yang lezat juga kuah nya yang segar, cocok untuk kalangan anak muda.",positive
"Sushi tei sih udah ga ada yang ngalahin. semua makanannya enak dan pelayanannya pun luar biasa baiknya. salmon skin fried favorit saya sering habis. walaupun yang di TSM waitinglistnya banyak, tapi menunggunya ga selama itu ko.",positive
terletak di tempat yang sebenarnya cukup tersembunyi dan kurang strategis.tapi rasa sushi yang enak rupanya menjadi daya tarik tersendiri.tempat makan ini rata-rata selalu penuh pengunjung.onigiri yakiniku menjadi menu favorit keluarga kami.recommended.,positive
"Salmon crispy menu wajib disini, selain itu salmon roll sushi cukup enak. Private room di resto ini bisa menjadi tempat cocok untuk meeting",positive
"Kalau lagi ingin makan jepang, pasti ingat sushi tei. Cabang yang di setiabudi ini memang tidak seramai yang di jalan sumatera. Pelayanannya lebih cepat dan sigap. Tempatnya lebih besar.",positive
"Kami sering mengunjungi tempat ini untuk makan siang/ malam karena beberapa specialities-nya e.g. salad disini punya saus yang khas, tidak ada di tempat lain. Suasananya juga oke dan pelayanannya prima. Menu favorit saya adalah salmon crispy mentai, juga crispy roll (memikirkannya saja sudah bikin pingin kesini lagi!) Tidak ada yang negatif tentang Sushi Tei, kecuali harganya . sedikit mahal, tapi. Lanjutan",positive
"Salah satu restoran jepang yang menjadi favorit saya. Rasa makanannya otentik, menu favorit saya tentunya adalah baby octopus",positive
"satu yang pasti saya ingat disini adalah hanya di bandung ini yang dapat membuat menu rahasia yang tidak ada dalam menu yaitu : BAHAMUT shushi udang goreng yang di goreng matang dengan kriuk yang sangat menggugah selera, ditambah luluran saus mayo yang lezat",positive
