content,polarity
"Ayam bakarnya joss banget,plecing kangkungnya mantap. Susah koment jelek tentang makanan disini. Dari pesan sampai hidangan keluar cepat,gak nunggu lama.Semuanya top markotop. Cuma pelayannya ada yang jutek,mungkin karena saya pesannya gak banyak seperti costumer yang lainnya.",positive
"ayam yang disajikan berasal dari ayam kampung yang tidak terlalu besar. Ayam taliwang khusus bagi penyuka pedas, kalau saya lebih suka ayam bakar saja yang tidk terlalu pedas, menu lain pelecing kangkung, kangkungnya cantik dengan warna hijau segar. harga agak mahal tapi sesuailah dengan rasanya. padat pengunjung jika jam makan siang",positive
"Interior tempatnya klasik, namun cukup luas. Pelayanan tidak terlalu lama. Ayam Bakarnya sedap, Plecing Kangkungnya juga patut dicoba (warning: rasa kangkungnya cukup pedas namun worh it untuk dicicipi). Ukuran porsinya juga standar, tidak terlalu banyak ataupun terlalu sedikit.",positive
"Sejak pertama ke sini tahun 2009 tak ada perubahan bangunannya (tak segaul tempat makan lain di Bandung). Makanannya juga tak berubah, tetap enak dan khas Lombok tak ada duanya di Bandung. Ayam Taliwang nya (44 ribu/ekor) enak sekali, ayam kampung yg dibumbui khas lalu dipanggang, lalu pelecing kangkungnya (16 ribu/porsi) juga enak, bagi yg suka terong mentah bisa pesan beberok. Lanjutan",positive
"Yang saya suka dari ayam taliwang bersaudara ayam bakarnya sama cumi goreng nya, tp karna saya tidak begitu suka dengan pedas saya pesan ayam bakar dengan tidak pedas, ada 2 pilihan anda bisa pesan pedas dan tidak. Oo iyaa saya suka telor asin goreng nya jg, kombinasi yg pas ayam, cumi goremg dan telor asin goreng. Pelayan yg cepat dan. Lanjutan",positive
"sejak 1995 ayam taliwang ini jadi favorite ku dan teman"".rasanya sungguh enak,bumbunya meresap ke dalam,ayam nya muda.pedas nya jg mantabs.tapi ada jg yg nggak terlalu pedas jika mau. Bertahun tahun rasanya tetap sama.hanya harga nya saja yg beranjak naik terus :) tapi teteuuup aja datang dan datang lagi.ayam bakar taliwang nya juara deh.ditambah pelecing kangkung.tempe goreng dan telur asin goreng. Lanjutan",positive
"Karena rindu Ayam Taliwang Lombok maka saya putuskan makan di restoran ini. Letaknya tidak jauh dari tempat tinggal saya di Jalan Terusan Buah Batu. Menu yang disajikan adalah makanan khas lombok. Yang saya pesan adalah nasi campur ayam bakar taliwang plecing kangkung. Rasannya membuat saya ingin kembali lagi ke Lombok. Enak, mantap,,",positive
"Rasa ayam Taliwangnya sangat khas, rasa pedasnya pun mantap. Harga nya lumayan, tidak bisa dikatakan murah, tapi tidak terlalu mahal juga. Dekorasi restorannya tidak istimewa, biasa saja.",positive
"Ayam Taliwang merupakan sajian makanan khas Bali dengan rasa yang sangat pedas. Hati hati bagi para pecinta kuliner bila makan ayam taliwang. ingat dengan lambung anda yang tidak kuat. Kecuali bagi anda yang senang dengan tingkat kepedasan yang luar biasa, dijamin bakul nasi akan datang kedua kalinya.",positive
Ayam bakar taliwang di jl. Citarum : enak sekali ayam bakar nya. Dan pedas yang utama nya. Nasi pun akan banyak tambah nya .,positive
"rasanya enak, pedas harganya terjangkau. tempatnya dekat dengan kota sehingga tidak terlalu sulit untuk menemukan resto ini.",positive
Ayamnya maknyus terutama yang pedas. Tempatnya di daerah cibeunying bandung. Rumah makannya tidak terlalu nyaman tp pelayanannya cepat. Harga juga terjangkau,positive
"Tidak perlu jauh-jauh pergi ke lombok untuk mencicipi ayam taliwang yang terkenal, di tempat makan ini pun rasanya tidak kalah enak dan pedasnya sama seperti yang di lombok. dari ayamnya sampai ke plecing kangkung semuanya enak. Kalau makan siang pasti selalu ramai. Harganya pun cukup bersahabat",positive
"Restoran ini merupakan favorit saya untuk makan siang ataupun makan malam. Lupakan tempatnya yang tidak terurus dengan baik, makan kangkung plecing dan ayam bakar taliwang. Membuat makan Anda terus-terusan ketagihan!",positive
"kesekian kalinya saya makan di sini n selalu pengen ke sini lagi. enakkkkk. sambalnya mantap, seger n bikin melotot. harganya lumayan si agak mahal tp sesuai sama rasanya, oia porsi ayam nya lumayan kok, bisa buat berdua si kl utk yg makannya gk terlalu banyak. plecing kangkung nya juga juara, pokoknya maknyuss deh!!",positive
"Saya makan di tempat ini karena melihat banyak mobil yg parkir. Tempatnya sebenarnya biasa saja, sederhana. Namun makanannya lumayan enak, terutama plecing kangkungnya yg mirip dengan yang pernah saya makan di Lombok. Untuk ayam dan ikannya cukup enak, meskipun belum seenak aslinya di Lombok.",positive
Mantappp banget ayam taliwang disini pedesnya luar biasa bikin mata melek. Yang jelas sampai tangan yg kena Bumbunya panas sampai dibasuh dua kali.,positive
