content,polarity
"Menyajikan berbagai macam menu yang bisa di nikmati, serta suasana unik yang mengembalikan kita di masa jaman dahulu",positive
"Dua kali kunjungan kami disini.makanan banyak pilihan .langsung disajikan matang ,rasanya pun enak.kita tinggal pilih apa yg kita mau .nasi tersedia 3 pilihan ,nasi putih,nasi jeruk dan nasi liwet.konsep restoran berupa bioskop dengan layar besar diputarkan film2 jaman dahulu seperti Dono kasino Indro dan lainnya",positive
"Kota bandung terrkenal dengan objek wisatanya, juga menjadi salah satu destinasi para pecinta kuliner. Jika anda mencari tempat makan dengan konsep berbeda, maka anda wajib mencoba ke tempat makan yang satu ini yaitu warung misbar. Kata2 misbar mungkin mengingatkan kita pada suatu konsep menonton film dengan menggunakan proyektor di lapangan terbuka. Tapi tenang saja, tempat makan ini tidak berada dilapangan. Lanjutan",positive
"Suasananya seperti jaman saya muda, bioskop misbar. Banyak piliha makanan. ada layar spt bioskop .",positive
"Restaurant yang unik dengan tema bioskop jaman dulu. Diluar itu, mereka tetap menjaga kualitas rasa makanan. Jadi bukan hanya suasana tapi rasa makanan yang enak jg didapat disini.",positive
Rumah makan dengan konsep unik. Sayang rasa makanannya standart dan mahal. Jadi kurang menarik buat datang untuk ke dua kali nya,positive
Karna konsepnya ala bioskop kali ya.pencahayaanya kurang. Menu rumahan tp rasanya maknyoss bgt. (ayam cabe ijo muda.nya ok bgt + perkedel jgung beserta tumisan labu = 50rb),positive
"Dari pada bingung2, utk makan makanan indonesia (sunda) yg ajib. Boleh cobain rumah makan yg satu ini, fasilitas yg diberikan di rumah makan satu ini sangat jarang ditemukan, kita bisa makan sambil nonton film jadul yg diputer di layar lebarnya. Seru jg sambil nostalgia bareng temen2 utk film2 jadulnya.",positive
"Konsep unik, rasa makanan not bad lah, harga sedang tidak murah, toilet kotor, jangan kesini bersama anak saat ramai karena asap rokok dimana2",positive
"Cari makan malam di Jalan Riau ketemu tempat asik, nama nya Warung Misbar, orang dulu bilang Misbar artinya gerimis bubar. Tempat nya sangat strategis, di jalan L.L R. E. Martadinata (Jl. Riau) di tengah tengah lokasi Factory Outlet. Tempat nya tidak pernah sepi pengunjung. Makanan nya seperti makanan rumahan, tapi rasa nya wuenak tenan. Namun sayang nya harga makanan nya. Lanjutan",positive
"Nama Misbar mengingatkan saya akan tempat nonton film jaman dulu, yaitu dengan layar tancap. Misbar saat itu adalah singkatan dari ""gerimis bubar"", karena memang bila sedang nonton film layar tancap kemudian turun hujan, maka penonton akan bubar. Tetapi di restoran dengan nama Warung Misbar ini tentunya tidak perlu bubar bila hujan turun karena kita berada dalam ruangan yang tidak tertembus. Lanjutan",positive
