content,polarity
"Lokasi mudah dikenali, tepat berada di depan jalan raya (pelan pelan jika dari Jl. Hariangbanga). Terdapat ruangan indoor untuk makan regular dan outdoor untuk barbeque. Di lokasi outdoor terdapat beberapa snacking corner, untuk transaksi menggunakan mata uang won melalui kartu. Kartu dapat dibeli di lokasi, untuk kartu baru dan saldo 2000 won seharga 30k dan harga snack +-1000 won/item. Ketika. Lanjutan",positive
"Penasaran nih sama Chingu Cafe, akhirnya cari cari deh tuh alamatnya dan langsung samperin *sangking penasarannya Sampai di sana gila rame banget, dan harus waiting list dulu. OMG (saya ambil tempat yang terbuka letaknya di belakang itu untuk BBQ) Tapi gak apa-apa lah demi nyobain, hahaha. Gak nyesel deh nyobain makanan di sana, harganya murah guys, rasanya juga enak. Dan. Lanjutan",positive
"Favorite banget nih, apalagi deket banget sama kampus. Pas kuliah kemarin bisa seminggu sekali ke sini nih. apalagi udah ada chagiya di belakang chingu ini, bisa BBQ dengan harga murah deh. Makanannya pas di lidah juga. cuma aga kecewa sama toppokki nya, kurang berasa bumbunya. yang lain sih jangan di tanya TOP makanannya!!",positive
Baru pertama kali ke sini. Tempatnya unik banget. Lucu. Baru pertama kali juga nyoba makanan korea. Soal rasa lumayan enak. Masih penasaran sama sukinya. Next harus kesini lagi nyoba,positive
"Sekarang di sini ada dua area. Area belakang untuk menu barbeque an. Di belakang outdoor dan designnya seperti kota-kota di Korea. Bagus desingnya, makananya lumayan enak, dan harganya murah.",positive
"Bagi Anda yang suka dengan budaya serta makanan Korea, Anda perlu mencoba Chingu Korean Fan Cafe. Desain interior yang beragam, menampilkan suasana seperti di Korea. Ada spot yang membuat Anda seperti berada di terminal dan di dalam kereta. Menu yang ditawarkan pun khas Korea.",positive
"Sorry, mungkin review saya kurang relevan, karena mengingat saya kurang suka dengan makanan korea. Dibandingkan dari makanan korea sejenis pun, saya tidak menemukan hal yang menonjol Yang perlu diacungi jempol adalah desain interior yang mengangkat suasana dan atmosfer korea dengan begitu kental!",positive
"Saya pertama kali tertarik dengan resto ini karena melihat di media sosial. Suasana yang sangat unik, dan nyaman, terasa banget feel seperti sedang di korea. Makanan yang saya rekomendasikan disini adalah Korean BBQ nya! Daging nya empuk dan juicy banget, cocok untuk para pecinta BBQ",positive
"Suka banget sama tempatnya, lucu buat foto walaupun ga terlalu luas. Cuma makanannya kurang berasa, but over all suka kesini.",positive
Pertama kali dateng cafe nya penuh banget. Kudu isi daftar waiting list buat dapat kursi. Dekor nya promosiin kdrama dan kpop bgt. Cocok buat fto2. Kimcinya berbayar dan rasanya kurang oke. Makanannya juga biasa aja,positive
"Dengan rekomendasi dari saudara,saya dan keluarga mencoba tempat makan ini yang katanya lagi ""in"" ini. Agak nyasar sedikit sewaktu menuju ke sini karena banyak jalan yang ditutup akibat ada graduation. Maklum cafe ini ada di daerah kampus. Dekorasinya lucu, tempatnya tidak terlalu besar. Di bagian belakang ada lagi ruangan terbuka khusus untuk BBQ (Chagiya). Disini tempat yang bagus buat foto-foto. Lanjutan",positive
"Waktu awal kesinii suka bangett tempat ny korea bangettt ga setengah2 dekorasi , lagu , makanan , bahkan menu nya juga korea bngett",positive
"Datang kesini pas jam makan siang lumayan penuh, tapi masih kebagian meja. Tempat bagus, tiap ruang ada tema. Minumannya enak, nyobain minuman yg rasa jagung sama milkshake green tea. Makanannya,, blm nemu yg cocok dilidah.",positive
"Saya suka sekali tempatnya ditata dengan apik menarik walau area sangat kecil kreatif sekali . Makanan juga lumayan pas sesuai hargalah . hanya saja ketika saya makan kimchi sy menemukan rambut yg pendek ukuran skitar 1 - 2 cm di dalam kimchi, menghilangkan minat makan meskipun kimchi diganti baru, tapi tidak menghilangkan minat saya foto foto :) totall lumayan lah",positive
"Desain cafe yg unik bernuansa Korea dengan segala detailnya, penataan ruangan cukup rapi, makanan dibawah 30rb porsi biasa, lumayan cepat untuk cafe yg lagi penuh. Desert cukup menarik n yummy. Yg kurang tempat parkir dan kebersihan WC .",positive
"Tampilan desain interior tempat ini memang Kpop banget, ada sudut yang didesain seperti stasiun subway di Seoul. Selain bisa makan dan minum, pengunjung juga bisa nonton video-video klip Kpop dan malah bisa request! Minumannya lumayan lah, sayang makanannya nggak oke. Bukan cuma ""kurang Korea"", tapi rasanya juga kurang.",positive
Chingu cafe di desain begitu menarik tapi tidak terlalu besar tempatnya. Saya datang berkunjung sewaktu liburan lebaran juli ini antriannya sangat panjang. Akhirnya memutuskan untuk kembali lagi keesokan hari nya. Menu nya cukup bervariasi dengan harga yg terjangkau. Kalo bermain ke kota Bandung bolehlah mampir di Chingu Cafe,positive
"Rasa lumayan, harganya juga kejangkau, suasananya enak cuma pelayanannya kayanya agak lama yah, at least recommend kok",positive
"bagi anda pecinta korea anda wajib datang kesini, selain makanan dan minuman korea yang mereka tawarkan, keadaan restoran yang unik ala korea juga mereka sajikan. baru baru ini yang lagi trend ialah suasana kereta seperti di korea yang membuat anda betah lama lama berada di tempat ini",positive
"Datang kesini pas makan siang dan cukup penuh.pengunjungnya banyak mahasiswa dan anak sma, terutama yang suka all about korea Tersedia tv yang memutar mv kpop Desain cafe bersih, rapi dan ceria Makanannya : rasanya sedang-sedang saja, dengan harga yang lebih murah dibandingkan cafe or resto korea. Rekomendasi: pat bing soo",positive
suasananya bertemakan korea banget dan untuk makannya sendiri lumayanlah untuk range harga dibawah 35.000,positive
