content,polarity
Wah di Glosis kita bisa menikmati Steak nan lezat dg berbagai pilihan. Suasana yang asri manambah kenikmatan makan malam. Cocok baget utk makan bersama keluarga,positive
"Selain menu andalan daging bakar, yang Istimewa adalah menu salmon madunya. Minumannya buah kiwi, ambil posisi duduk di Pojok sofa, pasti Jhoz !:-)",positive
"Resto ini mempunyai tempat parkir yang luas. Desain interiornya sangat menawan dan klasik. Suasananya nyaman dengan layanan yang baik. Steaknya sangat lezat , tingkat kematangannya yang sempurna menghasilkan daging yang empuk , sausnya yang gurih dan nikmat. Sayurannya cukup lunak sehingga mudah untuk mengunyahnya. Smoked Chicken breast , proses pengolahannya di asap begitu disajikan terasa aromanys sangat wangi dan empuk. Lanjutan",positive
"Kalau bingung mau makan makanan barat dimana, pasti ingatnya ke glosis. Steak, pasta, sup nya enak-enak. Tempatnya besar dan parkir luas.",positive
"Glosis di citarum ini lokasinya enak.ditengah kota,dan tempatnya nyaman buat kumpul.ada sofa ataupun kursi biasa.bisa pilih.Terbagi beberapa ruang.tempat parkirnya juga lumayan . Utk steaknya enak.kami bertiga pesan chicken steak ,tenderloin steak with mashed potato yang welldone an tenderloin steak with baked potato medium rare.smua pas dilidah.Mashes potatonya enak.nggak terlalu banyak merica.begitu jg baked potato nya.Medium rare steaknya jg pas.diluarnya matang. Lanjutan",positive
"Restoran favorit keluarga saya dari saya kecil, umur 6 tahun, dari pertama kali buka di ciumbuleuit, rekomended karena salah satu restoran kelas menengah atas tertua/legendaris di bandung selain tizi, Glosis tidak pernah mengecewakan, steak favorit, new yorker. steak diane, mungkin saat ini sedikit berubah menu dibanding tempo doeloe, tapi masih tetap oke, walau ada beberapa menu lama yang hilang/diganti.",positive
"Makan disini harus banyak membawa kocek, karena harga makanan dan minumnya tergolong mahal banget, akan tetapi makanan dan minumnya punya rasa oke banget. Top. dengan tampilan ruangan yang minimalis membuat suasana bersama keluarga enak untuk saling bercerita dan menyantap makan minum",positive
"Makan malam bersama dengan keluarga. Resto steak Glosis cukup terkenal di Bandung, jadi kami berminat untuk mencobanya. Restonya sangat ramai apalagi ketika malam Minggu, dan untung dengan reservasi terlebih dahulu kami bisa mendapatkan meja yang posisinya cukup nyaman. Steaknya enak dengan berbagai pilihan jenis steak, ada tenderloin, sirloin, lamb chop dll. Untuk mendapatkan daging yang enak saya memilih tenderloin steak. Lanjutan",positive
Paling terkenal disini chicken steaknya. Sausnya tidak ada yang nandingin. Tempatnya nyaman dan parkirnya luas. Pelayanan baik.,positive
Disini saus steaknya enak-enak. Kesukaan kami steak ayamnya. Bumbunya maknyus. New york steaknya juga andalan. Dan tidak lupa spaghetti don pedro yang super lezat!,positive
"Resto ini sudah ada di Bandung lebih dari 20 tahun dan sudah berpindah tempat beberapa kali. Terakhir sebelum pindah ke Citarum, lokasi resto ini di Hegarmanah. tempat lebih enak waktu di hegarmanah. Kualitas dan rasa makanan juga dirasa lebih enak sebelumnya dibanding sekarang. Kita makan di sini ber 12 orang. Kami semua setuju bahwa kualitas dan rasa menurun. Favorit di. Lanjutan",positive
"Saya dan keluarga sudah menjadi langganan bertahun-tahun sejak Glosis belum memiliki cabang hingga sekarang. Menu favorit yang tidak pernah kami lewatkan adalah chicken steak dengan saus putih signature khas Glosis dan chicken soupnya. Rasa masakannya sudah tidak perlu ditanyakan, juara! Service juga cepat & ramah.",positive
Steak ayamnya enak sekali. Bumbunya berbeda dgn restoran lain. Steak sapinya juga maknyus. Tempatnya nyaman dan pelayanan cepat. Tempat parkir luas. Selalu penuh tiap malam.,positive
