content,polarity
"Menu nasi rames dengan bermacam2 pilihan lauk Untuk pesanan saya: Nasi putih, tumis tahu kecap, dendeng ayam, ayam madu, sambal leunca, dan tumis buncis Kalau suami kmrn nyoba: Nasi merah, telur balado, tongkol balado, dendeng ayam, ayam madu dan buncis Anak2 makan ayam goreng dan buncis. Tumis buncis dan ayam madunya juara!! Dendeng ayamnya juga unik, baru pertama kali. Lanjutan",positive
"Nasinya cukup unikk,. karena menggunakan nasi merah. menilik dari namanya ini dipikir rumah makan manado. tapi gak ada menu kalong2an. yang ada jenis makanan prasaman berbagai macam menu yang lezaatt. bukaknya malem sampe subuh. buat kalong2 tentu ini adalah kabar gembira. karena kini resto para kalong ada ekstraknya. eh wadahnya.",positive
"Oke, Nasi kalong adalah salah satu tempat kuliner menarik di kota Bandung Jawa Barat ini, tempat ini menyediakan makanan berat di malam hari. Masakan di tempat ini rasa nya jempolan ya, tempatnya pun tepat di pusar kota kembang ini. pokoknya mantap.",positive
"Berikut review nasi kalong, tertarik karna nama unik dan buka dimalam hari saja: [+] mudah ditemukan, dipinggir jalan besar [-] Makan disini rasanya biasa Porsi dikit tapi dengan harga yang mahal.!! Cukup mencoba sekali saja.",positive
"Makannya sangat enak, terutama nasi merah, sayur bunci, otak-otak ikan, dan ayam madunya. Tapi satu masakan yang saat itu saya juga beli yaitu ayam kampung gulai, yang dagingnya masih keras, jadi makannya cukup gak nyaman, dan kuah gulainya juga kurang berasa, kurang seasoning kalau istilah master chef. Secara keseluruhan sih masakannya recommended lah .",positive
laper tengah malem? kesini nih saya suka nasi beras merahnya. untuk lauknya saya suka kornet dan ayam sambalnya,positive
"Nasi merah (kalongnya) rasanya khas banget, apalagi buncisnya kaya ada wangi2 gosong2 karna dimasaknya sampe berapi2 gitu. Lauk2 lain ga kalah enak. Untuk harga tergolong agak mahal untuk masakan rumahan. Tempatnya kalo bisa lebih ditingkatkan lagi kenyamanannya.",positive
"Saya makan Nasi Kalon bulan April 2016. Makan di Nasi Kalong sangat mengesankan. Saat mau pesan makanan sudah antri. Nasinya dari beras merah. Coba Ayam madu nya, enak.",positive
"sebelum saya memutuskan untuk makan malam disini, saya sudah baca ulasan orang lain tentang tempat ini. rasa makanan disini cukup enak. tempatnya juga mudah dijangkau karena berada di pusat kota. namun saya sangat menyayangkan harga makanannya tidak transparan. saya langsung diberikan total harga tanpa tau rinciannya. saran saya mungkin lauk yang disediakan diberi label harga agar orang yang ingin memilhnya. Lanjutan",positive
Nasi Kalong merupakan salah satu kuliner wajib yang masuk dalam daftar kunjungan wisatawan ke Bandung. Nasi Kalong menyediakan nasi berwarna ungu dengan berbagai pilihan lauk. Jam bukanya adalah jam 7.30 malam dan buka sampai dini hari.,positive
"ini adalah tempat makan yang legend di kota Bandung.rasa makanan sangat enak.maknyus.buat yang baru pertama makan disini harus paham bahwa walaupun tempat makan ini letaknya di tempat terbuka, disini harga bukan harga kaki lima, tetapi lebih kearah harga makanan kelas menengah.disini semua makanan sangat terjamin enak.hanya pelayanan perlu lebih ditingkatkan.cenderung agak menyepelekan konsumen,,",positive
"Dari namanya tentunya diharapkan untuk datang ke sini saat malam. Inti makanannya adalah nasi hitam dengan berbagai pilihan lauk ala warung nasi pada umumnya. Rasa standar sih. Dengan rasa yang standar, harga yang diberikan cukup mahal sebenarnya. Yang paling membuat malas datang kesini pelayanannya yang super asal-asalan dan tidak ramah. Lokasi cukup mudah dijangkau di jalan Riau. At all, pikir-pikir. Lanjutan",negative
"Nasi Kalong di Jalan Riau (Martadinata) adalah salah satu streetfood ciri khas kota Bandung. Jam bukanya mulai dari setengah delapan malam (jika datang sebelum itu, anda akan diabaikan atau bahkan disuruh pergi dulu untuk kembali lagi nanti). Sistem makannya dengan cara prasmanan, anda dapat memilih nasi putih atau nasi hitam (nasi hitam ini wajib coba! Nasi yang dimasak dengan rempah. Lanjutan",positive
"Untuk rasa sebetulnya di atas rata-rata, Tetapi untuk segi harga terlalu mahal untuk makanan campur-campur seperti itu. Hanya bisa di dapatkan di malam hari saja. Hampir semuanya pedes, jadi gak cocok untuk anak""",positive
"Ini adalah kedua kalinya saya menikmati makan malam di Nasi Kalong, menurut saya cita rasa makanannya standar namun hanya konsepnya saja yang unik. Harganya makanannya agak kemahalan untuk jenis makanan rumahan seperti Nasi Kalong.",positive
"Makan di tempat ini di minggu lalu saat kami jalan-jalan ke Bandung, sudah cukup malam sekitar jam 9an tapi tempat ini sangat ramai, antrian untuk ambil makanan juga cukup panjang, agak sulit parkir mobil karena cukup banyak kendaraan yang parkir. Makan ambil nasi merah dengan berbagai pilihan menu makanan, cukup banyak pilihan, untuk rasa lumayan enak tapi untuk harga relatif. Lanjutan",positive
"Malam minggu saya coba nasi kalong, sekitar jam 9 malam, menurut saya biasa, hanya unik saja ditambah dengan nama kalong, karena nasinya agak kehitaman. Kita makan ambil/pilih sendiri. Suasana makan bisa pilih meja di dalam (kayaknya, karena saya liat ada meja di belakang tempat milih makanan atau diluar dengan suasana jalanan). Overall menurut saya biasa.",positive
Buat kelas makanan jalanan ini harganya nggak murah sama sekali. Meskipun memang ambil macem2 tapi ya well. sesekali ok lah. Nasi merahnya enak pulen.,positive
"kemarin sama teman teman ke bandung mampir makan di sini.makanannya enak , antrian rame banget pas malam minggu perginya waktu itu, sangat wajib datang ke sini. buncisnya enak, ayamnya juga enak",positive
"saya suka dendeng sapi , empuk dan enak. saya makan malam minggu. antrian sampai kejalan raya. tapi pelayanan cepat sehingga tidak menunggu lama.",positive
"Pengen coba yang namanya nasi kalong, katanya enak dan rame. Ternyata setelah di coba gak sesuai harapan. Rasa lauk biasa saja, dan yang gak enak adalah pelayanannya. Gak tau krn pelayananya LELAH atau krn sdh punya nama besar jd pelayananya asal.",negative
"Kalo lagi laper di sekitar Jalan Riau bandung dan pengen masakan rumah yang simple nan enak, wajib ke sini. Jangan stres dulu kalo liat antrian ngambil makanannya yang panjang.gak lama kok antriannya, cepet malahan. Cobain deh :-)",positive
"Nasi kalong memang sgt terkenal di bandung. Kalau makan di sini biasanya selalu antri sblm bs mencicipi makanannya. Setelah makan, baru dah kt sadar knp terjadi antrian. Emang enak!! Di sini jg tersedia nasi merah yg mrpk favorit pelanggan juga. Nasi kalong tersedia hingga dini hari jika memang blm sold out. Namun biasanya kbykan sdh habis terbeli kalau perginya tengah. Lanjutan",positive
