content,polarity
"Setelah lelah bermain dengan anak-anak di Farm House Lembang akhirnya saya mampir ke restoran ini. Menikmati makanan khas Sunda yang ternyata enak-enak. Jangan lupa untuk mencicipi tahu tauhidnya. Yang paling utama buat saya selain makanan, kamar kecil di area ini cukup terjaga kebersihannya. Dan tersedia musholla yang cukup besar. Alhamdulillah. Jika ingin menyantap makanan sambal menikmati panorama sebaiknya memilih area. Lanjutan",positive
"Saya dan keluarga mampir makan di Saung Pengkolan 2. Kami memesan ayam bakar, cumi goreng tepung, paru goreng, babat goreng, karedok dan untuk minum memesan soda gembira dan teh manis. saya pikir dengan harga yang tertera pada menu irisan/potongan babat dan paru berukuran sedang, namun ternyata kecil sehingga saya memesan untuk lagi agar bisa menghabiskan nasi. porsi cumi goreng tepung. Lanjutan",positive
"Saung Pengkolan yang saya makan yang di sersan bajuri ini adalah saung pengkolan yang seri 3. cukup enak juga sih. menunya standar rm. sunda seafood2 gitu, plus ayam2, dan ada sop buntutnya juga. lumayan buat maksi. aseli soenda !!",positive
"Berada di pinggir jalan penghubung Bandung-Lembang, membuat rumah makan ini selalu ramai. Banyak wisatawan yang menuju atau pulang dari tangkuban perahu singgah disini untuk makan siang atau makan malam. Adanya tempat duduk lesehan juga menjadi salah satu daya tarik bagi wisatawan sebelum melanjutkan perjalanannya kembali.",positive
"Resto Sunda ini ada banyak cabangnya. Makanannya enak dan harganya mirip Jakarta. Ada mini zoo nya dengan koleksi binatang: burung hantu, monyet, burung-burungan dan ikan.",positive
"kesini karena dekat dengan hotel saya,overall rasa makanan oke,tapi porsinya sedikit,harganya lumayan lah ya untuk restoran sunda",positive
"Saung Pengkolan ini lokasinya bagus banget, di sebuah pengkolan (tikungan) di jalur padat kawasan wisata Lembang, Bandung. Sekarang restonya sudah dipermak lebih kece dan lebih lega. Untuk rehat sejenak setelah wisata ke Lembang bolehlah. Makanan yang disediakan adalah makanan Sunda, mulai dari ayur asem, nasi tutug oncom, karedok, ayam goreng dan masih banyak lagi. Saya pesan paket nasi liwet dengan. Lanjutan",positive
"Hanya bermodal nama besar Saung Pengkolan Group ternyata bisa mendongkrak jumlah pengunjung restoran ini. Dan lokasinya yang persis diseberang Kampung Gajah membuat Resto ini langsung terlihat oleh banyak orang. Sorry to say.nothing special Masakan yang standar.harga yang juga standar. Suasana Resto yang sangat biasa.kebetulan saya memilih lesehan yang kondisinya hmmm.kurang memadai,tikar yang lengket dan kotor mengurangi kenikmatan. Menunya juga biasa. Lanjutan",positive
"Menurut saya lumayan , tapi sambalnya kurang pedas, disini enak suasananya saja karena udara yang sejuk, untuk rasa makanan menurut saya biasa saja, lokasinya pinggir jalan utama memudahkan untuk di akses",positive
Jalan2 sama keluarga ke resto ini makan soto bandung dan pesan gepuk sapi. Pelayanannya cepat. Harganya juga relatif terjangkau. Suasana dingin bikin makan jadi ingin nambah.,positive
Kesan saya akan resto ini cukup ok. Makanan cukup enak tapi tidak sampai luar biasa. Tempat juga demikian. Saya sendiri sih sudah pernah 2 kali makan disini. Kebetulan merupakan tempat yang standard lah di daerah lembang,positive
Tempat makan dengan harga terjangkau dan makanan yang rasanya cukup enak. Bisa lesehan ataupun duduk di kursi. Terdapat kolam ikan yang melintasi ruangan di dalam restoran membuat anak-anak menyukai berkunjung ke tempat ini.,positive
"Mampir kesini untuk makan siang setelah dari tangkuban perahu. Kami memilih saung yang berada di atas kolam. Menu paket nasi liwet untuk 3 orang terdiri dari nasi liwet, ayam goreng kampung, tahu n tempe goreng, ikan asin, perkedel jagung, sambel n lalapan komplit. Rasa masakan cukup enak. Porsi cukup banyak untuk 3 orng. Suasananya juga menyenangkan dan adem.",positive
"Masakan Indonesia dengan rasa makanan yg standar, pelayanan baik, harga lumayan terjangkau. Konsep makan lesehan ala pedesaan. Cocok untuk tempat makan sekeluarga.",positive
"Makanannya enak dan reasonably priced. Suasana juga cukup menyenangkan, tidak terlalu ramai sehingga cukup nyaman untuk makan & ngobrol. Setahu saya ada bbrp lokasi saung pengkolan, yang kami datangi adalah yang di Jl sersan Bajuri",positive
"ikan mas dihidangkan dalam olah pepes, yakni dibungkus daun pisang setelah dilengkapi rempah-rempah dan dikukus. dinikmati saat panas menambah selera makan",positive
"Rasanya cukup enak dan harga terjangkau. Masakan khas Sunda seperti ayam goreng, gurami bakar, lalapan, dll. Mohon diperhatikan kebersihan tikar di lesehannya.",positive
"Kami dalam perjalanan ke Lembang dalam keadaan lapar. Saat melihat Saung Pengkolan ini kami langsung berhenti untuk makan. Kami memilih lesehan di lantai 2 sehingga mendapatkan pemandangan yang indah. Pesanan kami adalah cumi goreng tepung, Gurame goreng crispy, tumis genjer dan dua menu tahu yang saya lupa namanya. Secara keseluruhan tidak ada yang istimewa dari hidangan tersebut. Mungkin pilihan saya. Lanjutan",positive
"ketika saya memilih untuk menginap di hotel di daerah lembang, sering kali tempat ini saya jadikan pilihan untuk makan malam dan sangat sunda sekali. makanan enak, walaupun bukan yang istimewa, harga yang ditawarkan pun tidak terlalu mahal.",positive
makanan yg sangat enak.terutama ikan bakar yg sangat lezattttt dan disajikan oleh karyawan yg ramah bgttt.kl ke lembang lg pasti makan disini,positive
"Jalan2 ke Bandung, trus mau ke Tangkuban Perahu, pas banget jam makan siang. Pas sampai di salah satu tikungan ada rumah makan, saya baca namanya Saung Pengkolan, hehehe pas banget nama dan lokasinya. suasananya asyik jg, gak terlalu riuh, santai. Menunya standar rumah makan sunda. Sayur asem, ikan goreng dll. Smua masakannya untuk lidah saya sih pas aja, lumayan enak. Lanjutan",positive
