content,polarity
"Awal Agustus 2016 saya cari restoran di sukajadi ini karena kebetulan lewat dekat situ dan pengen makan, tapi bolak-balik jalan sukajadi dari cemara sampai belokan taman pertigaan yg ada halte tetap tidak dapat menemukan restoran ini. Kalau untuk D'Cost lainnya di Bandung saya kasih nilai rata-rata, tapi slogan harga kaki limanya kayanya perlu diperbaiki karena sudah tidak murah seperti dulu. Lanjutan",positive
"Suasana resto cukup nyaman dengan layanan yang cukup baik. Menawarkan beragam menu dengan bahan dasar seafood seperti Udang , Gurame, Bawal, Kakap, Kepiting dan juga ada Ayam serta sayuran. Gurame goreng rasanya gurih dan renyah. Sambal mangganya enak dan nikmat. Ayam goreng filletnya juga gurih dan enak. Gurame bakar kecap dibakar dengan sempurna rasanya gurih. Rata-rata masakannya enak.",positive
"Tadi siang sy mampir bersama keluarga utk makan siang di d'cost BIP & memesan makanan beserta 1 (satu) gelas es kelapa. Namun beberapa saat kemudian yg datang adalah 2 (dua) gelas es kelapa. Saya protes ke pelayan dan bilang saya hanya memesan 1 (gelas) saja, namun beberapa saat kemudian yg menerima order bersikeras bahwa saya memberikan 2 buah kartu es. Lanjutan",negative
"Kami sekeluarga mampir di restoran Sea food D'Cost, khusus masakan sea food. Sayang kepiting habis . Hanya kepiting kecil yg makan dengan kulit. Kurang enak lahhh. Jadi pesan juga udang goreng ok ok lah",positive
"Untuk jenis makanan seafood, harganya masih terbilang murah. Meski porsinya cenderung kecil, tapi rasanya enak. Dan tidak terlalu lama menunggu pesanan datang.",positive
"Seafood beraneka macam , boleh coba gurame goreng garing dan cumi telor asin, hanya saja meskipun harga kaki lima tapi rasa agak kurang enak dan makanan bukan fresh seafood",negative
"Untuk khas dari resto ini menurut saya tidak ada , porsinya kecil dan rasanya biasa saja. Jangan datang saat jam makan , ramainya bisa seperti pasar. Terakhir kami datang berempat pesan kakap asam manis, fu yung hai , tahu tempe dan sayuran. Tidak ada yang istimewa",negative
"Entah pas saya kesini atau kalo yg lain gimana, tapi waktu itu saya pesen kepiting asem manis, cumi tepung , kerang bambu saus tiram kok dingin ya, mana enak makan seafood udah dingin gitu. padahal taste nya menurut saya enak dgn harga yg lumayan terjangkau",negative
"Kesal karena samalam membeli seafood pinggir jalan dengan harga mahal dan rasahya tidak enak, akhirnya saya dan teman hati saya ingin balas dendam mencari seafood murah dan enak mumpung sedang berada di bandung, browsing dan dapat lah D'Cost ini, sebenarnya D'Cost ini banyak cabangnya hanya saja kebetulan kami terdekat yaitu ke D'Cost Seafood Sukajadi, akhirnya kami kesana dan memesan makanan. Lanjutan",positive
"Kalau di dcost kita pesan menu nya dengan cara ambil kartu, jadi kita bayar dulu apa aja yang mau kita makan lalu tunggu deh makanan nya dateng. Kalau rasa sih standard",positive
"SIstem pelayanan D'Cost telah berubah menjadi sistem mandiri (self-service). Harga makanan juga mengalamai kenaikan dengan porsi yang sama besar. Walau harga tetep oke dan tidak dikategorikan mahal, namun kepuasan secra rata-rata yang saya terima menurun dibanding sebelum sistem berubah.",positive
"Kalau ingin makan seafood dengan harga murah, saya biasanya pergi kesini. Menu yang menjadi favorit saya adalah semua yang dimasak dengan saus telur asin.",positive
"Saya datang pada hari jum'at tanggal 28/11/2014 , saya beserta rombongan tidak mendapatkan service yang baik , karena waiter tidak mengulang pesanan yang kami pesan , sehingga terjadi kesalah pahaman dalam pemesanan . dan kami harus membayar dengan jumlah yang mahal. belum semua pesanan kami datang , kami diharuskan membayar bill yang di berikan waiter. untuk menu yang kami pesan. Lanjutan",negative
"De Cost pada awal pembukaannya sangat menyenangkan makanan dengan rasa yang sedap, variasi cukup banyak dan harga terjangkau, tetapi sayangnya setelah semakin laku, maka rasa tidak seenak pada awalnya, dan harga juga hampir sama dengan resto lain yang menawarkan tidak hanya rasa tetapi juga kenyamanan dalam bersantap.",positive
"Dulu restoran ini merupakan favorit saya karena harganya yang relatif dijangkau dan rasanya yang lumayan. Namun sekarang, sepertinya ada penurunan rasa dari makanannya sehingga tidak spesial lagi. Kadang-kadang kalau sedang penuh, kita harus reserved tempat dan juga yang agak mengganggu adlaha pelayanannya akan menjadi lebih lambat. Makanannya cukup bervariasi walaupun porsinya tidak banyak atau besar tetapi patut dicoba bagi kalian. Lanjutan",positive
"Makanan nya sekarang semakin biasa saja rasanya. Kurang bisa mempertahankan mutu & citarasa masakannya. Berlokasi di mall BIP menjadi tempat makan yang cukup ramai dikunjungi tamu denga harga yang lumayan bersahabat. Udang nya alot, kulitnya sulit untuk dikupas. Demikian juga dengan cumi gorengnya alot.",positive
"Kami beberapa kali makan di tempat ini, harganya memang relatif murah, untuk yang makan banyak disini sangat cocok karena nasi putih bisa diisi ulang dengan gratis, demikian juga untuk minum air teh. Untuk cita rasa ya lumayan enak.",positive
"Sudah setahun setelah terakhir bandung akhirnya saya makan d' cost lg. d' cost adalah tempat makan favorit saya krn masakannya enak, bersih dan harganya murah. Tapi setelah makan di d' cost BIP kemarin, yg saya dapati adalah menu2 yg ""tidak ada"" atau ""habis"". Akhirnya saya dan keluarga hanya makan udang, tom yum dan sayur. Rasanya jauh dari enak. Tomyumnya tidak. Lanjutan",negative
"Menu yang enak dan murah. Favorit saya di D'Cost adalah ikan bakar, baik itu nila, kerapu atau ikan lainnya, ditemani cumi dan cah kangkung, wow, nikmat sekali. Dengan harga yang relatif murah (dan terjangkau) d'cost cocok untuk dijadikan tempat makan seafood bersama rekan kerja, teman atau keluarga. Sayangnya D'cost yang bertempat di Braga kini sudah tidak ada, padahal dulu tempat. Lanjutan",positive
"rasa lumayan, menu lumayan, macem-macem.tapi penuh.kalo banyakan harus reserve tempat dulu biar kebagian",positive
"saya datang sendirian, dan saya pikir porsinya besar. ternyata ketika datang porsinya cukup untuk 2 orang. Ketika itu saya cukup lapar dan 1 porsi saya habiskan sendirian. reasanya nikmat dan harganya pun murah.",positive
