content,polarity
"Ditempat ini saya nyobain kopinya, rasanya lumayan enak dan bisa dihias hias. harganya juga tidak mahal. untuk tempatnya juga asik buat ngobrol sama teman teman",positive
"Masakan tradisional soup buntutnya enak walau agak liat, minuman lemon tea nya terlalu asam rasa lemonnya (maklum lemon lokal)",positive
"Kamu bisa meminta chef memasak didepanmu, atau melihat bagamana barista melakukan latte art. Harganya tidak semahal cafe di kawasan Dago atas pada umumnya. Biasanya setiap bulan mereka akan melakukan dekorasi terhadap restauran sesuai tema bulan itu. Misal perayaan halloween pada Bulan Oktober serta hujan di bulan november. Sebagian besar menu adalah menu masakan barat, ada beberapa menu asia seperti nasi. Lanjutan",positive
"Tempat yang bagus, cukup berisik karena didepan restoran banyak kendaraan berlalu lalang. Beragam pelanggan yang datangn, lebih banyak tempat untuk berkumpul, mengobrol, dan rokok. Banyak mahasiswa di sana. Makanannya enak, tidak pernah diharapkan seperti berkualitas baik dan segar. Minuman beragam dan rasanya lumbayan juga. Pelayanannya ramah.",positive
"Tempat oke, rasa makanan oke. Untuk kumpul dengan teman sangat oke kerena di Bandung utara dengan udara yang sejuk. Yang mengganggu adalah perilaku koki di dapur yang kebetulan terlihat dari tempat duduk kami. saat menyiapkan makanan dia berulang kali mencicipi dengan jari !! sangat tidak higienis dan tidak pantas untuk kelas restoran seperti ini. manajemen harus memperhatikan higiene kebersihan dapur.",negative
"Upper east memiliki tempat parkir besar, itu hal yang baik. Suasana yang nyaman, tempat yang tenang untuk makan malam dan menghabiskan waktu sendirian untuk bekerja. Makanan Penutup nya bagus, enak dan lezat. Rasa kopinya lumbayan namun jika kamu mencari tempat kopi yang enak ini bukan tempatnya.",positive
"Lokasinya mudah di akses karena di Jalan utama menuju perbukitan Dago Pakar. Interiornya bagus terasa homey walaupun ruangannya tak terlalu besar. Lokasi di jalan ramai, membuat masalah parkir menjadi sedikit menyusahkan dan suara kendaraan yang cukup ribut di luar. Pengunjung masih dibolehkan merokok, sehingga buat yang tidak merokok ini menjadi masalah serius. Makanan berat seperti steak sapi/ikan agak terlalu lama. Lanjutan",positive
"Dinner bersama keluarga di sini merupakan pengalaman yang baru. Meskipun tidak ada ruangan khusus untuk yang tidak merokok, tapi duduk dekat jendela terbuka dan memandang ke arah jalan, cukuplah menyenangkan. Anak-anak memilih chocolate milk-shake yang lumayan enak dan food truck yang bisa dimakan bersama-sama. Food truck nya enak, terutama calamary dan sosisnya, walaupun chicken drumstick nya terlalu banyak rempah dan. Lanjutan",positive
"Makanannya enak. tapi tempatny kurang nyaman untuk lama2 ngobrol. Harganya jg gak terlalu mahal. cocokny buat makan siang, soalnya porsiny lumayan besar. overall, good enough. hanya tinggal meningkatkan service dan waiter/waitress supaya lebih welcome ke customer.",positive
"Breakfast nya cukup enak, cuma agak lama menunggu nya padahal kita pengujung pertama. Untuk tempatnya cukup cozy.",positive
Pelayanan cukup baik. Minuman agar selalu menggunakan bahan/buah2an yg msh baik dan layak utk dikonsumsi. Pastikan kelengkapan cashier semuanya berfungsi dg baik. Good Luck,negative
