content,polarity
"Sate M. HADORI terletak di dalam lingkungan stasiun hall Bandung di Jalan Suniaraja. Rumah makan sate yang sudah sejak lama berdiri ini menyajikan sate dari kambing muda atau disebut sinereut. Sinereut memiliki tekstur yang empuk dan juicy. Dibumbui hanya dengan lada dan sedikit garam, cita rasanya alami daging kambing yang khas namun tidak berbau.",positive
"Tidak terlalu suka sate, tapi ketempat ini karena penasaran dengan hasil ulasan di beberapa site. Satenya lumayan empuk, harga standar. Pelayanannya lumayan cepat, yang terpentine tempat bersih.",positive
"sate kambing dan gulai kambingnya maknyus, penyajian makannannya juga sangat cepat. tempatnya cukup bersih",positive
"Saya makan di Paskal Hypersquare. Saya order sate kambing campur. To be honest, taste nya disaster. Plus harga nya (Rp 55,000/porsi) cukup over price. Kecewa berat dan gak akan repeat.",negative
"Begitu masuk resto ini sudah tercium bau yang khas mengundang selera untuk makan. Sate yang disajikan masih segar. Selain daging kambing tersedia daging sapi dan daging ayam. Selain sate ada menu yang lain seperti Gule, Tongseng dan Sop sumsum. Sate kambingnya sangat nikmat dengan pilihan saus kacang dan sambal kecap dengan irisan cabe rawit. Dagingnya terasa lembut dan bau kambingnya. Lanjutan",positive
Satenya enaak.ga nyesel makan disini.hanya tempatnya aja yang kurang enakeun.karna berisik secara dekat terminal angkot bandung,positive
"satenya sangat empuk dengan menggunakan daging kambing muda. gulai nya lezat, harga bersahabat. dekat stasiun bandung dan pasar baru.",positive
Satenya enak.ngga bau. Gulenya empuk ngga enek. Cocok untuk kpn aja.bersama keluarga.atau sendiri. Rasanya ngangeni,positive
"Kenapa Sate Hadori empuk, Rahasianya adalah kami suppliernya, Usaha Bangkit Bersama adalah supplier Daging Kambing untuk Rumah Makan Sate Hadori Stasion Bandung selama puluhan tahun. Berawal dari kegigihan dari leluhur kami mendiang H. Iyon Taryana. Kami menjadi supplier daging kambing untuk beberapa Rumah Makan Sate di kota Bandung termasuk RM. Ampera yang Cabangnya dimana-mana. untuk konsumen luar kota bisa diambil. Lanjutan",positive
"Tertarik dengan rekomendasi dari teman-teman serta hasil searching di internet yang mengesankan seakan-akan Sate Kambing Hadori ini merupakan sebuah legenda kuliner yang pantang dilewatkan, maka kami sekeluarga pun bersusah payah dari Jakarta datang ke sini. Tempatnya biasa saja, namun kami sudah terbiasa dengan tempat seperti ini, karena justru di tempat biasa seperti inilah tersembunyi keajaiban kuliner Indonesia. Kami sekeluarga memesan. Lanjutan",positive
