content,polarity
"Rumah makan ini letaknya sebelum kota lembang kalo kita berjalan dari arah bandung, sajian makanan atau menu banyak menyajikan makanan khas jawa barat khususnya masakan sunda, dengan sambal khasnya yang akan membuat siapapun yang makan menjadi ""kepedasan = Lada"" dalam bahasa sunda, sangat rekomendasikan untuk rumah makan satu ini di jamin SEUHAH.",positive
"Masih dengan hawa dingin khas Lembang, D'SDL menawarkan menu ayam sebagai jagoannya. Ayam Ngumpet dan Sate Goreng adalah 2 menu khas restoran ini. Selonjoran di gazebo sambil mencari ayam yang memang seolah ngumpet untuk dimakan menjadikan sensasi tersendiri. Dari segi rasa, restoran ini termasuk yang rekomen.",positive
"Pilih tempat yang atas lgsg dpt sunset view, makanannya enak ala sunda dan terjangkau, tp makin malam makin dingin di Lembang, jadi gak lama setelah makan langsung pulang.next mau mampir kesini kalau lg di Lembang.",positive
"Perjalanan ke Lembang saat itu merayap cukup lama karena lalu lintas begitu padat, perut kami pun sudah mulai minta diisi. Nah, ada satu pilihan, yaitu mampir di restoran ini. Kami memilih saung lesehan yang membuat kami santai, dari sini kami dapat memantau suasana jalan raya di bawah sana. Makan enak sambil menunggu jalan sedikit lenggang. Setelah tenaga kami pulih, kami. Lanjutan",positive
"makanan sunda pada umumnya sama, pepes ikan, karedok dan lain yang umumnya agak sedikit manis sebagainya, tapi di DSDL anda bisa menikmati makanan khas sunda dengan tingkat pedas yang lebih beda dari masakan sunda biasanya dan disini juga menyediakan tempat makan panggung dari bambu dan saya sarankan agar mengambil tempat yang di bagian atas agar bisa melihat pemandangan wilayah perkampungan. Lanjutan",positive
"Coba menu special dari dsl ini deh, ayam ngumpet nya enak banget bisa pilih mau digoreng atau dibakar maupun keduanya. Es krim sayuran nya juga enak. Pilih saung atas ya soalnya view nya bagus. Nuansa sunda nya kental banget, suka. Pelayanan ramah, toilet dan mushola bersih. Pasti balik lagi kalo main ke bandung.",positive
Menyajikan masakan Sunda yang mantap banget dan juga makanan Timur Tengah yang top. Jika kesini mesti nyobain Ayam ngumpet deh.,positive
"Highly Recommended, masakan enak bgtt beneran! Sayangnya waktu dtg ad beberapa menu yg abis (mgkn krn high season).trus dot place (saung) yg di bagian atas dan kita dtg pas jam2 matahari terbenam, and well kita dinner ditemenin sunset deh! Dan itu baguus bgt.tips buat pengunjung minta saung yg di atas yah dan kalau dtg malam pakai jaket krn dingin sekaliii.:)",positive
"ini tempatnya ngga jauh jauh amat, dan ada di pinggir jalan. makanannya enak, dan harganya reasonable :) cocok buat keluarga, tempatnya luas dan konsep Sunda-nya dapet :D",positive
"Restoran ini menyediakan berbagai macam makanan seperti Arab, Sunda/lokal, dengan pemandangan yang asri",positive
"bagi kamu yang suka makan dengan alam terbuka, bisa ni coba tempat makan yang satu ini, selain pemandangannya yang indah, sejuknya udara sekitar menambah nikmat kita makannya",positive
"Rasa makanan di restoran khas sunda ini menurut saya sangat enak. Beberapa menu yang saya coba, keseluruhan rasanya enak, seperti gurame bakar, ayam ngumpet, sambalnya,dll. Harganya sih lumayan, tidak murah jg, tapi sesuai dengan rasanya. Hanya saja lokasi restoran ini agak jauh dari pusat kota, sehingga membutuhkan waktu tempuh yang lumayan jika anda berada di pusat kota Bandung.",positive
Sate goreng ditawarkn sebagai spesiality oleh pelayan. Ternyata hanya 2 potong iga sapi dengan sedikit sekali daging. Lebih banyak lemak dan urat. Yang lainnya masih ok.,negative
"Kuliner yang disuguhkan di restoran D'Seuhah Da Lada sesuai dengan lidah orang timur. Ada yang menarik saya adalah menu ""Ayam Ngumpet"", ""Karedok""dan ""Piter & Jengki"" sampai saya mencatat cara mengolahnya. Untuk lauk ""Piter & Jengki"" sangat unik, ternyata olahan pete dan jengkol, tapi tidak bau menyengat seperti yang sering kita temui. Pokoknya, perlu dicoba dan dikunjungi restoran ini.",positive
