content,polarity
"Salah satu tempat makan sunda favorit saya. ayam goreng nya enakkk, campur sambal tomat dan nasi hangat makin nikmat. Selalu rame kalo kesini apalagi sabtu dan minggu.",positive
"Awalnya penasaran kok selalu ramai.akhirnya dicoba juga.Ayam gorengnya agak basah.nggak kering.mpuk gt :).sambel dadaknya yang nendang.enak.selebihnya seperti rumah makan sunda lainnya pepes,tumis dll yang rasanya standart.Jadi klu kesini yang dicari ya sambal dan ayam gorengnya.",positive
saya sering diajaka temen saya yang favorit banget dengan nasi ciganea. sambel dadakannya khas dan sedap,positive
"Kami suka makan disitu,, ayam nya Top , digoreng selewat, jd tidak kering dan keras. Bumbu nya pun meresap baik. Dan yg juara,, Sambal nyaa. Luar biasa, bs nmbah dan nambah terus. Pepes jamur dan pepes teri jg enakk.",positive
"Paru goreng nya mantap. Sambalnya juga enak. Kalau yang suka goreng ayam yang basah, disinilah tempatnya yang enak",positive
I always miss this place Ikan mas gorengnya tidak berduri sebanyak biasanya. Slalu minta goreng ulang kering dan minta bumbunya yg enak Sambal trasinya segar skali Ikan mas balitanya sedappp Kl mau masakan sunda good place to go,positive
"Makanan di Ciganea enak semua, sambel dan lalapannya seger, ayam gorengnya meskipun digoreng tidak sampai garing lebih mirip ayam pop di resto Padang rasa gurihnya meresap banget, bakwan jagungnya enak, ikan mas kecil gorengnya juga cukup gurih meskipun rasanya agak keasinan buat saya. Makanan utama disediakan ala resto Padang, ada juga menu pesanan yang harus kita pesan terlebih dahulu. Harganya. Lanjutan",positive
Rumah makan ibu haji ciganea purwakarta di jalan suka haji bandung . Kami dengan keluarga sudah beberakali ke rumah makan ini . Sambel bisa minta pedas sekali atau pedas sedikit . Sambal nya luar biasa. Madakan lain nya biasa/biada nasi juga puken . Layanab cepat . Dan ramah juga baik.,positive
Senin 25 juli 2016 makan siang bersama teman. Begitu duduk lsg dusajikan menu makanan apa adanya. Cuma 3 macam menu dan tidak ada lalapan labu siam. Sdh minta bbrp tambahan menu sama sekali ga respon. Akhirnya sy hanya makan ala kadarnya yg tentu ga ada nafsu sm sekali.,negative
Paling suka adalah sambel terasinya. Hot bgt. Saya juga suka pepes nya. Ayam goreng dan sayur asem. Smua rasanya pas. Harganya jg standar. Hanya kalo jam mkn siang hrs waiting list,positive
