content,polarity
"Sebelumnya uda beberapa kali kesini tapi pasti uda sold out di bawah jam 9 malem, datanglah akhirnya kita jam 7 an kita pesen premier tenderloin dan sirloin harganya 80-90 moreless. Steak nya tebel tapi empuk dan bumbunya meresap banget sampai ke sanubari hehehe, saladnya pake bayam gitu kayaknya enak loh, baru kali ini kita makan spinach salad. Enaknya disini walaupun. Lanjutan",positive
"Saya jarang makan steak yang beneran karena mahal. Tapi di sini steaknya beneran dan harga terjangkau. Wagyu nya mantap pisan. Layanannya cepat,pelayannya informatif dan ramah. Bisa menjadi restoran langganan dan bawa tamu,karena gak bakal kecewa.",positive
"Pelayanan cukup ramah bersahabat, dengan space yang bersih dan cukup luas. Penyajian pesanan cukup cepat. Steak-nya kurang bumbu agar rasanya tidak terlalu plain, Rasa masih bisa diperbaiki lagi, dibandingkan dengan Holycow lain misalnya di Bali, rasanya sangat berbeda, di Bali lebih enak. Memang harus segera diperbaiki, tidak ada aroma butter di dagingnya.",positive
"keunggulan holycow dibanding resto steak lain adalah wagyu nya yang mantap. Favorit saya adalah wagyu Sirloin Steak yang dinikmati dengan mushroom Sauce. Rasanya mantap. Dagingnya tebal dan dinikmati dengan butiran jagung rebus, sayur bayam dan mash potatto. Enak dan mantao",positive
"steak disini enak dengan porsi yang cukup besar.Japanese beef nya lembut dan juicy.tenderloin nya juga enak.baik yang welldone maupun medium rare. Medium rare nya pas.matang dilapisan luar,bagian dalamnya juicy.saus nya boleh pilih,.biasanya saya pilih mushroom atau blackpepper.keduanya mantabs. klu malam minggu lbh baik datang lbh cepat karena beberapa kali saya lihat mereka kehabisan.yg tersisa tinggal wagyu.seharusnya mreka stock malam minggu. Lanjutan",positive
Ini ketiga kalinya saya pesan burger disini. Rasanya tidak ada yang ngalahin deh. Enak banget. Pelayanan cepat. Harga terjangkau.,positive
"steak nya tebal tapi empuk dagingnya , rasanya juga pas , kebetulan saya ambil sauce yang namanya buddy sauce (enak juga) , harganya cukup terjangkau kisaran 90 ribuan udah dapet yang 300grm , kalau jalan jalan ke bandung lagi pasti harus mampir ke sini lagi",positive
Disini tempat khusus makan steak. Gak bisa buat yang veget. Tempatnya sih nyaman buat lama-lama alias nongkrong hehe. Tempat ini cocok buat yg seneng makan daging.,positive
"Agak berbeda dengan steakhouse yang lain menurut saya, steak di holycow tidak dihidangkan disiram saus, tapi dipisah. Di holycow saus berperan penting agar menutupi rasa steak dan tumis bayam yang hambar. Sayangnya, saus mushroom rasanya cenderung hambar, kalau yang lain masih mendingan.",positive
"steaknya digrill dengan sempurna, ketebalan dagingnya cukup. saos yg direkomendasi : blackpepper sauce.",positive
"Saya memesan steak dengan tingkat kematangan medium well. Saat steak datang, dagingnya matang dengan pas sesuai permintaan. Dagingnya begitu juicy, rasanya pas. Ketebalan daging memuaskan sehingga menciptakan citarasa daging tetap ada, nanti keempukan steak juga tetap terjaga (tidak menjadi alot karena terlalu tipis). Resto ini cocok untuk Anda penggemar daging (Carnivores) Untuk yang berulang tahun, bisa mendapatkan Chicken Steak (Bandung). Lanjutan",positive
"menurut saya steak nya biasa saja, waktu itu saya pesan yang steak lokal dan medium tingkat kematangan nya. pas saya makan agak keras dan liat dagingnya overall buat tempat sih lumayan strategis karena adanya di jalan riau, tapi untuk makanan dengan range harga 100 ribu ke atas kurang worth it kalau menurut saya",positive
"Menurut saya steaknya cukup enak, hanya lebih baik pesan yang paling gede aja yang Wagyu, itu lebih empuk dari yang lain. Kalau yang Sirloin kemarin ini kebanyakan minyaknya saya agak kurang suka. Kalau ke sini, bisa sebarkan photo di sosmed dan mendapatkan free ice cream. Ice creamnya BTW enak loh :) Kalau segi makanan OK, dari pelayanan juga baik, cuman. Lanjutan",positive
"Wagyu dan Japanese prime-nya recommended. Tingkat kematangan pas sesuai dengan permintaan. Secara keseluruhan, makanan enak dan harga sesuai dengan kualitas. Namun tempat menurut saya masih kurang nyaman dan kurang besar. Non-smoking area sempit sehingga lebih enak duduk di smoking area.",positive
