content,polarity
"Entah knp rasanya jd kurang, saus tiram terlalu over rasany, saus padang jg agak aneh, yg enak cmn gurame saus bali nya.kangkung polos ga brasa, yg terasi cmn rasa terasi.kerang2 kosong.waiter tdk responsif, susah dipanggil.es campur kosong. Kecewa sama kunjungan terakhir ini.pdhl sblmny dtang ksini enak.",negative
"Pilihan menu seafood yg beragam dan segar, rasa yg mantap, tempat yg luas, pokoknya ajiibbb dah buat makan seafood.!!!!!",positive
"menurut saya makan disini porsinya banyak dan harganya murah, terus makannya cepet datengnya lagi dan tempatnya juga bersih dan luas",positive
"Resto ini suasananya cukup nyaman dengan layanannya yang baik. Tersedia berbagai menu masakan seafood berbahan dasar kdpiting, udang, kerang, bawal dan kerapu. Udang goreng mentega rasanya enak dan mantap. Udang asam manis rasanya manis dan segar. Kepiting saus Singapore rasanya sangat mantap.Rata-rata masakannya enak dan mantap.",positive
Enak rasa masakannya apalagi kepiting.yang menyenangkan kita memilih kepitingnya sendiri dan masih fresh. selalu mampir kesini kalau setiap ke bandung.,positive
"Menu favorit saya kepiting saos singapore, rasa bawang putih berpadu dengan pedasnya cabe terasa enak banget, ikan bakar kecapnya standart, cumi goreng tepungnya crispy, tumis kangkung dan brokolinya juga enak, udang jarinya juga mantap. Harga makanan dan minuman di resto ini cukup murah, aneka juice buah hanya sepuluh ribu rupiah. Puas banget makan malam bersama teman teman di Parit Seafood,. Lanjutan",positive
"Menu kepiting saos Singapore nya sangat istimewa dan menjadi ciri khasnya. Sudah coba di tempat lain untuk saos Singapore belum ada yang mirip atau lebih dalam cita rasanya. Harga juga cukup bersaing dibanding restaurant dengan menu kepiting ditempat lain. Jauh2 dari Jakarta ke Bandung untuk mendapatkan kepiting saos Singapore. Tempat dan cara menyajikan perlu diperbaiki. Akan tetapi, jika kita suka. Lanjutan",positive
"Terletak di sekitar Martadinata Bandung, Tempat ini lumayan mudah di jangkau. Tapi Karena kebetulan saya datang pas bulan ramadhan, Jadi Pada saat berbuka luar biasa rame nya. Dan memang harus datang Cepat Sebelum waktu berbuka Tiba agar Bisa dapat tempat duduk Yg ideal. Karena Peminat restoran ini lumayan Banyak. Rasa Kepiting dan harganya Juara. Bumbu nya meresap dan rasanya enak. Lanjutan",positive
"Kalau suka seafood, terutama kepiting, jangan lupa coba tempat seafood yang 1. Rasanya. maknyos. Harganya juga terjangkau ga terlalu mahal untuk ukuran harga seafood. Cuman 1 yang sayang seribu sayang. poor service. Buat pelanggan yang pertama nyoba ke tempat ini, saran saya, sebaiknya order1x, jangan mikir ntar aja tambah kalau kurang, karena: 1. pelayannya susah dipesenin lagi (apalagi kalau pas. Lanjutan",positive
"Kami melihat beberapa review dari guest comment setelah muter2 tibalah kami di PARIT SEAFOOD. pesan ini itu sudah pada habis kecuali kepiting, udang, ikan kerapu dan.cumi . kami pesanlah udang goreng tepung, dan cumi saos padang berikut ikan kerapu di buat tomyam Kebersihan bad very.very dirty dan tiba lah menu udang + cumi agak telat sekali staff nya karena hampir. Lanjutan",negative
"Tanggal 7 kemaren,saya mampir ke restaurant ini,membeli 1 porsi kepiting saos singapore dgn harga 205.000 per porsi(1 porsi terdiri dari 3 kepiting,ukurannya sedang).saos singaporenya pedes,cocok buat yang seneng pedes.kita bisa minta kalo tdk ingin terlalu pedas.kepitingnya juga fresh.kepiting saos singapore di parit 9 seafood rasanya mantap,bikin ketagihan.",positive
