content,polarity
"Berkeliling di mall PVJ, mencari tempat makan, kami tertarik mencoba zenbu setelah melihat ada menu sushi dan ada nasi goreng vegen. sangat enak makananya dan harganya pun terjangkau. sepertinya kemarin waktu kami kesana tgl 10 Februari, terlihat paling ramai dibanding resto lainnya. good. :)",positive
"Kami keliling cari makan di mall PVJ dari jam 11 siang, tapi banyak resto yang belum siap. Katanya buka jam 12an. Keburu lapar mbaaa. Nah ketemulah sama Zenbu yang sudah buka. Iseng deh coba makan dsana dan ternyata kami beruntung. Pilihannya banyak. Rasanya lumayan enak. Tapi sekali lagi kami kebanyakan pesan. Porsinya besar, ukuran sushinya juga besar. Menu yang kami. Lanjutan",positive
Kali ini kami memesan teppanyaki dan pasta dengan saus umami. Pastanya biasa saja. Kurang enak. Teppanyakinya kemanisan. Spicy salmon sushinya juga kurang enak bumbunya.,positive
"my favourite ! mneu yang paling saya suka adalah MODANYAKI seafood dan salmon, rasa yang tidak bikin enek walau porsinya banyak :) wajib coba deh",positive
"Menu favorit adalah mozaru, nasi dengan topping pilihan kita. Nasi tersedia dalam pilihan nasi kari atau butter. Topping mulai dari jamur, ayam, sapi, salmon. tempat cukup nyaman, dengan pilihan indoor atau outdoor",positive
"sesuai namanya, zenbu house of mozaru menyajikan mozaru yang lezat. dengan pilihan berbagai macam daging, mulai dari ayam, sapi, jamur, hingga seafood. pilihan rice nya pun ada 3, favorit saya adalah butter rice. plus sauce dynamite (sauce nya pun tersedia dalam 3 pilihan). Kejunya mantap banget, yummy, dan mengenyangkan.",positive
"Tempat ini ada di dalam paris van java. Nyicipin beberapa sushi dan ramennya rasanya enak semua. Harganya pas, kalo menurut saya sih tidak mahal",positive
"Berlokasi di mall PVJ, mall terramai di Bandung. Kami memilih makan di teras luar agar lebih bisa menikmati udara malam yang sejuk. Pilihan makanan cukup bervariasi dari sushi, sashimi, ramen, tempura, mozaru dll. Sesuai dengan taglinenya bahwa resto ini merupakan 'House of Mozaru' maka anak saya mencoba salah satu menu Mozaru ini. Saya memilih makan beef tepanyaki. Rasa masakannya standard. Lanjutan",positive
Pilihan menunya lengkap. Mozarunya harus coba. Enak banget. Untuk sushi juga banyak pilihannya tapi harganya tergolong mahal kalau dibandingkan yang lain.,positive
"Kalau makan disini, jangan lupa untuk memesan Mozarunya. Rasanya sangattt enak! Apalagi dengan nasi butter dan saus tomatnya. Keju mozarellanya melimpah! Restonya cukup asik untuk berlama-lama, apalagi untuk tempat yang outdoor",positive
"Mozarunya top markotop. Yang paling saya suka butter rice, butter sauce, dah topping jamur. Pasta dengan saus kari jepangnya juga enak. Patut dicoba deh!",positive
"cafe zenbu di paris van java , adalah makanan jepang, saya dan keluarga saya pernah beberapa kali mencobanya, saya tak lain pasti pesan beef teriyaki , dan minumam strobrry juice .",positive
"Terdapat lumayan byk pilihan makanan di sini. Saya mencoba mie goreng Jepang, salmon belly soup, tahu jepang, cheese baked rice. Semuanay oke bgt. Salmon soup nya sangat gurih. Harga sedikit lebih mahal.",positive
