content,polarity
"Rata"" orang Bandung pencinta steak pasti pernah kesini, tempatnya uda lama banget. Dulu tiap bulan kesini terus skr kl lg keuangan menipis, sudah larut malam pasti milihnya ke Suis karena buka sampe jam 11 malam dan weekendnya sampe jam 12 malem. Tempatnya homie banget, santai dan ngga berisik berlama"" disini betah juga. Semua menu steak disini pernah kita pesen, rib. Lanjutan",positive
Steak legendaris suis butcher ini memang gak pernah ngebosenin. enakkk banget steaknya. bikin bolak balik kalo ke bandung mampir ke sini terus. juara !!!,positive
"dari jaman kuliah sampe sekarang masih doyan aja makan di suis butcher. enak , terjangkau, tempatnya juga cozy.",positive
"harganya boleh dibilang cukup terjangkau. yang terkenal ada steaknya, namun saya lebih memilih spagehti carbonara disini. Porsinya kurang banyak. hhhaha. namun rasanya lumayan enak sesuai harganya. campurannya hanya terlihat keju dan daging asap tipis. Juga saya coba chicken mushrom soup. rasanya cukup gurih",positive
tempat nostalgia dari tahun 1999 dimana saat itu masih sangat jarang restaurant yg menyajikan steak dengan harga terjangkau utk kantong anak kuliahan. tempatnya yg strategis dgn interior yg nyaman jg rasa yg enak membuat tempat ini menjadi favorit saya dan pasangan. sampai saat ini apabila melewati setiabudi pasti disempatkan untuk mampir.,positive
"Sejak kuliah, saya sering makan disini untuk menikmati steaknya. Favorit dan wajib untuk dikunjungi ketika berada di Bandung",positive
"saya tadinya mau memesan mix grill, rupanya mereka kehabisan daging kambing nya. jadi saya pesan chicken steak, ayamnya enak, masih segar dan juicy, tidak terlalu kering. hanya saus jamur nya tidak begitu berasa. rasanya kurang terasa di lidah. goulash soupnya enak dan mengenyangkan. disediakan juga air putih. pelayanan nya baik dan cepat. tempat parkir pun mudah.",positive
"pilihlah malam hari agar suasananya lebih terasa. Beberapa menu seperti Chicken Gordon blue, steak tenderloin atau sirloin bisa dicoba. Enak biarpun cukup mahal. tapi puas",positive
"Bandung memang terkenal dengan wisata kulinernya. Selain makanan asli daerah Bandung, ternyata untuk makanan khas barat pun juga ada di Bandung, salah satunya adalah Steak. Restoran ini menyajikan steak daging sapi dan ayam. Rasanya nikmat dengan harga yang hemat jika dibandingkan dengan steak seperti di hotel. Suasana restoran pun di design menyerupai nuansa di eropa.",positive
"kami selalu makan di suis butcher, bersama keluarga. harga murah, rasanya pun tak kalah enaknya. kami sebenarnya lebih sering mengunjungi, suis butcher yg berada disekitar jalan Riau.kalau yg di setia budi agak susah parkirnya.tapi overall rasanya top lah untuk harga yg murah meriah.",positive
"Suis Butcher menjadi tempat makan yang wajib dikunjungi setiap ke Bandung. Steak yang disajikan enak, porsinya pas dan murah meriah. Favorit saya side dishnya brokoli and cheese. Setiap cabangnya terletak di lokasi yang strategis hingga mudah ditemukan.",positive
"baru pertama kali ke suis butcher atas rekomendasi teman yang asli bandung. katanya udah sejak dia kecil sudah ada. tempatnya sihh emang uda agak kuno interiornya . untuk steak menurut sy enak . sausnya cenderung biasa ga ada specialitynya. kemarin mo coba tenderloin lg kosong. akhirnya pesen sirloin parmegio. overall 7,5 lahh. minum jus avocado mmm enakkk",positive
"Sempat menjadi favorit namun hilang begitu saja. Makananya begitu tawar, steak tidak lagi menggoda seperti dulu. Ternyata kokinya pindah ke FCL, jadi jika ingin menikmati steak enak ala Suis sebaiknya di FCL saja",negative
"Di tempat ini anak saya pertama kali makan mash potato dengan bentuk bulat seperti es krim, sejak itu dia senang sekali makan mash potato. padahal sebelumnya kalau waktunya makan, dia hanya mau makan nasi. Tapi sejak makan mash potati di SUIS Butcher, maka ada alternatif makanan selain nasi.",positive
"Suis Butcher adalah favorit saya selama lebih dari 10 tahun menemani. Akhir Januari lalu kami kembali mencoba dengan menu favorit saya chicken kiev dan sirloin steak. Saya dan mama saya makan berasa sangat hambar, sehingga kami menanyakan pada pelayan mengapa rasanya tidak se enak dulu. Ternyata Suis telah memindahkan chef di Setiabudhi ke FCL, kontan saya juga pindah jadi langganan. Lanjutan",negative
"Daging tenderloinnya sangat enak, orange juice dengan keasaman yang pas,thanks suis butcher! Tapi interiornya gelap dan meragukan, dan chicken maryland overcooked, sehingga kurang pas, tapi overall, I love it!",positive
Rasa steak yang enak dgn harga yang sangat reasonable. Pilihan steak yang beragam dan semua nya enak.,positive
Makan malam jadi lebih nikmat dengan salad yang begitu delicious. pingin nambah porsi. hehehe. Coba T-bone steak nya sangat enak dengan saus berbeque. cocok makan dengan kluarga besar atau berdua dengan pasangan.,positive
tempat nya enak cozy. T-BONe steak nya juara banget saya paling seneng mkn steak itu. tempat parkir nya kurang luas. dan menyebalkan klo pada saat kita mkn kemudian di suruh untuk memindahkan mobil karena ada orang lain yg selesai mkn dan akan keluar kendaraan nya .,positive
Makan disini mau berdua atau bersama keluarga enak enak saja. tempat nyaman dengan lilin dan lampu redup. jika kurang terang tinggal nyalakan lampu besar diatas meja.service bagus. pelayanan ramah. namun satu yg kurang berkenan di hati. penyajiannya pakai piring. karena bandung dingin ada baiknya steak disajikan dengan hot plate. over all okey sih,positive
