content,polarity
"Tempatnya bagus untuk yang ingin jauh dari suasana kota, ga akan ada suara mobil atau motor apalagi klakson yang memusingkan telinga. Kesini terakhir untuk makan-makan dengan teman-teman. suasananya rame karna lagi ada yang perpisahan di ballroomnya. Kita dapet paket dari groupon pas kesini sih, paket makan dan berenang. Untuk makan sendiri kita bebas pilih tempatnya (di restaurant atau di pinggir. Lanjutan",positive
"LOKASI - Bumi Sangkuriang terletak di daerah Kiputih, Bandung. Anda dapat mencapai tempat ini melalui jalan Ciumbuleuit. - Tempat ini sangat baik untuk dikunjungi. - Udara yang segar dan lingkungan yang bersih. YANG DISUKAI - Terdapat taman yang besar dengan rerumputan yang hijau. - Pemandangan yang indah untuk dilihat. - Makanan dan masakan yang lezat. - Staf yang ramah. -. Lanjutan",positive
"Resto ini tempatnya sangat menawan mempunyai halaman yang luas. Penataannya sangat serasi dan bagus. Suasananya sangat nyaman untuk refreshing. Menu cukup banyak dan beragam seperti Nasi Soto ayam, Nasi Timbel, Tenderloin steak, Sirloin steak, Chkcken steak, Spaghetty dan masih banyak lagi. Nasi timbel rasanya enak dan mantap. Tenderloin steak rasanya gurih dengan daging yang empuk. Spaghetty rasanya enak dan mantap. Lanjutan",positive
"Makanannya lumayan enak, sup iganya nikmat. anak-anak juga bisa sambil bermain karena ada playgroundnya.",positive
"Tempat yang cocok buat liburan keluarga, makanannya enak enak, bisa buat gathering atau pun wedding.",positive
"Terletak di kawasan Bandung Utara, Bangunan klasik hotel ini sangat menarik untuk kumpul-kumpul dengan keluarga maupun teman. Ada kolam renang di belakang, lumayan besar. Taman di bagian belakang juga cukup luas.",positive
"Emang sih sore sore disini itu enak utk duduk2 di terasnya :D Sukaaaa karena. angin sepoy2, plus dedaunan hijau hijau. Adem <3",positive
"saat saya datang ke tempat ini sewaktu menghadiri acara pernikahan teman saya, lokasi strategis,sejuk,luas,asri dan view sangat cocok untuk berbagai kegiatan acara.",positive
"Gedung pertemuan Bumi Sangkuring, merupakan salah satu gedung bersejarah yang terletak di Utara Kota Bandung, dikelilingi suasana alam yang sejuk ciri khas kota Bandung, gedung ini juga dilengkapi dengan Kolam renang dan halaman yang luas dan asri, terdapat juga fasilitas olah raga tenis lapangan dan gym, syangnya untuk emnikmati seluruh fasilitas harus menjadi member",positive
"Dulu waktu saya kecil suka berenang disini sambil makan cemilan. Cemilan yang paling saya suka itu bitterballen dan chicken drumsticknya. Bitterballennya rasanya masih sama tapi chicken drumsticknya rasanya sudah menurun jauh. Sup krim ayamnya juga kurang enak. Cukup kecewa secara overall. Untuk tempat, sangat nyaman untuk bersantai.",negative
"Menu sarapan di bumi sangkuriang ini sangat bervariasi,anak-anak saya dapat memilih makanan kesukaannya sendiri dan rasa makanannya pun sangat enak. Untuk restonya sendiri juga sangat child friendly,jarak antar meja satu ke lainnya agak lumayan,jadi kalau anak sedang bercanda,tidak mengenai meja/kursi sebelahnya.",positive
