content,polarity
Waktu datang ke sini sedang bukan musim stroberi jadi pada kecil-kecil dan ga bagus. Jadi cuma ambil seadanya aja.,positive
"Rumah stoberi ini sangatt luas dan enak buat nongkrong rame2 sekeluarga. stoberinya sih biasa aja ya. makanan juga standar sih gak unik2 amat. cuman enak aja tempatnya. ^^ bisa petik stoberi juga, cuman harus booking dan pas lagi musim petik.",positive
"Senang sekali bisa petik strawberry sendiri, strawberry nya pun banyak dan matang. Meski mahal, tp puas. :) Pelayan nya pun ramah dan baik. Syarat utk petik strawberry : harus beli paket makan utk 4 org, 130rb-- ayam goreng + nasi, 150rb -- gurame goreng + nasi Strawberry yg dipetik bayar 10.000/ons",positive
"Aslinya tempat ini adl resto yg jg d lengkapi dng beberapa villa private dan kamar2 sperti hotel,ada jg arena bermain anak kecil,kolam renang kecil dan tentunya kebun stroberi di area belakang resto.kami menginap slama 1 hr d sini,di kamar Jepang 3,lokasinya d lantai 2 dekat dengan jln raya,bangunannya terdiri dr 2 lantai dng 6 buah kamar,selain itu ada beberapa villa. Lanjutan",positive
"lokasi restaurant tidak di jalan besar, jd harus masuk jalan kecil (tp cukup untuk 2 mobil) dan berkelok2. menu andalan adalah nasi liwet (paket), boleh pilih antara ayam goreng atau gurame. rasanya enak plus jus strwaberry (saran tambah susu), segar asam manis.",positive
Tempat yang adem nyaman pelayanan yang ramah harga harganya terjangkau boleh dikatakan murah nasi liwetnya top markotop,positive
"Restoran yang dilengkapi fasilitas hotel, penginapan, taman bermain anak, highrope, flying fox dll, bisa memetik storberi sendiri. Makananya sendiri cukup enak. Favorit saya Nasi liwetnya. top pokoknya.",positive
"Berkunjung ke Rumah Stroberry bersama teman - teman untuk arisan, suasana nya nyaman dan pelayanan yang cepat dan ramah, makanan enak sesuai dengan harganya.",positive
Berkunjung ke rumah stroberi untuk bersantap malam bersama keluarga sembari menikmati suasana udara sejuk pegunungan. Menu favorit kami adalah sop buntut dan paket nasi liwetnya.,positive
"Terakhir ke tempat ini beberapa tahun yang lalu ketika masih berupa cafe, sekaramg sudah jadi penginapan dan boutique hotel. Untuk yang travel bareng anak2 pasti suka menginap di sini. Ada playground yang seru, swimming pool, high rope, flying fox (kalau menginap dapat tiket gratis) dan petik stroberi (perlu booking - karena suka rame). Menginap di sini banyak pilihan kamar dan. Lanjutan",positive
Wekkend yang menyenangkan bersama keluarga ditempat yang fasilitasnya memadai dan harga terjangkau.liburan makin menyenangkan dengan adanya kebun strawberry yang bisa memetik langsung dari kebunnya,positive
"Kalau anda berniat ke sini, perhatikan waktu tempuh dan harinya. Jangan ke sini ketika weekend, sebab akses jalan ke sini sangat ramai. Lokasinya bagus dengan pemandangan yg oke. Menu makanan variatif, hanya saja waktu memasaknya sangat lama. Sambil menunggu, anda bisa mengajak anak-anak untuk memetik strawberry (dibeli seharga 75K/kilo), atau bisa juga main di area bermain anak. Terakhir, jangan lupa. Lanjutan",positive
"Bagus tempatnya,menarik. Anak2 menyukai karna ada tempat bermain anak, fasilitas kolam renang, petik stroberri. Patut dicoba",positive
"Tidak ada tempat makan (restoran), tempat main anak anak kurang banyak, tp disain dan atmosfirnya luar biasa.patut dicoba",positive
Tempat nyaman walau disertai complain awalnya namun direspon dgn sangat baik! Kami reserved 3 kamar di boutiqe namun ada kamar yg tdk ada bathup namun segera dipindah ke kamar lain.,positive
"anak-anak suka disini karena ada aktivitas ke kebun stroberi dan petik sendiri. setelah itu buah yang dipetik harus dibeli, per kg nya 75 ribu rupiah",positive
lokasi yang mudah dijangkau dan areal parkir cukup luas menjadikan rumah stroberi menjadi pilihan saya untuk refreshing bersama keluarga. kebun stroberi cukup luas dan banyak sehingga cukup byk pilihan bagi kita utk memilih buah stroberi yang segar. cita rasa kuliner menurut saya not bad lahh stroberi milk shake boleh dicoba krn menjadi minuman favorite saya utk melepas dahaga.,positive
Tempat makan yg sangat enak dan harga cukup terjangkau meakipun jauh dari pusat kota bandung. kalau mau kesini jgn terlalu sore,positive
"Rumah Stoberi adalah sebuah caf dan penginapan yang dilengkapi dengan perkebunan Strawberry, playground, outbound. Tempat ini sangat enak untuk bersantai terlebih jika cuaca tidak panas. Udara sejuk, pemandangan bagus, tempat bermain anak yg sangat disukai anak-anak, makanan enak dengan harga terjangkau serta tersedia mushola yg layak",positive
"Suasana di perkebunan strawbery Lembang, Juice strawberry original dengan rasa mantap. Harga terjangkau, ada menu makanan sunda, cocok untuk bersantai",positive
"waktu makan di sini siang hari sehingga lumayan panas kalau makan di area outdoor, makanan yang di sajikan masakan sunda, lumayan enak lah. daya tariknya mungkin karena kita bisa memetik sendiri strawberry di kebun.",positive
"milih resto ini buat dijadiin bahan skripsi. ga nyesel. emang kualitas yg didapet sama harga yg mereka kasih sesuai. skrg udah berkembang jadi luas banget. anak2 seneng karna bsa metik strawberry sendiri, ada kids playgroundnya juga.",positive
"kesan pertama menginap di Rumah Stroberi, cek in ga bisa jam 2 siang krn yg menginap sebelumnya terlambat cek out, tidak ada apapun yg ditawarkan pihak staf rumah stroberi saat kami harus selama satu jam menunggu kamar dibersihkan.kemudian kami juga diberitahukan bhw restoran tutup jam 5 sore sehingga jika ingin memesan makanan utk makan malam harus sebelum jam 5 sore. Lanjutan",positive
"Saat saya kesini saya sangat menyukai tempat ini, kita dapat metik stroberi sendiri , selain kebun stroberi disini juga menyediakan jus stroberi , bisa juga bermain permainan outdoor disini.",positive
"Ga icip restonya sih, di sini nginap bareng satu kantor. Villanya kayu dgn ornamen ukiran Indonesia banget. Empuk banget bantal dan kasur. All Facilities nice dari dapur, kamar mandi, dan breakfast service jempol banget. View pas pagi dan malam dari sini keren parah. Tapi awas tidur nya karena malam nya dingin. Rekomendasi di villa paling atas. Itu villa yang gw. Lanjutan",positive
"sesuai namanya rumah stroberi, yg harus dicicipin disini ya semua yg berbahan stroberi. ^_^ karna asli stroberi jadi rasanya oke. sebelum pulang bisa beli oleh2 selai stroberi & pernik2 stroberi",positive
"nyobain paket nasi liwet gurame isinya lengkap banget gurame, ikan asin peda, tempe, tahu dan kerupuk.porsinya besar saya berempat 2 dewasa dan 2 anak-anak masih sisa banyak banget minta dibungkus deh akhirnya",positive
"Terletak di utara Bandung, deket The Peak, suasana kompleks sangat asri, tenang dan dingin. Kita bisa memetik straberry di kebun di sebelah restoran dan membayar per kilo yang kita petik. Menu favorit adalah nasi liwet lengkap dengan ikan peda, bikin ketagihan. Ditutup dengan jus strawberry segar.",positive
"Suasana makan di alam bebas yang disekelilingnya terdapat pohon stroberry , makanan yang disajikan , makanan khas sunda seperti nasi tutug oncom, nasi timbel, ikan gurame dll",positive
makanan yang enak terutama paket nasi liwetnya dengan sambal yang mantap. Selain itu ada wisata petik strobery sehingga anak saya sangat suka.,positive
Suasana sejuk pegunungan dan kebun strawberry yang indah menggoda anak-anak kita untuk memetik sebanyak-banyaknya buah strawberry yang ada. Sangat menyenangkan untuk wisata keluarga dengan anak-anak yang masih kecil.,positive
"Saya mengunjungi Rumah Stroberi di Bandung pada Selasa siang, 02 Jun 2015. Akses masuk ke tempat ini cukup mudah sebab disediakan petunjuk jalan ke lokasi ini di jalanan. Selain tempat makan juga ada kebun stroberi dan wahana mainan yang sedang dibangun. Kebun stroberi hanya dibuka sampai siang. Tempat parkir juga luas. Rekomendasi untuk bermain di tempat ini.",positive
"Restoran ini memiliki menu berbahan baku Strawberry. Dilengkapi dengan kebun strawberry yang bisa dipetik sendiri dengan membayar tiket masuk. Ada juga flying fox. Ruang untuk makan ada yang bernuansa china, jepang. Bisa juga membeli oleh-oleh makanan dari bahan strawberry seperti dodol, manisan, syrup. Lokasinya dekat dengan hotel Cerish, Kampung Daun/Kampung Gajah, The Peak.",positive
"saat datang buah nya lagi pada habis, tapi sempet main outdoor nya dan minum juice juga. suka yang milk strawberry. jd tidak metik deh :(",positive
"Villa di rumah stroberi pilihan yang tepat untuk liburan dan berkumpul dengan keluargab atau pun teman kantor. Terdapat kolam renang di dalam villa untuk bersantai, omelet rumah stroberi pun lumayan enak untuk sarapan pagi. Kita juga bisa memetik sendiri stroberi yang akan dibeli, benar-benar wisata keluarga yang menyenangkan.",positive
"Tempat yang cocok untuk anak-anak karena karena ada taman bermain yang bagus ditambah lagi terdapat rumah makan dengan menu yang beragam. kita bisa memetik stroberi secara langsung, disini juga terdapat tempat untuk menginap",positive
"Lokasi restoran berada di Jl Lembang, kawasan wisata yang sedang naik daun di bandung. Dengan hawa yang dingin ekspektasinya adalah makan dengan menu yang panas dan segar. Banyak alternatif menu yang bisa dipilih anatara lain sop iga, sop buntut, cah kangkung, nasi timbel, bebek dan banyak lagi. Namun lokasi resto menurut saya kurang cocok, hanya lesehan dengan view jalan raya. Lanjutan",positive
disini bisa petik strawberry sendiri dan lsg dibayar kalau lagi besar besar buahnya lumayan juga manis strawberrynya dan ada kuliner juga bisa makan yang lain disini,positive
"Nasgor thailand di harga 35rb, polos hanya ada suir ayam sedikit, dan rasa seafood gitu. Seafoodnya ga ada :(",negative
"Kunjungan kami yang ke 4 amat sangat mengecewakan, sepertinya ini adalah kunjungan kami yg terakhir. Plus: - Rasa makanan enak, paket nasi liwet terutama - penyajian lumayan cepat Minus: -Meja dan tempat duduk kotor berdebu. -Tempat cuci tangan di ember, kran air tidak mengalir. -Taman tidak terawat -Kolam ikan sangat kotor,tidak ada ikan lagi",positive
"Saya organisir acara ultah mertua ke 86, perayaan dengan 1 day trip to Bandung dari Jakarta dalam rombongan sebesar 53 org dengan stop pertama di Rmh Stroberi untuk Tea/coffee break dengan menu penganan poffertjes, tahu isi dan ragout ayam.Reservasi kami lakukan bbrp hari sebelumnya dengan DP, dan Sejak 1/2 jam sebelumnya saat mendekat kami sudah info kedatangan kami, dan diulang. Lanjutan",positive
"Tempat yg enak untuk bersantai terlebih jika cuaca tidak panas. Udara sejuk, pemandangan bagus, tempat bermain anak yg sangat disukai anak saya, makanan enak dengan harga terjangkau serta tersedia mushola yg layak adalah beberapa hal yg saya sukai dari tempat ini. definitely worth re-visiting again and again.",positive
"Ga bakal salah kalau pesen jus stroberi, nasi liwet sama sop buntutnya. :) Check out their butik villa!! Cocok buat yang mau relaxing seharian di pinggir kolam dengan buku atau iPad. Heaven!",positive
"Lelah dalam perjalanana yg lumayan jauh dari kota Bandung terbayar dengan suasana dan lezatnta hidangan, disempurnakan dengan pelayanan yang ramah serta cepat dari pramusaji. Jangan lupa pilih desert buah stroberi segar di hidangkan dengan susu coklat, anda akanketagihan. Nasi liwet komplit sebagai menu utama layak anda coba. Harga bersahabat dibandingka dengan restauran sejenis di Bandung.",positive
"Tidak percuma menempuh perjalanan yang lumayan jauh dari kota bandung untuk menikmati sepiring nasi liwet yang lezat dan ditutup dengan desert buah strawberry segar. Suasana yang tenang, sejuk, jauh dari keramaian kota. Parkir cukup sulit bila sedang ramai pengunjung, Harga terjangkau, pelayanan ramah dan cepat.",positive
"Menikmati makanan bisa sambil merasakan memiliki perkebunan strawberry, bisa merasakan memanen buah yang masak",positive
