content,polarity
"Siapa yang menyangka, konsep restoran satu ini hanya ada satu di Indonesia. Konsep menyantap sajian makanan dan minuman dari One Eighty Coffe Music, tidak hanya dilakukan di atas lantai seperti restoran pada umumnya. Namun Anda bisa menyantap hidangan di atas kolam renang yang berukuran sekitar 6x8 meter. Posisi yang disediakan adalah duduk seperti pada umumnya, namun bagian kaki kita akan. Lanjutan",positive
"Staff nya tidak ramah sama sekali, saat menyajikan makanan seperti banting banting piring, terus saat menaruh minuman naronya sembarang tanpa di infokan ini minuman apa , Untuk harga makanan so far so good Rasa makanan, untuk yang ada sayurannya terasa asin, dan untuk view Okelah restaurant uni menjual view.",positive
suka sama tema tempat nya. anak bisa main air di sana . jd emang dari rumah udh siap siap bawa baju ganti secara anak ku pasti pengen main air nya. pizza nua wooww sangat sangat woww sekali. sop bubtut nya enaKk segerr pass deh di lidah. fetuchini carbonara lagi lagi favorit saya di sini. anak anak juga pasti suka deh. Lanjutan,positive
"Ketika itu saya datang pukul 11.00wib dan harus mengantre untuk dapat masuk (waiting list). Memang sedang peak season, yaitu liburan akhir tahun. Setelah mengisi daftar tunggu, saya pergi ke resto depan dan kembali satu jam kemudian. Pas sekali nama saya sudah dipanggil untuk giliran masuk, saya memesan area kolam -yang menjadi ciri khas tempat ini. Staff harus menyetting ulang meja. Lanjutan",negative
hampir selalu setiap pesan makanan selalu enak disini. anak saya suka sekali karena ada kolam nya. kita bisa makan di kolam anak bisa ditinggal sambil main air. eheehe sensasi luar biasa. harga kisaran 20-100rb pelayanan baik walopun pemesanan agak lama karena selalu ramai cafe ini.,positive
"Tidak ada yang aneh di tempat ini. Makanan yang ditawarkan bukanlah makanan berat. Namun yang membuat orang rela antri adalah adanya kolam di ruang belakang, sehingga sambil ngopi, kita bisa merendam kaki.",positive
"Coffee shop unik di kota bandung, menawarkan sensasi ngopi dan makan di tengah kolam renang. Tempatnya bagus dan sangat instagenic",positive
"Tempatnya bagus untuk foto2 :) Makanan dan minuman enak Saya coba pizza 4 rasa harganya cuma 39rb, sedappp! Saya rekomendasikan coffee ice cream cake! Pelayanan mantap :)",positive
"lokasinya deket sama kampus ITB, dan nyobain spagheti aglio olio nya oke. minumannya juga beragam dari bermacam teh, kopi, dan jus.",positive
"Jumat malam, Bandung diguyur hujan namun alhamdulillah ketika sampai dilokasi hujan pun reda. Datang go show, karena tidak bisa reservasi diawal kami yang datang bersepuluh sedikit khawatir dengan ketersediaan tempat, dan kembali keberuntungan kami terpenuhi tanpa menunggu kami bisa langsung mendapatkan tempat di lantai 2. Pilihan menu chicken wing dan pizza ditemani dengan beberapa English tea, mango juice, lime dan. Lanjutan",positive
"Pertama kali datang disini cukup ramai di hari minggu siang hari. Tempat ini terkenal dengan adanya tempat duduk outdoor berbentuk kolam air kecil, dan cukup bagus untuk berfoto ria (apabila sepi) banyak spot bagus. Kualitas makanan di sini cukup enak dan tidak mahal-mahal amat. Dan pelayanan di tempat ini cukup cepat walaupun dalam keadaan ramai.",positive
"tempat ngopi dekat ITB, vietnamese coffee-nya enak, harganya relatif sedang, cocok untuk berkontemplasi sembari mengerjakan tesis",positive
