content,polarity
"Restoran ala singapore,nasi ayam,laksa.dll. Menu asyik,rasa maknyuss,harga murah. Bisa di jadikan langganan bila makan di luar rumah. Tempatnya bersih,pelayanannya ramah walau sering lupaan. Pokoknya ciamik",positive
"Hallo kali ini saya akan mencoba makan siang di Po Ka Tiam, saya memesan berbagai macam Dim Sum, Nasi campur, Mie Ayam, dan Bakso. Tidak ketinggalan minuman wajib China Tea. Makanannya sangat enak dan lezat. Tempatnya nyaman, No Smoking area. Saya sangat merasa puas sekali makan disini. Terima kasih.",positive
Disini enak-enak semua makanannya menurut saya. Paling recommend dari saya adalah udang goreng telur asin. Favorite sih kalau kesitu makannya udang sama nasi hainan ayam rebus,positive
"pertama kali diajak temen makan bubur Pitan, kok putih ya, pas dimakan enak banget, jadi ketagihan, ajakin suami eh suami juga jadi kepincut.ngajakin adik , sama ketagihan sama bubur nya juga, habis anter anak anak ke sekolah, mampir deh ke Po Ka Tiam,,,,",positive
Kesukaan disini bihun atau kwetiau goreng seafoodnya. Tidak terlalu berminyak dan porsi cukup banyak. Hargapun terjangkau. Ada menu baru nasi goreng lapciong.,positive
"Aku datang jam 12 malam di hari jumat. Pokatiam buka sampai jam 1 khusus hari jumat-sabtu. Aku order 2 nasi campur. Yg 1 pakai nasi putih, yg 1 nasi hainam. Ok, aku kecewa, ternyata nasi campurnya biasa aja. Ga spesial. Dengan harga 46ribu, cuma dikasih irisan2 daging. Yg mana daging babinya cuma sedikit, gak ada sate nya. Aku rasa itu. Lanjutan",negative
"Mie Penangnya enak, paikutnya biasa saja. Pesan bubur tapi sudah kehabisan padahal baru jam 9:30 pagi. Ruangan cukup pengap karena tidak semua AC dinyalakan. Harga kategori medium, tidak murah dan tidak terlalu tinggi.",positive
"Saya menikmati dimsum dan teh tarik di tempat ini. Makanannya enak dengan cita rasa Singapura. Hanya pelayanannya lama karena waiter sedikit, ruangan tidak dingin, meja berantakan.",positive
Rasa yang gurih dan enak terasa di mulut ketika Samcan Cabe Garam masuk. Restauran ini cocok untuk sarapan juga karena ada berbagai dimsum. Harga masih agak terlalu mahal namun ketika mengingat rasa semua akan berimbang jadinya.,positive
makanan khas chinese food dari grup restoran Grand Eastern.memang sudah terkenal kelezatannya di Bandung.coba daging bebek dan bubur-nya.sangat lezat.,positive
"Restaurant favorite keluarga, harga terjangkau dan rasa cukup menekan. Lebih suka Po Ka Tiam yang dulu sih, ga tau kenapa mereka melakukan beberapa perubahan di makanan dan dirasa. Kalau kesini selalu pesan Bapau Pandan. Menu yang lain juga enak. Minuman standard.",positive
"Non Halal. Tersedia Dimsum, makanan enak, harga terjangkau, menu tersedia bisa buat anak kecil, restoran bersih",positive
Resto ini salah satu kesukaan saya kalau lagi ingin makan kwetiau atau bihun goreng. Rasanya enak dan disajikan dengan acar cabe. Makanan jenis lainnya pun banyak. Dim sumnya sih saya kurang suka tapi yang lainnya oke. Juice kedondongnya juga enak.,positive
"Bulan lalu, akhirnya berkesempatan mengunjungi gerai yang selalu ramai ini. Saya oemcoba kwetiau penang dan rasanya luarbiasa. Disaat itu, nasi daging babi sudah sold out shg tdk bs dicoba. Bakal ke sini lagi di lain kesempatan!",positive
"Resto yang menyajikan kuliner khas chinese yg enak di Bandung ya ini salah satunya, variasi Dimsum, Bubur, Nasi Hainam, Bakmi dan Pork Ribs. Buka dari 09:00 - 21.30, terletak di pusat kota bandung area pasir kaliki, menerima debit dan credit card. Pelayanan (7/10), variasi makanan (8/10), Cita Rasa (8/10), Harga (8/10), tersedia Wifi, Parking Lot sedikit.",positive
"Po Ka Tiam restaurant terletak di lokasi yang strategis di kota Bandung. Hany sayang, tempat parkir sangat minim, hanya bisa untuk 3 mobil saja, selebihnya anda harus parkir di pinggir jalan yang mengharuskan anda hati2 bila turun dari kendaraan karena 1 way. Makanan yang disajikan kebanyakan dumpling seperti mie+babi merah+babi panggang. Lalu hidangan bebek, dimsum dan nasi campur b2. Tambahan. Lanjutan",positive
Paling enak bihun yamien bagus rebus nya matengnya pas ribs bakar yg enak tea n kopi nya enak samcan yg enak dan cara panggang yg bagus Dan harganya sesuai banget,positive
"Harganya 26 rebu, porsi mengenyangkan, dengan rasa yang enak. samchannya engga kebanyakan, engga kekurangan juga, porsinya pas.",positive
