content,polarity
"Tempatnya nyaman pelayannya ramah2, menunya enak2 apalagi saya senang sekali makan sushi bener2 enak sushi disini steaknya jg mantap,larva cakenya juka enak banget meleleh di lidah.cocok bgt buat kumpul klrg atau kumpul ma temen gk bosen2 dech kesini",positive
"Salah satu restorang tempat nongkrong yang berada di lokasi strategis di Jalan RE Martadinata. Banyak variasi restoran disini, saat itu saya berada di Public, sekaligus nonton bareng penyisihan piala eropa 2016. Pelayanan baik, rasa makanan dan minuman yang enak dan harga yang pantas.",positive
"Atmosfir yang menyenangkan, yang terpenting membuat nyaman anak anak. Menu pun cocok untuk anak anak.",positive
Ke sini waktu acara kantor. Ad live music. Menu beragam. Cocok kalo pegi rame2 tapi seleranya beda2. Ramennya enak. Tempatnya terbuka. Jadi agak pengap kalo cuaca sedang panas.,positive
"Makanannya enak, suasana nyaman.harga bisa dibilang sama dengan tempat lain. Restoran ini ada 4 konsep.tapi yang paling terkenal menu Jepangnya yg enak loh",positive
"Restoran dengan menu serba ada, mulai dari makanan Indonesia, Jepang, Western. Cukup lengkap pilihan menu nya. Untuk main course rata-rata >Rp.50.000",positive
"90 Gourmet menawarkan suasana makan yang sangat nikmat, santai, cozy, dan tidak terkesan seperti makan di restaurant biasa di tengah kota. Ada 3 lantai di 90 Gourmet Restaurant ini dan kesemuanya menawarkan menu yang berbeda. Sangat cocok untuk digunakan santap siang bersama dengan teman-teman yang banyak karena areanya yang cukup luas.",positive
"Saya dan keluarga seringkali wisata kuliner.salah satu tempat fav saya adalah 90 Gourmet Bandung. Makanannya sangat bervariasi mulai dari masakan Jepang, Western, Korea juga kue-kue pastry plus ada pizza yang krispy abizzz. Semuanya bisa bikin perut kita kenyang terpuaskan. Soal harga sech yaa hampir sama aja dengan restaurant lainnya.tapi soal rasa dan kualitas tidak pernah mengecewakan malah suka ngangenin dan. Lanjutan",positive
"Sudah beberapa kali datang ke restaurant ini dan mencoba berbagai masakannya. So far, makanan yang saya pesan (Japanese style pasta, donburi, sushi, dsb) enak di lidah. Murah atau mahalnya makanan saya rasa relatif. Tapi buat saya tidak terlalu berlebihan. Nuansa restaurant juga nyaman dan interiornya enak dilihat. Definitely will be back here.",positive
"90 Gourmet mrpk gabungan dari dua atau tiga restoran shg terdapat byk pilihan makanan, salah satunya yg plg saya sukai yaitu makanan Jepang. Di sini tersedia pula makanan non-halal tapi harus diminta ke pelayannya secara khusus karena biasanya tidak bakal dikasih menu non-halal nya tanpa diminta terlebih dahulu.",positive
"Suka tempat ini.enak buat makan"" dgn teman"" atau klrg.karena smua hidangan ada.makanan jepangnya ckp lengkap,western nya jg.makanan ind jg ada.jd bisa pesan sesuai selera masing"".utk harga saya rasa standart.tdk murah dan tidak terlalu mahal.tempatnya sendiri enak suasananya.",positive
"Tempatnya bagus dan tersedia banyak jenis makanan dari western, japanese dan ramen. Makanannya enak dan harganya juga sesuai. Musiknya juga enak. Cuma servicenya harus ditingkatkan lebih baik.",positive
"Makanannya smuanya enaaak bgt,,,favoritnya nachos dan salad 90 gourmet,,sushinya juga enak,,suasananya nyaman untuk berdua atau kumpul keluarga,,selalu jadi pilihan klo lagi pengen makanan jepang atau korea,,",positive
"Tempat nongkrong di area dekat Riau, tempatnya cozy banget dengan menu makanan yang sangat bervariasi, mulai dari japanese, masakan jawa dan western, dessertnya ok banget. Waktu aku ke sini coba triple creeme bulle. Pilihan tempat duduk smoking atau no smoking disesuaikan dengan kemauan kita, trus buat ngumpul2 dan foto2 bareng temen2. So.recomended banget.",positive
