content,polarity
Makan Mc D biasa aja tapi kalau duduk disini enak sekali dan saya bisa enjoy. Tempat ini kenangannya banyak dan saya harus suka Mc D IP namanya kalau biasa di sebutkan.,positive
saat weekend merupakan saat paling ramai di McD BIP. Banyak anak muda Bandung yang nongkrong di dalam dan luar McD untuk menghabiskan malam sabtu atau malam minggu.,positive
"Resto ini desain interiornya cukul menawan. Penataannya cukup serasi. Layanannya cukup baik dan cepat saji. Tersedia berbagai menu seperti Ayam goreng, Bubur ayam, Cheeseburger,Egg burger,Fish fillet burger dan sebagainya. Ayam goreng rasanya gurih , renyah dan nikmat. Bubur ayamnya terasa sangat nikmat. Cheeseburger sangat terasa rasa kejunya. Rata-rata masakannya nikmat.",positive
"tempatnya oke, standar lah spt mcdonalds lainnya. skr lebih sering pesan lwt drive thru, krn irit waktu lebih efisien jadinya",positive
"Hallo kali ini saya mengunjungi Mc'D yang di istana plaza. Tempatnya menarik untuk nongkrong karena disini ramai pengunjungnya. Dan ada layanan drive-thru nya juga, kadang saya suka makan disini atau kadang saya menggunakan drive-thru. Saya rekomendasikan untuk makan disini.",positive
"Sudah ada Drive-Thru nya. Pelayanan cepat, staffnya gak rese. Fasilitasnya lengkap. Kebersihan terjaga. Ada flat TV. Tapi, Toilet hanya sedikit. Pemandangan tidak ada.",positive
Gak pernah bisa nolak diajak kesini. Kebangun tengah malem terus laper? Pasti kesini. Sinyal wifi nya? Terbaik! Bisa berjam-jam makan sambil internetan disini. Staff nya juga attentive. Selalu up-selling dan ramah.,positive
"Kalo laper tengah malam kesini aja masih buka ko , cuman yang kurang parkirnya harus depan mcd nya langsung",positive
"Lokasinya strategis, dekat kemana-mana, dekat dengan bandara, stasiun kereta api, stasiun halte bandung.makanannya banyak pilihan sesuai selera",positive
"Boleh dibilang ini adalah gerai MCD terbesar di Bandung. Lokasinya asik karena berada di pusat kota, aksesnya gampang karena dilalui kendaraan umum. Keuntungan lain adalah berada disebelah Istana Plaza jadi habis shopping bisa langsung mampir ke McD. Wifie gratis namun speednya cenderung lambat dan tidak stabil, khususnya bila berada di lantai 2. Pelayannya ramah. Makanannya standar McD. Yang saya suka. Lanjutan",positive
"Ini nih tempat makan yang dicari kalau lagi pengen makan burger, french fries, dan ice cream cone. Atau kalau lagi buru-buru. instagram: sharetheyumz",positive
"tempatnya besar. open 24 hr. cocok buat ngemil. tempat duduk sofanya nyaman. sayang banyak mahasiswa yang ngerjain tugas di sana, so jarang kosong tempatnya kalau malam. hehehe",positive
Restoran McD ini buka 24 jam ini mempunyai tempat yang cukup luas sehingga cocok untuk bersantap bersama keluarga ataupun nongkrong dengan teman,positive
McD yang buka 24 jam.meeting point yang sangat nyaman sejak bertahun-tahun lalu.letaknya yang super strategis di pusat kota dan jantung bisnis kota.harga yang cocok untuk semua kalangan.untuk rasa semua orang sudah tahu rasanya.hehehe. :) cocok untuk nongkrong dan cuci mata disini :),positive
"penolong saat lapar di waktu malam, tempat nongkrong yang asyik menikmati udara dingin kota bandung bersama teman dan keluarga",positive
"restoran McD lainnya yang nyaman di Kota Bandung. Lokasi tepat di depan Istana Plaza, dan akses sangat mudah dijangkau karena dilalui banyak angkutan kota. Restoran memiliki area yang luas, tersedia Wifi, pelayanan juga cepat. Pilihan makanan standar ala McD Indonesia",positive
"Lokasi strategis, mc d cukup luas dua lantai, untuk pesta ulang tahun anak cocok sekali, playground di lantai 2",positive
"Alasan saya ke McDonald's Istana Plaza karena lokasinya yang strategis dan biasanya saya lewat jalur drive thru untuk tujuan take away makanan dengan menu favorit saya ada Burger Big Mac, Kentang Goreng dan Ayam Goreng Krispy. Selain itu McDonald's Istana Plaza merupakan tempat favorit untuk nongkrong bersama kolega atau keluarga terutama pada saat akhir pekan.",positive
"Yang saya suka dari mcd ini, letaknya di mall istana plaza dan tempatnya bersebelahan dengan mall. Untuk pelayanan sama seperti mcd pada umumnya, karena menyajikan fast food jadi pelayanan nya harus cepat. Saya paling suka makan mcd yang double burger dan juga kentang goreng nya.",positive
"Tempatnya luas, enak untuk nongkrong dengan teman. Tersedia pula sofa. Bisa juga untuk merayakan ulang tahun anak. Parkir di Istana Plaza bayar per jam.",positive
"Untuk rasa ya seperti biasa, favorit semua kalangan. Utk tempatnya, suasana sangat luas dan nyaman. Service juga cepat dan ramah.",positive
"Makan disini sangat nyaman untuk chat bersama teman atau keluarga. Selain itu bisa juga berjalan ke mall yg ada disebelahnya, bisa mencuci mata dan shopping tentunya",positive
