content,polarity
Kalo kamu mau menikmati masakan sunda di tengah2 sawah ya di sapu lidi ini tempatnya. lokasi yang di lembang ini persis di dalem kompleks perumahan graha puspa di belakang vihara vipassana graha yang ada di lembang.,positive
"Sapu lidi resto dengan suasana pedesaan, sawah, sugar, kolam ikan sangat menarik untuk makan bersama keluarga. Saya dan keluarga pesan ikan bakar daun, ikan asin kering, karedok, ayam kahaseupan, tahu goreng. Rasa makanan sich rata rata aja tidak istimewa. Hanya suasana sekeliling sangat menarik.",positive
"Resto Sunda yang didesain seperti dangau atau gubuk kecil di tengah sawah, karena sawah masih dibiarkan alami disekeliling dangau.Dengan jalan setapak seakan berjalan di tengah pematang sawah. Sensasi makan tersendiri bagi kita yang bosan dengan rutinitas makan di meja makan di rumah.Untuk menu yang ditawarkan kurang lebih sama dengan restoran sunda lainnya. Untuk harga diatas rata-rata alias agak mahal.Tempatnya juga. Lanjutan",positive
Kami makan disini untuk pertama kali dan kami memilih untuk duduk di lesehan. Terus terang kami merasa sangat tidak nyaman karena ada kucing2 yang berkeliaran dan parahnya kucing tsb bisa sampai meloncat naik ke atas meja!! Pelayannya sudah dikasitau tapi hanya mengusir scra biasa saja dan hal tsb mengakibatkan kucing tsb kembali lagi.!! Seharusnya mereka menjaga dan membawa kucing itu. Lanjutan,negative
"Makan di sini menyenangkan karena suasana hening, udara sayup2, sayang sawahnya lagi gundul. Cuaca pun mendukung. Makanan overall enak. Cobain buncis oncomnya, enak!",positive
"Sapulidi merupakan tempat makan yang sangat asik ya menurut gw, tempat yang dominan nya makanan sundal, tapi yang paling asikk makan di pinggir sawah, dan pinggiran danau,, Serasaa vieww nya kayak di ubudd hahah",positive
"Resto ini cukup unik seperti kita makan di tengah sawah lengkap dengan danau dan sampan. Menu beragam seperti Ikan bakar daun merupakan ikan air tawar dibumbui , kemudian dibungkus daun pisang dan dibakar rasanya enak. Sapi gigibrik mirip empal daging sapi sangat gurih. Jamur jadi ngeunah merupakan jamur tiram digoreng tepung dan disiram saus sangat gurih. Nasi timbel komplit (. Lanjutan",positive
Suasana makan di dekat sawah dengan pilihan tempat makan lesehan maupun dengan dinning table. Makanan cenderung terlalu manis atau terlalu asin.,positive
"Dapat mahalnya aja makan di sini, sawahnya cuman sepetak saja. Harga lumayan mahal. Biasa saja viewnya, letaknya masuk ke dalam perumahan.",positive
"Makan di saung di tengah sawah, makanannya sundanese, asik sih.tp disarankan kalau kesini lebih enak siang atau sore, biar kelihatan vienya, karena kalau malam lumayan gelap. Tempatnya luasss banget! Pepes jamurnya enak, dan kmrn coba ayam asap andalannya, enak juga.",positive
