content,polarity
"Makan malam yang setrategis di sini dengan menu pilihan khas Sunda, namun mungkin perlu dipikirkan juga bagaimana menyiapkan menu untuk tamu yang berasal dari luar negeri seperti dari Eropa yang tidak bisa memakan masakan pedas, karena di restauran ini menu utama bisanya bumbu sudah tercampur dengan rasa pedas, walaupun kalau kita rasakan itu adalah biasa saja tetapi bagi lidah asing. Lanjutan",positive
Resto dengan konsep rumahan. Menunya juga menu rumahan. Suasana adem dan tenang. Hidangannya lengkap dari masakan jawa tengahan hingga ke eropa eropa an. Menu minumannya juga aneka ragam.,positive
"Di sini suasana nya bagus dan cocok buat meeting kantor karena selain tempatnya teduh, suasananya juga tidak gaduh. Rata2 org ke sini selain memang untuk berbincang, makan siang, kebanyakan lainnya meeting. Brp kali sy meeting dengan rekan kerja di sini karena makanan di sini lumayan enak, favorit saya iga asam garang. rasanya pedes asam dan pas untuk dimakan saat makan. Lanjutan",positive
"Resto ini menyediakan menu makanan rumahan. Garang asem iga sapi contohnya, diolah dan diramu dalam garam asem yang segar sehingga menghasilkan cita rasa yang asam manis. Garang asem iga sapi disajikan dalam panci kecil dengan api kecil di bawahnya sehingga selalu dalam keadaan panas. Nasi goreng yang disajikan dengan irisan daging ayam, telur dadar, udang goreng tepung dan irisan daging. Lanjutan",positive
"Restoran bergaya peranakan. jadul. ada display kue2, es krim juga. Suasana nyaman. makanan khas rumahan. bisa untuk rombongan maupun dengan keluarga. makannya enak. Nasi ulamnya enak. Nasi tutug oncomnya juga oke. masakan eropa, asia, nusantara tersedia disini. tinggal pilih. anak2 suka makan es krimnya disini.",positive
"Kedai ini memang terkenal dengan makanan rumahan dengan rasa yang khas nikmat yang berbeda dengan restaurant lainnya. Nasi tutug oncom nya uenaak. Untuk tempat jangan tanya deh, damai banget dari kebisingan. Pelayanannya ramah dan penuh senyum.",positive
"terlihat kecil dari luar, tapi didalamnya lumayan gede. kalau malam mereka bisa candle light, bisa deh buat yang makan malam romantis, atau ngelamar sekalian, hehehe. makanan bervariasi, ada Indonesian dan western, enak semua.",positive
Kita reservasi untuk acara ulang tahun. Reservasi nya mudah bisa via telp tanpa harus DP dulu. Tempatnya nyaman untuk dewasa maupun anak2. Ada kolam ikan nya dan kalo malam suasananya lbh romantis aja. Menu makanan banyak harga variatif. Pelayanan bagus. Rasa makanan juga enak. Kurangnya tempat parkir ya terlalu kecil.,positive
"Restoran kedai nyonya rumah berada di tengah kota, tidak jauh dari jalan riau. Sehingga bagi yang berkunjung ke jalan riau setelah lelah shoping, bisa mampir mencoba makanan di sini.",positive
"banyak menyediakan snack yang enak enak dan harga murah. Restorannya juga asik, menu nya tradisional dan enakkk",positive
"Rumah makannya sih unik. luass juga. parkirnya juga gede. masakannya campur2 sih. ada jawa, chines food dan western juga. harus coba deh kalo ke bandung. homie dan yummy.",positive
"minggu lalu saya kesini lagi,makan bersama ultah kakak.suasananya tetap enak.kebetulan nggak terlalu ramai jd makanan nya dtg pas waktunya.chicken cordon blue nya enak.klu tenerloin steaknya biasa aja.iga bakarnya jg enak.jangan lupa utk pesan risoles nya.yummyyyy",positive
"Salah satu restoran favorit keluarga terutama keponakan2.Suasananya asri ,bersantap di tepi kolam dengan byk ikan, membuat keponakan menyukainya.Menu yg ditawarkan pun cukup beragam, dengan rasa yg cukup enak, hanya pelayanan agak lama dan cenderung kurang tanggap.Tapi masih ok lah, tempatnya asik, rasa enak, harga pun masih wajar.",positive
"Rumah makan yang menyajikan masakan Indonesia juga masakan Barat, dengan pemandangkan kolam ikan di posisi tengah rumah makan cocok untuk bersantai dengan anak",positive
"Tidak seperti namanya, Kedai Nyonya Rumah merupakan restoran yang menyediakan aneka makanan nusantara terutama masakan jawa. Restorannya merupakan bangunan rumah tua dengan interior rumah jawa kuno, selain itu di sini juga terdapat bakery yang menjual aneka roti dan snack. Pada saat ke sini bersama teman, kami memesan Nasi Bakar dan Nasi Gudeg komplit. Menurut saya cita rasa makanannya enak dan. Lanjutan",positive
Saya baru tahu kalau kedai nyonya rumah yang ada di jalan naripan ini ternyata menjual kue-kue juga. Waktu itu iseng beli dan ternyata rasanya enak dan tidak mengecewakan. Harganya juga masih bisa dibilang wajar. Dan yang menarik perhatian adalah ternyata mereka menjual semacam tokyo banana versi mereka sendiri,positive
"ketika masuk ke resto, tidak seperti resto pada umum nya, nyaman seperti di rumah sendiri, penataan yg rapi , makan diatas kolam ikan, makanan nya cocok di lidah dan cocok di kantong.",positive
"Makanan rumahan terbaik di kota Bandung. Sesuai dengan nama nyonya rumah, masakan di sini memiliki karakteristik makanan tradisional seperti nasi uduk, dengan ayam, sambal, dan aneka tumisan yang memiliki rasa sangat enak. Pasangan saya memesan sate yang memiliki tekstur daging yang lembut dan saus kacang yang terasa. Di sini juga disediakan aneka kue basah tradisional. Atmosfer tempat ini berasa di. Lanjutan",positive
"merupakan restaurant yang wajib didatangi bila ke bandung. makan yang disediakan merupakan makanan indonesia,dengan rasa yang enak, susananya juga nyaman,tempat duduk favorit saya di tepi kolam ikan.",positive
Tempatnya asri.enak buat ngobrol sama teman atau keluarga.beragam nasi khas indonesia nya enak dan menarik penataannya.lontong laksa nya jg enak.risoles dan bitterbalen dsini saya suka banget.,positive
"Tempat untuk bersantap yang nyaman dengan kolam ikan yang menjadi centerpoint, menu sangat beragam namun rasa biasa saja. Harga terjangkau.",positive
"Menu bervariasi, tersedia menu rumahan maupun khas sunda lainnya. Makanannya enak dengan harga terjangkau. Suasana resto nyaman, santai, cocok untuk keluarga maupun teman",positive
