content,polarity
Aya GORENG NIKMAT memang nikmat. Sayang agak manis bumbu ayamnya. Parkir sempit tapi masih wajar karena di jalan sempit.,positive
"Akses ke resto ini cukup mudah. Layanannya cukup baik. Menawarkan menu seperti Ayam goreng, Ayam bakar, Nasi bakar, Karedok dan lainnya. Ayam goreng merupakan ayam kampung yang digoreng kering sehingga rasanya lebih renyah dan empuk. Ayam bakarnya rasanya nikmat karena bumbu kecap meresap sekali sampai rasa manisnya tidak hanya di luar tapi masuk meresap ke dalam dagingnya. Nasi bakar isinya. Lanjutan",positive
Lokasi RM cukup baik dengan akses yang mudah. Ruangan cukup luas walaupun selalu ramai pengunjng. Porsi ayam cukup dan bumbunya sangat terasa. Harga menengah. Bisa menjadi pilihan kuliner di Bandung,positive
"Tadi siang saya baru ke sini,saya beli 6 ayam terdiri dr 3 paha & 3 dada & perkedel jagung,satu paket terdiri ayam,nasi,tahu,tempe.bumbunya menyerap ke dagingnya,rasa sambelnya juga mantap.di sini terdapat 2 sambel:sambel terasi & sambel ayam.",positive
Tempat makan ini sudah ada sejak zaman dulu. Selalu ramai dikunjungi. Tempatnya susah parkir. Ayam dan tahu gorengnya enak.,positive
Resto yang temaptnya masuk ke gang ini sangat recomen ini resto wajib yang harus kitakunjungi sekeluarga kalau kita ke bandung yang yang murah makanannya enak banget ayam goreng menggunakan areng sangat cocok untuk keluarga,positive
"ayam goreng nikmat sudah ada sejak jaman dulu, tapi rasanya tidak berubah, gurih asin nikmat. disajikan dengan lalab dan sambel.",positive
"Di cabang taman kopo indah, tidak diberikan lalapan. Rasa ayam goreng biasa saja, tapi rasa ayam bakarnya enak, hanya saja bagi saya agak terlalu pedas padahal pesan yg Sedang. Ayamnya benar benar pake ayam kampung, terasa bedanya. Dan porsi nasinya cukup besar. Overall cukup puas",positive
"Kerja sebagai marketing selalu mobile jadi makan siang bisa dimana pas lagi lewat ke jl. sunda dan mampir ke ayam goreng nikmat, pesan ayam goreng dengan sambel dadaknya, dalam itugan menit langsung habis dan kenyang deh. yang mau coba silahkan mampir",positive
"Terletak di jalan sunda belok kiri dikit, rumah makan ini penuh2 aja, padahal menurut saya makanan nya biasa2 saja n harga nya juga dah tinggi.",positive
"Ayam gorengnya nikmat, bumbunya meresap sampai ke tulang. Ayam bakarnya juga enak, walaupun saya lebih suka ayam gorengnya. Disediakan sambal gratis sebagai teman makan ayam. Menu lain yang patut dicoba : pepes jamur dan karedok.",positive
"Saya mendapat referensi dari teman saya mengenai ayam goreng Nikmat yang kabarnya enak. Rumah makan ayam goreng Nikmat ini terletak di Jalan Panaitan, yang ditempuh melaluu melalui Jalan Sunda. Lokasinya lumayan nyaman, rumah makannya terbuka dengan meja dan kursi panjang. Ayam gorengnya memang nikmat, walaupun harganya agak pricey Rp.21,000.- perpotong. Menu lain yang kami coba adalah nasi bakar, tahu dan. Lanjutan",positive
"Ayam goreng jadul yang entah mulai kapan mereka menyajikan ayam goreng yang khas (sejak masa kecil saya telah ada). Jika anda berkunjung ke rumah makan ini perlu menyesuaikan ekspektasi, ini bukan Fine Dining Resto, Bistro atau semacamnya. Jadi jangan harapkan ada pelayan yang stand by menerangkan menu/wine list untuk dipilih, tetapi jika anda ingin mencoba ayam goreng khas sunda yang. Lanjutan",positive
"Selalu menyempatkan datang makan disini. Dine in dan Take away bawa pulang ke Jakarta. Best Ayam goreng, hanya tempatnya menurut saya harus direnovasi. Sudah kurang bagus.",positive
