content,polarity
"Apabila anda berkunjung ke bandung. Cobalah ke warung pasta. Berlokasi dekat dengan kebun binatang bandung dan rumah sakit boromeus. Disini menyediakan berbagai macam masakan dari pasta seperti spagheti, fettucini, lasagna dll. Selain itu ada menu nasi dan pizza juga loh. Harganya cukup murah dan rasanya enak. Tempatnya cozy untuk bersantai bersama teman maupun keluarga.",positive
"Pasta yang tersedia lumayan banyak jenis nya, porsinya pun cukup banyak buat makan siang, dari harga cukup terjangkau untuk mahasiswa, bisa bayar dengan debet juga. Tempat cocok buat kumpul sambil ngobrol dengan teman, parkiran tapi hanya sedikit",positive
"Tempatnya nggak jauh dari kampus ITB, ya bisa dibilang sebelahan lah. Suasananya asik romantis, cocok untuk rapat kecil, makan malam. Menu yang saya suka pesan biasanya yang pizza gitu deh. Tempat yang pas buat santai",positive
"ulu suka banget makan disini waktu SMA di jakarta, barutahu kalau di bandung juga ada. Tempatnya enak banget. Banyak pilihan suasana yang bisa dipilih, mau outdoor, indoor, ngerokok atau ngge ngga, ada tempat buat segala jenis pengunjung. Makanannya juga enak sih. Ya pasta-pasta ala orang indonesia. Tapi kalau harganya sih lumayan mahal. Apalagi buat hitungan mahasiswa. Minuman harganya bisa hampir. Lanjutan",positive
"Tempat enak , nyaman, datang di weekend jd aga crowded tp pelayanan tetep ok cuman aga lama. Maknanny very nice , apalagi menu yang ada mozarella ny itu yummy bgt.",positive
Saya mencoba spicy prawn. Menu ini berupa nasi bakar dengan bumbu tom yam dan telur Telurnya bisa pilih mata sapi atau dadar. Saya coba dengan telur dadar. Nasi bakarnya enak. Rasanya asem pedes. Bumbu nya cukup terasa. Cocok buat lunch. Suasana resto juga enak. Cocok untuk keluarga. Harganya tidak mahal dan pas dengam kantong mahasiswa,positive
"Saya datang masih dengan menu breakfastnya, setelah itu ngobrol2 dulu kebetulan tempatnya homie juga nyaman buat hangout, dan lanjut buat buat makan siangnya hehehe",positive
"Warung pasta namanya tepat di depan Masjid salman ITB, sesuai dengan namanya menu warung ini banyak yang dari pasta, Lokasinya menarik dan design warungnya pas buat anak muda, untuk diskusi atau sekedar kongkow.",positive
"Suka banget ama yang diskon-diskon haha. Selain bisa nongkrong sama temen. Tempat ini cocok buat para mahasiswa, karena ada potongan diskon hingga 20% lho !. Tinggal tunjukin KTM aja guys !",positive
Tempatnya cukup nyaman dan makanannya cukup enak. Harganya pun tidak terlalu mahal. Tempat yang enak untuk berkumpul bersama teman daripada keluarga. Menunya juga cukup unik dengan cara memesan bumbu yang diinginkan lalu memilih jenis pastanya. Menu favorit saya creamy bloody mary (baked). Sayang parkirnya cukup terbatas dan pengunjungnya banyak.,positive
