content,polarity
"Lokasi sangat strategis di kota bandung, sangat menyenangkan dengan membawa keluarga ke lokasi ini, untuk masalah harga tinggal mengikuti menu yang sudah ada",positive
"Makanan enak, pizza en spaghetti bolognaise nya juara. Minuman bisa pilih kopi, soda atau aneka jenis lain. Lagi seneng pilih big box-nya. Lokasinya strategis.",positive
"Kalau dibanding restoran lain di BIP, tempat ini cenderung lebih tidak banyak pembeli, tetapi cenderung nyaman. Tidak penuh sesak dan tidak terlalu ramai. Pelayanannya juga ramah.",positive
"bagus untuk nongkrong bareng temen, sahabat dan keluarga lokasinya tidak terlalu ramai, asik juga untuk mengerjakan tugas atau laporan kantor",positive
"Makan bersama dengan para sistah beberapa waktu yang lalu, tempat nyaman, enak buat nongkrong,pelayanan bagus. Dah beberapa kali makan disini.",positive
"TEmpat yang enak buat nongkrong, karena berada di lokasi BIP yaitu mall di bandung, lokasi nya ada di depan, sejajar dengan pintu masuk mall",positive
Paling enak disini tuna mayo pizzanya yang pinggirnya pakai cheesy bites. Harga cukup murah. Pelayanan cukup baik. Tempat strategis.,positive
"Salah satu menu Pizza Hut favorit saya adalah chicken wings. Sayangnya, pizza hut BIP tidak menyediakan menu chicken wings 10 potong (red : bisa didapatkan di store PHD Dago). Jangan lupa isi survey yang ada di struck, kamu bisa dapet free garlic bread untuk pemesanan berikutnya.",positive
Makan di restoran Pizza ini paling enak jika bersama teman. menikmati paket sensasi delight yang harganya sangat terjangkau oleh semua kalangan.,positive
"Pizza hut BIP ini ada lokasinya dapat dituju dengan sangat mudah, karena terletak di tengah kota Bandung. Tempatnya tidak terlalu besar tp cukup nyaman, ada beberapa kursi yang disediakan untuk tamu di bagian luar. Dan menurut aku lebih enak duduk di ruangan luar, lebih hangat dan nyaman. Harga pizza standar seperti biasanya, good!",positive
"sabtu malem kesini, buat makan malem bareg keluarga, pelayananya bintang 5, si mba mba nya baik2, cekatan dan cantik cantik. good job",positive
"Asik nya di pizza hut ini adalah terdapat menu basic yang harganya sangat ramah di kantong, paket basic berdua 70.000 saja tapi kenyang.",positive
"Adonannya terlzlu tebal. Tapi mereka selalu berinovasi walAupun Terkadang aneh, seperti pizza dan kentang??? Servis dan kondisi restoran terpellihara, mereka mengikuti jaman",positive
"Saya menyantap pizza disini pukul 9 malam hari menjelang resto mau tutup. Satu jam sebelum resto tutup maka soup dan salad akan discount 50%. Saya memilih pizza American Favorite IDR 44.545, Triple Cheese Brusceta IDR 21.818, New Beef Lasagna IDR 47.273, dan Mocha Float IDR 25.455. Saya juga mendapatkan appetizer gratis dengan cara memberikan pengalaman santap di restoran melalui website. Lanjutan",positive
Pizza ini berbeda dari pizza kebanyakan. Dimana adonan pizzanya sangat lembut dan memanggang dalam keadaan tidak terlalu matang menjadikan pizza ini begitu empuk saat disantap,positive
"Tempat makan pasta yang sudah tidak asing lagi apa lagi kalau bukan pizza hut. posisi pizza di tempat ini sangat nyaman inside mall or outside mall berhadapan langsung dengan jln merdeka anda bisa memanjakan mata sekedar melihat rutinitas orang2 di sekeliling, letak sangat strategis dpt di lalui dengan angkutan umum.",positive
"Paling asik tempatnya selain luas dan nyaman, bisa diluar atau didalam menunya banyak dan beragam saladnya enak dan fresh, kalau eskrim saya tidak begitu suka tidak tau kanapa. paling pas makan rame-rame ber 4-6 orang setiap awal bulan buat traktiran.",positive
Pizza yang paling digemari itu yang tipe cheesy bites. Selalu pilih yang tuna mayo. Walau kulitnya tebal tapi rasanya enak dan sesuai lidah orang indonesia.,positive
"Pizza Hut di Mall Bandung Indah Plaza (BIP) merupakan salah satu restoran keluarga kami jika sedang menginap di daerah Riau. Lokasi restoran Pizza Hut yang berada di dalam Mall BIP sangat nyaman dan strategis. Tempat makannya juga luas, kita bisa memilih untuk menikmati makan di indoor atau outdoor. Mengenai makanan dan pelayanannya menurut saya sudah sama dengan standar restoran Pizza. Lanjutan",positive
"Makan di tempat ini akhir bulan lalu di Ciwalk, tempatnya nyaman dan enak untuk bersantai, pesan cheesy bites untuk dinikmati bersama keluarga, asyik banget.",positive
Lokasi yang strategis berada di salah satu pusat perbelanjaan terkenal di Kota Bandung yaitu Bandung Indah Plaza. Tempat duduk bisa memilih di dalam ruangan atau di luar ruangan bagi yang ingin melihat pemandangan ramainya jalan merdeka Pelayanannya ramal dan cepat untuk menu makanannya sudah standar Pizza Hut. Bagi yang membawa anak-anak dapat meminta souvenir berupa mainan yang terbuat dari balon,positive
