content,polarity
"Saya penggemar steak sejati. Kalau daging salah bakar, atau saus nya terlalu berlebihan, sayang rasa nya. Rasa daging tidak terasa lagi. Yang terasa hanya rasa saus. Tetapi buat mendapatkan steak dengan kriteria saya itu pasti nya mahal. Kita tau sendiri. steak impor. bisa 400 ribu idr satu porsi. Sudah coba suos btcher bandung? Penggemar steak harus mencoba. Semasa kuliah saya. Lanjutan",positive
"Terletak di dalam Mall trans studio atau biasa disebut TSM. jika anda merasa lelah setelah shopping, anda bisa beristirahat dan mencoba menu makanan di suis butcher, steak nya tidak alot dan menu nya banyak. selamat mencoba",positive
"Bersama keluarga betapa menyenangkan jika makan makanan yang enak, ajang traktiran menjadi lebih menyenangkan.",positive
"Tahun 1996 pertama kali makan steak ini di kawasan gegerkalong, setiabudhi. Dan tahun ini rasa nya masih tetap sama. Luarbiasa! Menjaga kualitas rasa adalah penting di industri kuliner. Layak dicoba.",positive
"saya mencoba di outlet TSM. tempatnya lumayan nyaman, karena datang rombongan ber 10 orang, kita dapat kursi di bagian luar. Menu utamanya steak lokal dengan harga terjangkau. Saya memesan spagheti carbonara. Porsinya tidak terlalu besar, sesuai dengan harganya. isinya terdiri dari spagehti dengan campuran keju cair dan sedikit irisan daging. rasanya lumayan. Fish and chip lumayan enak, ikan dori nya. Lanjutan",positive
"Terletak di dalam Trans studio mall, Gatot Subroto lantai 2, Bandung . MenuTenderloin steaknya lezat dan empuk, porsi sedang .Sedang beef cordonbleunya terlalu banyak tepung, porsi lebih kecil. Burger steak nya OK juga dilengkapi dengan salad yang segar. Harga rata rata local steak sekitar 50K . Disajikan dengan free 1 pitcher air putih",positive
"Tenderloin steak di suis butcher sangat enak- juicy, dan saus suis nya pas di lidah. selain itu harganya pun pas di kantong. Oleh karena itu, bersiaplah untuk mengantre apabila anda berkunjung di akhir pekan dan pada saat jam makan pula .",positive
"Dulu waktu saya kuliah di Bandung, resto ini adalah tempat makan yang wajib saya datangi sebulan sekali. Tapi yang lokasinya di Setiabudhi. Kali ini saya makan yang di gatot subroto dekat dengan Trans Studio. Saya pesan sirloin steak, dagingnya empuk dan enak. Harga steak berkisar 50-100 ribu Sausnya tidak sekental dulu, tapi masih OK lah. Orange juicenya terbuat dari sunquick. Lanjutan",positive
"Setaip kali mengunjungi Trans Studio Mall, rasanya memilih Suis Butcher Steak House merupapakan pilihan tepat. Di samping harganya yang terjangkau, rasa dan kualitas dagingnya pun enak. Sebagai ciri khas dari Suis Butcher, disini selalu disediakan air putih gratis (lumayan kan #LoL)",positive
Kita seringnya ke Suis butcher yg di mall festival citylink krn dekat sama rmh. Kita suka kesini soalnya harga standar tapi rasanya ga standar. Alias enak. Apalagi dpt free air putih. Makin seneng deh.,positive
"Favorit saya tentu saja sirloin steak dan spageti carbonaranya, lebih sering datang ke suis butcher di trans studio mall sekalian window shopping dengan suami or anak, suis butcher terletak di area dekat foodcourt",positive
"Sebagai pelanggan lama, kami kembali datang setelah sekian lama untuk menikmati steak yg yg terkenal murah meriah.Seperti biasa saya pesan tenderloin favorit . Tetapi banyak yg berubah selain harga jg ukuran steak yg kecil sekali dengan salad berupa wortel,jagung dan kacang polong yg amat sedikit mungkin cm sesendok makan, dengan pelayan yg sangat tidak tanggap dan tidak sopan.Saya amat kecewa. Lanjutan",negative
"Steak yang paling saya sukai di Bandung. disajikan dengan berbagai menu dan variasi saus. dagingnya empuk, pilihan kentangnya juga banyal. harganya pun terjangkau",positive
"saya cukup sering makan di Restoran ini di berbagai cabang-cabangnya di kota Bandung.makanan disini sangat enak.terutama Beef Spare Ribs, Bratwurst dan beberapa variasi kentang-kentangnya.bahkan overall semua steak disini rasa cukup terjamin enak.hanya pelayanan dan servis ke customer sangat perlu ditingkatkan.",positive
restoran steak ini cukup murah dibanding sekelasnya dengan rasa yah cukup enak dengan sekelasnya soupnya pun cukup lezat bole untuk dicoba,positive
"Tempatnya lumayan besar, dekorasinya bagus, suasananya juga oke. Makanan disini harganya terjangkau alias murah meriah. Sirloin steaknya enak, dagingnya empuk, porsinya juga cukup besar, pas untuk makan siang. Spaghetti carbonaranya agak hambar rasanya, fish n chipsnya porsinya besar, rasanya juga enak. Steaknya recomended.",positive
"Setiap kali saya pergi ke Bandung, Suis Butcher is a must place to visit karena mereka memiliki the best and the most delicious steak (named Entre Cote). Sayang di kunjungan terakhir sudah tidak ada lagi dan yang lebih mengecewakan saat itu di menu masih tertulis dan pelayannya tidak menginfokan bahkan menghidangkan steak lainnya tanpa seizin saya. Sebagai ""penggila"" entre cote. Lanjutan",negative
"Restaurant steak yang sangat nikmat, menawarkan berbagai macam varian steak yang rasa dan harga berbanding lurus.",positive
"Harga steak bisa dibilang murah. Untuk rasa ya jangan berharap terlalu tinggi lah, ada harga.ada rasa. Tapi bisa dibilang lumayan sesuai dengan harganya. Kami pesan Sirloin ala Suis, tuna salad (mereka pakai tuna kalengan, bukan yang segar), goulash soup, mushroom soup (ini favorit kami) dan panacota sebagai penutup. Untuk panacota.agak keras jadi lebih mirip dengan pudding susu. Mungkin management butuh. Lanjutan",positive
"saya suka dengan rasa steak tenderolinnya. masaknya pas, matang, dan bumbunya enak. lokasinya juag strategis dnegan suasana restoran yang tenang mendukung selera makan",positive
"restauran ini termasuk steak house, menyediakan berbagai menu steak ada ayam, kambing, sapi, dengan harga yang murah dan minuman air putih gratis",positive
"steak yang saya pilih disajikan tidak selagi panas, sehingga agak2 enek. seharusnya steak itu disajikan selagi panas",positive
"Salah satu tempat makan steak favorit di bandung. Dengan tempat yang bagus, rasanya juga enak, tapi harga cukup standar. Desain ruangan yang membawa kita layaknya sedang makan di eropa.",positive
steak import murah dan enak.menjadi salah satu tempat steak favorite sya dan keluarga. mau steak enak dan murah coba ke Suis butcher.,positive
"Makan daging sapi yang murah disini tempatnya. Dagingnya kualitas lokal, tidak keras namun tidak empuk sekali juga. Saus steak standard. Kesimpulannya, restoran ini memberikan kualitas daging yang setara dengan apa yang dibayar.",positive
"Rasa steak & saus nya standard, sudah berbeda dengan Suis Butcher jaman dahulu. Area parkir kecil, jadi agak sulit jika di jam2 makan.",positive
