content,polarity
"Beberapa kali kesini. Menurut saya tempat paling enak di Bandung untuk menikmati steak di sini. Harganya terjangkau, tempatnya pun dibuat nyaman, dan jika makan ditempat free mineral water jadi menghemat pengeluaran. Paling suka menu chicken Cordon blue. Rekomen untuk dipesan",positive
"Harga steak dan makanan standard, harga minuman murah (<25K) rasa lumayan, tempat nyaman. Wifi nggak terlalu lancar. Alternatif menghabiskan malam minggu dengan teman atau keluarga.",positive
Tempat yang bagus kalau dinikmati malam hari. Cukup nyaman. Harga cukup terjangkau. Favorit saya Steak Tenderloinnya. cukup enak.,positive
resto ini cukup murah meriah alias harganya terjangkau oleh mahasiswa. Menu utamanya adalah steak. dagingnya lembut dengan saos jamur. namun rasanay tidak terlalu istimewa. coba chicken mushrom soup. rasanya cukup gurih.,positive
"Waktu tgl 26 june,saya berkunjung ke suis butcher yang terletak di lantai 3 festival citylink bandung.saya memesan steak terderloin parmegiana(ada keju di bagian atasnya),rasa steaknya enak,bumbu menyerap.tingkat kematangan bisa diseusaikan sesuai selera.satu porsinya terdiri dari dari daging,potato wedges,brocoli (gratis air putih).dan orange float,rasa orange floatnya seger,ada potongan buah jeruk sunkist.pemandang dr sini bagus,kalo malem hari.",positive
"kami memilih untuk makan malam, berbuka puasa di suis butcher setelah membaca review yang bagus tentang restorant ini. Karena lokasi resto ini juga hanya diseberang hotel kami menginap (hotel kartika) di Jl. Riau, jadi pas lah kami bersantap buka puasa disini. Steak yg disaediakan bervariasi, dan dari menu yang kami order rasanya emang top lah. Sesuai dengan rekomendasi dan review. Lanjutan",positive
"Pilihan menu steak mulai dari american, australia dan ribs nya betul-betul nikmat dengan ukuran besar mengenyangkan. over all yang di sajikan setara dengan harganya",positive
steak murah banyak.tapi rasanya jg biasa banget.Nah.klu mau steak yg ngga mahal tapi enak.saya biasa kesini. Dan biasanya saya nggak datang malam minggu.coz pasti ngantrinya. :),positive
"Lokasi strategis di riau, tempat yang cozy, boleh dicoba tenderloin black papper yang enak , minum juice strawberry sangat cocok",positive
Steak yang dihidangkan dari sisi ukuran dan kenikmatan berasa nanggung ditambah saus steaknya yang kurang kental sesuai dengan harga,positive
"Menurut saya makanan nya lumayan enak, waktu itu saya pesan tenderloin steak dengan tingkat kematangan medium, dan sesuai ekspektasi",positive
"Pelayan tidak tahu informasi steak yang dijual, simbol jam/jenis daging/jenis kentangnya. Pas minta air mineral dingin, diberikan",positive
"Favorit saya dari dulu selalu Ribs Barbeque di Suis Butcher, potongan dagingnya lembut, tidak susah dipotong. Bumbu barbeque-nya menyerap hingga ke bagian dalam daging, dengan sedikit tetesan Tabasco rasa Ribs Barbeque ini sempurna. Sebagai hidangan pembuka, salad buah dan salad sayuran disini enak, buah dan sayurannya segar, thousand island-nya enak juga. Disediakan air putih secara gratis jika tidak mau memesan. Lanjutan",positive
"Satu paket ini terdiri dari Selat Solo, Orange Gelato, dan Lychee tea. Harusnya selat solo jadi primadonanya, namun, yang jadi juara disini malah orange gelatonya. Karena ditemukan tulang di adonan selat solo. Sempet kaget waktu tau ada tulang ini",positive
"Tempat steak di bandung sejak lama dari jaman setiabudi sampai sekarang buka cabang di riau. Tempat di riau ini lebih besar ,parkiran juga gak sulit seperti di setiabudi.lokasi di tempat kuliner jl riau.porsi dan harganya pas untuk ukuran steak.untuk room non smoking nya nyaman.",positive
"Makanannya enak, kenyang, puas. Value for money. Kalo sore-sore datang ke sini, anda akan merasakan makan steak dengan aroma sate karena tepat di depan resto ada penjual sate yang rame banget.",positive
"harga murah namun rasa cukup enak, walaupun terkadang mendapatkan daging yang keras, tempat juga cukup nyaman namun parkiran agak susah jika sedang penuh",positive
Steak yang sudah puluhan tahun di Bandung ini sudah sangat tersohor. Dari jaman saya SMP setiap ke bandung dan kalau kepengen steak pasti meluncur ke sini. Stand pertamanya banget (yang saya tau yah) itu di Jalan Setiabudi. Suis Butcher Steak House Setiabudi Jl. Setiabudi No.174 Bandung 40141 Telp.022-2033172 Fax.022-2038829 Steak ini dulu nya enak bgt tp baru saja weekend kmrn. Lanjutan,positive
