content,polarity
"Kita datang ber-5 dan berharap dapat 1 meja dapat 3 stove, tetapi hanya ada 1, Jadi kita harus antri untuk bakar semua daging yang kita mau. Rib eye nya terlalu banyak tulang jadi tidak dapat dimakan. Pilihan sambal dan kuah terbatas. Akhirnya kita banyak makan steamboat",negative
Tempatnya nyaman bgt yg lebih puas makanannya membuat mata melek.pengen ini pengen itu tinggal pilih bikin penasaran.smuanya enakk.yg pasti harga sama menunya seimbang dech udah segala ada makan sepuasnya.paling demen makan bersama keluarga Hanamasa.gk bosen2 dech bikin jetagihan trus.dan trus.,positive
"Menyenangkan sekali makan disini,, dijamin lah kalo lapar sekali sejam kemudian gak bisa jalan karna kekenyangan silahkan ambil apapun secukupnya, toh kalo kurang masi bisa nambah. jng terlalu berlebihan, krna sayang sekali jika tdk dimakan . semua makanan disini enak,pelayanan ramah. jadi ayok cobain lah",positive
"Enak bnget di siniii semua makanan adaaa dari yg kuah , bakar , gorengg , appetizer , soup , main course , dessert , makanan panas , makanan dingin , seafood , non seafood , sayuran semua adaaa lengkapp",positive
"Resto ini suasananya nyaman dengan layanan yang baik. Tersedia menu khas Jepang seperti Syabu-syabu(makanan yang direbus) dan Yakiniku (makanan yang dibakar) terdiri daging sapi, daging ayam, seafood dan sayuran segar. Selain itu menggunakan saus Niku Tare rasanya nikmat dan saus Soto Tare rasanya juga lezat. Ada menu yang lain seperti Chicken wing, Sosis goreng dan Burger. Saladnya terasa segar dan. Lanjutan",positive
"Hampir tiap tahun harganya naik.saya mulai makan disini sejak harganya masih 77 ribu/dewasa.minggu kemarin baru mampir lagi (yang di Istana Plaza) berharap ada iga bakar tapi ternyata kosong. Menunya gak sebanyak dulu, malah ada kesan seadanya.ada daging utk yakiniku yang lumayan rasanya tapi ketika habis langsung diblok tempatnya gak diisi ulang lagi. Dessert nya cuma ada puding yang rasanya standar. Lanjutan",positive
Makan di hanamasa emang enak banget . Makan sama rekan bisnis makin enak karena kita semua enjoying this moment. Makan bareng Sekitar 16an rekan bisnis . Semuanya larut banget sama makanan hanamasa yg enak dan pasti all u can eat . Bikin perut kenyang bgt . Apalagi beef bbq nya bikin ga bisa berhenti . Tempatnya cukup nyaman . Cuman. Lanjutan,positive
"Makan paling santai ya hanamasad sepuasnya kita makan disini semua dicoba asal gak dibawa pulang,sambil ngobrol kita sambil masak sendiri asikk dan seru dwehh",positive
"restoran All You Can Eat ini sudah bertahan cukup lama.disini yang menjadi favorit saya adalah Thai Thea dan Dagingnya yang enak.siap-siap kekenyangan karena banyak pilihan makanan disini.hanya terutama di cabang Mall Istana Plaza pelayanan sering buruk dan mengecewakan.asap juga cukup mengganggu di dalam.overall review saya adalah rasa makanan enak dan baik, tetapi sangat perlu banyak perbaikan dalam pelayanan.",negative
"Santap siang kali ini menikmati rujak cuka yang dihidangkan di bagian festival tempura. Tampilan sementara saat diambil biasa saja. Setelah disantap, biasa dijumpai irisan ubi jalar, bengkuang, kedondong dan nanas. Ternyata selain itu, ditemukan juga irisan buah pala muda yang khas. Ini luar biasa. Rujak yang istimewa, asin, manis, asam, pedas semua berasa menyegarkan sebagai hidangan pembuka",positive
Makan.shabu shabu sambil ngobrol sama temen temen. Tempatnya asik buat makan.harganya kaga terlalu mahal.,positive
"Kalau ke sini siapin perut kosong yaa soalnya di sini konsepnya all you can eat. Puas banget makan di sini, sesuai kok sama harganya. Aku sukanya shabu-shabu, enak banget.",positive
"Semua makanan di Hanamasa lezat dan sangat reccomended. Mulai dari yakiniku, shabu-shabu, tempura, semuanya lezat dan saya yakin memakai bahan berkualitas tinggi. Tetapi saya agak menyayangkan karena di nampan buffet tidak terdapat nama makanan. Saya pada waktu itu mengambil beberapa jenis daging, tapi saya tidak bisa membedakan jenis daging pada nampan 1 dengan nampan yang lain, apakah itu daging sapi. Lanjutan",positive
"Tidak pernah hilang dari menu yang disantap adalah bawang putih bakar. Bagi sebagian pengunjung bawang putih ini mungkin kurang digemari, namun berbeda dengan di cina tenpat dulu pernah tinggal, kegemaran makan bawang putih bisa dipenuhi d hanamasa.",positive
"Sebagai penutup ahir tahun 2015, kami melakukan meeting dan sehabis meeting kami diajak makan malam di sini",positive
Mau makan sepuasnya ya hanamasa. Ada shabu shabu Dan menu menu lai nya. Hanya dengan membayar 200K saja kita bisa makan sepuasnya sampai Kentang tanpa khawatir dikenakan biaya tambahan.,positive
"Hanamasa udah ada sejak jaman sy kuliah letak nya waktu itu di depan BIP jalan merdeka, all you can eat ambil sendiri, masak sendiri, mantap rasanya .",positive
"Banyak pilihan makanan Jepang yang bisa Anda coba di sini. Salah satu yang membuat saya cocok adalah saus yang ditaburi wijen, lezat!",positive
"Di hanamasa ini sistem nya all u can eat, pilihan shabu-shabu nya banyak dan bisa makan sepuasnya. Untuk rasa sih udah no satu, soalnya i bandung kayanya belon ada yang nandingin. Untuk harga sih agak menguras kantong, soalnya cukup mahal untuk mahasiswa seperti saya.",positive
"Terakhir saya ke Hanamasa adalah ketika merayakan hari ulang tahun adik saya. Kami makan di cabang Hanamasa di jalan Dago Bandung. Lokasinya sih strategis, tapi jika datang terlalu siang atau menjelang makan malam, akan susah mendapatkan parkir di sini. Ini dikarenakan masih ada beberapa tenant lain yang juga banyak dikunjungi oleh pengunjung Saya suka makan di Hanamasa karena seleksinya banyak,. Lanjutan",positive
"terakhir ke hanamasa harganya 120/org. tapi puasnya lebih dari itu. bisa ambil makanan sepuasnya, tapi rasa gak mengecewakan, pinter2 kita aja meracik sendiri. kalo penggemar daging sapi pasti suka ke sini",positive
"Berlokasi di Jl Ir H Djuanda yang lebih terkenal dengan jalan dago atau depan Plaza Dago ( dulu ), menempati lantai 1 gedung 2 lantai sangat mudah dijumpai. ketika saya datang pas hari jumat, lumayang ngantri, ada 2 keluarga yang datang duluan sebelum saya. Japanese restaurant yang kamu bebas makan apa ajah dengan cukup membayar sekali saja, dekorasi ruangan restaurant. Lanjutan",positive
"Ketika ingin menyantap all you can eat, pilihannya selalu hanamasa. Lokasi tempatnya cukup enak, sayang memang restorannya tidak besar sekali karena setiap kesana selalu waiting list. Pilihan makanannya banyak, dari mulai snack, bakar-bakaran, rebusan hingga dessert. Sangat tidak mengecewakan. Namun saya pikir untuk masalah rasa tidak enak banget sih. Rasa saosnya tidak istimewa. Tapi cukup sepadan untuk apa yang kita. Lanjutan",positive
"all you can eat makanan sehat kayak gini emang paling juara, dateng laper banget, pulang kenyang bego. lebih pas buat acara traktiran, mau sampe bego juga bayarnya yaudah segitu aja",positive
"Hanamasa mengusung konsep all you can eat yg bisa didapatkan dengan harga di kisaran 150rb. Terdapat pilihan grill berupa beef, chicken, seafood, dan juga ada pilihan suki juga. Overall, tempt yg bagus utk nongkrong lama bareng temen.",positive
"Tempat makan yang bener-bener asik buat traktir temen kalo kamu lg ultah hehe. Ya kalo price sih ""relatif"" cuman ya kalo makanannya bener2 puas banget deh!",positive
"masakan jepang yg all u can eat, makan sepuasnya masak-masak, ambil daging, sayur, buah dan minuman hingga berkali-kali rasanya enak-enak",positive
"menyajikan macam-macam makanan jepang yg fresh dengan pelayanan yg muantaaab :D . disambut dengan senyum manis para pelayan nya , dan suasana ,makan yg Japanesse. klo tanya yg suka makanan jepang dijamin 100% pasti inget nya HANAMASA.",positive
