content,polarity
"Tempatnya ada diatas bukit dan berderetan dengan banyak kafe, tapi untuk yang ingin mencicipi cita rasa masakan sunda pasti pas dateng kesini. Menu nasi liwetnya nagih!",positive
"Di tengah kondisi hujan, kunjungan terasa menyenangkan karena makanan yang enak, suasana yang menyenangkan n harga yang reasonable",positive
Buat pecinta kuliner bandung bisa mampir kesini. Architecturenya bangunan tradisional jawa. Menu makanan favouritenya liwet.uwenakkkkkk. Tempatnya agak nyempil.lahan parkirnya kecil.jadi kalau lagi penuh parkirnya rada susah. Cocok untuk hang out bareng temen.keluarga.tapi jangan bawa orang tua yang udah uyut.soalnya untuk ke resto harus naik turun tangga yanga agak curam.,positive
"Resto ini mempunyai banyak pilihan tempat makan seperti di dalam rumah, saung, di bawah payung dan di balkon) yang menyediakan tempat duduk lesehan atau dengan meja disertai menikmati pemandangan kota Bandung. Menu seperti Nasi liwet, Ayam jamur, Nasi liwet ikan asin, Mendoan, Sate Maranggi, Sop kambing dan lainnya. Nasi liwet rasanya enak dan harum. Sate meranggi rasanya gurih dan lunak. Lanjutan",positive
Tempatnya di dago atas sehingga pemandangan dari restorannya bagus sekali. Hawa segar. Menunya sedikit tetapi lumayan enak-enak terutama tempe mendoan dan nasi liwetnya.,positive
"Suasana asri, masih banyak pohon-pohon di dalam restorannya. Makanannya juga enak, great value of money. Selesai makan langsung ngantuk karena suasana hening hmmmm enak.",positive
"Lokasinya di dago atas, agak menurun curam. hidangan paling favorit ialah nasi liwet yang bisa dimakan2-8 orang. tempe mendoannya juga enak banget.",positive
"Waktu itu saya kesini rame-rame sama temen karena ada acara arisan kampus. Well, secara umum tempatnya damai, luas dan cocok banget buat wisatawan yang nyari ketenangan. Makanannya juga variatif, dan saran harus nyobain ayam bakar yang sambalnya yummy banget",positive
"Sudah lebih dari 6 tahun lalu terakhir saya mengunjungi tempat ini. Waktu itu malam hari jadi tidak terlalu bnayak yang saya lihat karena mereka menggunakan konsep limit light. Kali ini saya pergi mengunjunginya di siang hari, dan ternyata banyak tempat yang bisa kita pilih sebagai lokasi kita untuk bersantap. Semakin kebawah ada taman kecil dan juga pemandangan ke sebrang daerah. Lanjutan",positive
"Lokasinya bagus, cozy, nuansa tradisional. Nyaman banger habiskan waktu di sini. Mushola kelewat kecil. Nggak kebayang kalau dipakai untuk acara keluarga besar saat maghrib. Harga makanannya termasuk murah. Untuk rasa, masalah selera sih, ya. Kata saya mah standar biasa.",positive
tempatnya bagus dan viewnya jg okay. Cocok untuk acara keluarga. Khas makanan disana itu nasi liwet dan tempe mendoan. Itu recommended. Hanya saja tax n service nya mahal hehe ^^. Buat foto2 juga bagus. Boleh dicoba kl datang ke bandung guys. Oh ya kalau kesini bawa lotion anti nyamuk. Karena lokasinya kaya dihutan gitu jadinya banyak nyamuk.,positive
"Ksini hari minggu sama keluarga,,tempatnya sepi,enak,bersih,,adeem,,yang jelas masakannya enak,,nyoba sate maranggi empuk banget parunya juga empuk dan enak,,tempe mendoan manteeep,,,dan yang jelas murah meriah harganya",positive
