content,polarity
"Akses ke saung sangat mudah. Resto ini menawarkan menu tradisionil dan modern. Menu tradisional seperti Nasi Timbel dan Nasi tutug oncom. Menu modern seperti Udang saus tomat, Cumi saus tomat dan sebagainya. Ayam bakar madu merupakan ayam bakar yang diolesi dengan madu mempunyai cita rasa yang beda dengan ayam bakar biasanya. Rasa madu yang manis meresap sampai ke dalam daging. Lanjutan",positive
Lokasi stretegis di pinggir jalan besar dekat dengan Tol Pasteur. Untuk menikmati hidangan biasa sambil lesehan atau pakai meja kursi. Restorannya tidak terlalu luas begitu juga parkirannnya. Untungnya pas datang ke tempat ini masih sepi jadi enak untuk parkir. Menu yang ditawarkan restoran ini adalah makanan khas Sunda banget dengan rasa yang pas di lidah. Semua makanan yang dipesan rasanya. Lanjutan,positive
Makanannya standar makanan khas Sunda yang enak dan lezat. Harga OK. Suasana lumayan walau agak sempit . Lokasi sebelum tol Pastur,positive
"Makanannnnya sunda banget. dan enak,,, juga sambalnya itu sangat enak.Paru dan satenya juga garinkkkkk dehhh",positive
"Kunjungan ke bandung kali ini benar-benare memanjakan matan dan perut. Kalo ke bandung coba aja mampir ke saung ini, dijamiiin memuaskan dari segi pelayanan maupun makanannya. Kamu yg belom pernah makan nasi liwet, cobain aja nasi liwet di saung ini.",positive
"Perjalanan ke bandung cukup menyenangkan selama 3 hari bersama teman kerja dari jakarta, meski di hari weekend macet namun ketika melakukan perjalanan teman merekomendasikan saung kabayan, dari harga terjangkau dan makanannya enak, salah satunya yang di coba saung kabayan di ciwidey. cukup reccomended.",positive
"Kami mencoba makan malam di sini karena letaknya yg tepat di seberang hotel tempat kami menginap. Awalnya kami tidak menyangka menu yg akan kami santap seenak itu, terlebih secara tampilan fisik gedung, restoran ini biasa saja. Pelayan cukup sigap melayani. Pesanan kami juga cepat datangnya. Yummyyyy, mungkin ini restoran Sunda terlezat yang pernah kami coba. Kebetulan kami memesan banyak menu,. Lanjutan",positive
"Biasanya saya dan keluarga ke Restoran Saung Kabayan pada saat perjalanan mau pulang dari kota Bandung, hal ini dikarenakan lokasi restoran berdekatan dengan Exit tol Pasteur. Makanan yang biasanya kami pesan adalah Ikan Gurame Goreng, Pepes tahu, tumis kangkung dan sayur asem.",positive
"Restoran ini terdiri dari dua lantai dengan nuansa khas rumah Sunda dengan berbagai ornamen dan dekorasi khas Sunda, antara lain wayang golek. Makanan di restoran ini juga cukup enak. Sejauh ini, restoran ini merupakan restoran Sunda yang terenak yang pernah saya kunjungi. Minumannya pun juga beragam dan terdapat beberapa minuman tradisional, misalnya bajigur. Akan tetapi, pelayanan di restoran ini sangat. Lanjutan",positive
Lokasi mudah dijangkau dengan tempat yang nyaman. Dan yang terpenting makanannya lezat dan nikmat dg harga yang seauai,positive
"+: Menu variatif, rasanya enak, harga 'tidak mencekik leher' - : dekorasi dan interior yang dulu pada masanya mungkin bagus, tapi saat ini sudah mulai tampak lusuh. Sebaiknya diremajakan untuk tampilan yang lebih segar dengan tetap mempertahankan khas sundanya",positive
"Saya sekeluarga berasal dari Bandung. Walaupun sekarang sudah bekerja di Jakarta, tapi pasti selalu balik ke Bandung untuk mengunjungi keluarga. Karena itu tentu lidah sudah sangat terbiasa dengan makanan Sunda. Dan makanan Sunda yang ada di kota-kota lainnya, tidak bias mengalahkan di wilayah Sunda asli, terutama Bandung. Masakan Sunda dari restoran ini sudah cocok dengan lidah keluarga kami. Terlebih lagi. Lanjutan",positive
"Lokasi restauran sangat dekat dengan hotel tempat saya menginap, sehingga saya selalu makan disini. Menu yang disajikan menu makanan sunda. Kemarin saya makan ikan bakar dan sedikit kecewa, karena sedikit ada rasa/aroma tanah nya. Untuk sayuran, tumis genjer dan tauge sangat enak. Sayur asemnya, seperti biasa enak sekali. Dan yang paling enak adalah.ayam cabai hijaunya.enak dan selalu enak.",positive
"Jika kita hendak memasuki jalan menuju Hotel Novotel atau Bogor Lakeside,maka kita pastilah melalui restoran ini. Resto ini merupakan restoran yang menyajikan masakan sunda.Meski Nampak sudah tua bangunannya, tapi untuk rasa, resto ini boleh diadu dengan restoran sunda yang lain. da dua pilihan tempat duduk, yaitu apakah memilih tempat duduk di kursi atau lesehan di saung saung mungil mereka yang. Lanjutan",positive
"bagi orang2 luar kota restoran ini pling tepat dikunjungi selain tempatnya strategis dsni terdapat berbagai macam menu masakan sunda.di sni bisa delevery juga lho,,,,penasaran.Silahkan mampir",positive
"Mengapa Poor? Dulu waktu saya makan disana, interior belum sebagus sekarang, parkir juga susah, rasa maknan semua manis termasuk sayur asemnya tp ga tau ya sekarang.hehehe. kalo dilihat2 dari luar sih sekarang sudah ada kemajuan, turut seneng deh.",negative
"Cukup mantap hidangan disaat kita lapar, sate dan empalnya sangat lezat ditambah berbagai sayuran segar siiip lah",positive
