content,polarity
"Sudah dua kali makan di sini, dan sejauh ini menjadi tempat makan favorit saya di Bandung. Waktu makan siang di sana tidak terlalu ramai, tapi pas mampir ke sana untuk makan malam semua tempat duduk hampir penuh. Porsinya besar, dan rasanya enak.",positive
"Cukup ramai di malam minggu, tempat makan untuk rombongan karena porsi nya yang besar, standar untuk rasa nya",positive
"Lokasinya di seberang masjid Pusdai. Waktu kemarin makan di sini, salut juga udah banyak perubahan. Beberapa tahun yang lalu makan di sini bersama istri, tempatnya belum seluas dan serapi sekarang. Variasi menunya cukup banyak, dan rasanya juga enak.",positive
"Makanan seafood favorit udah rasanya enak tempatnya juga luas pinggir jalan lagi dan menu porsinya juga besar besar pas buat kita datang rombongan dan pelayannya juga ramah ramah jadi kadang kita harus antri juga buat makan disini dan saat Ramadhan ini kita riservasi langsung gak bisa via telpon dan makanan favorite ku disini kepiting rica rica , cumi saus padang. Lanjutan",positive
"Nyari seafood enak di Bandung? HDL salah satu tempat yang menyediakan seafood terenak di Bandung. Soal harga, jangan takut, semuanya worth it!",positive
"HDL merupakan restoran yang menjual hidangan seafood. Bagi para pecinta seafood, wajib mampir ke HDL apabila berkunjung ke Bandung. Memiliki lokasi yang luas dan berada pada tempat yang strategis, HDL menyediakan hidangan dengan harga yang terjangkau dan porsi yang besar. Sangat cocok apabila berkunjung kesini dengan keluarga maupun teman, karena porsinya luar biasa banyak.",positive
"Resto yang menyediakan masakan seafood. terletak dekat gedung sate, setiap sabtu dan minggu selalu ramai,, cocok buat makan malam bareng keluarga dan sobat lama.",positive
kalo mau makan seafood di bandung yang paling recommended ya HDL Cilaki. walaupun harganya cukup mahal tapi makanan yang disajikan pun ga sedikit. jadi fair lah yaa. sayangnya kadang mejanya kurang bersih masih berasa ada minyak di meja. service waitersnya juga kurang memuaskan. tapi rasa masakannya enak banget,positive
"tempatnya lumayan luas, tempat parkir agak sempit, pilihan menu lumayan banyak, kekurangannya adalah pelayanan kurang memuaskan, apalagi kalau sedang penuh, bisa sampai satu jam nunggu masakan sampai dihidangkan di meja.",negative
Menyesal x ini. kepiting ga bersih. gurame bau tanah. mesti banyak perbaharui qualitas makanan neh,negative
"HDL 293 merupakah salah satu seafood yg enak di bandung, bisa ditemukan di CIlaki ato di seberang PUSDAI jl.wr.supratman. Enak, harga masih masuk akal. tempat yang mudah dijangkau, porsi besar, minimal kudu ber-4 nih :) terutama untuk menu sayur dan sop ya, klo untuk menu utama seperti kepiting, udang, dsb cukup berdua saja sih bisa habis, selama ga pake nasi. Lanjutan",positive
masakan seafoodnya enak.porsinya banyak.tempatnya cukup luas.bumbu seafoodnya cukup beragam saya paling suka cumi saos madu.cumi saos padang wah pokonnya enak semua joss,positive
"HDL 293 menawarkan menu seafood yang lengkap mulai dari udang, cumi, kepiting dan lainnya. Porsinya cukup besar cocok untuk menu sharing rame-rame. Rasa : Udang telur asin : asinnya agak berlebihan Kepiting telur asin : asinnya agak berlebihan Sup asparagus : asin aja Memang sih menu telur asin menawarkan rasa asin, tapi menurut saya rasanya agak berlebihan, perlu ada QC. Lanjutan",positive
"seafood favorit jaman kuliah. Harganya tidak terlalu mahal namum porsinya sungguh besar. menu favoritnya kerang dan udang bakar saus madu, rasanya sungguh lezat, pas kesini kalau rame-rame, jadi makannya puas",positive
Tempat makan malam favorite saya kalau ke bandung. Porsinya besar. 1 porsi bisa untuk 3 orang. Nyaamm.,positive
