content,polarity
"Desain bangunannya unik, kayaknya dulu rumah peninggalan Belanda deh. Suasananya nyaman, sebagian indoor sebagian outdoor. Menunya banyak dan variatif. Harga rasional dengan rasa yang enak, terutama buat penyuka keju. Buka sampai jam 2 malam kalau gak salah, jadi kalau kelaparan tengah malam bisa lari ke sini.",positive
"Kapan di undang ya makan disini. Hanya thrill seeker nya kerasa banget. Yang lain sih enak enak aja. Makan ok, pelayanan agak lambat cuma penuh senyum, minuman ok, plating nya lumayan. Maju terus ya.",positive
"Kesan pertama begitu melihat bangunan (dari luar) agak kurang meyakinkan. Bangunan tua dan halamannya kurang terawat, untuk parkir cukup luas. Setelah masuk, ternyata luas, banyak pilihan tempat duduk yang terbagi dalam beberapa ruangan kecil-sedang. ada pula di taman belakang (outdoor). Menu lumayan lengkap, dari menu indonesia (tradisional) sampai modern/western, rasa lumayan. Harga lumayan terjangkau untuk kelas kafe. Banyak kelompok (mahasiswa/umum). Lanjutan",positive
"Ini tempat favorite kami, tersedia wifi, ada mushola yg bersih dan nyaman di lantai 2, memiliki menu yg cukup beragam, parkirnya cukup luas dan akses menuju ke siete tidak sulit hanya butuh kesabaran - baca macet hehe. Menu favorite kami adalah steak tenderloin disajikan dengan kentang yg dihaluskan - luarbiasa, Untuk minumannya ada milky hulk - green tea dicampur susu. Lanjutan",positive
"Space tempatnya luas dengan lahan parkir yang memadai, cocok banget untuk bercengkrama dengan sahabat sembari menikmati menu makan siang. Variasi menunya banyak, enak dan harganya sangat bersahabat.",positive
"Yaa untuk Cafe Hunter di Bandung , Siete cukup dapat direkomendasikan untuk kawula muda. Harganya pas sebanding dengan makanan yang disajikan. Suasana Cafe dan interior standart, namun ada fasilitas Wifi.",positive
"Beef Gordong Bleu yang enak, namun harganya sangat terjangkau dengan porsi yang cukup besar. Semua makanan disini enak dengan harga yang sangat terjangkau dan porsi yang cukup besar. Sangat direkomendasikan",positive
"Sebagai salah satu restoran yang punya lokasi strategis karena deket kampus dan jalan dago, siete juga sangat unik karena konsep cafe yang bergaya ala rumah Bandung zaman dahulu. Suasana yang nyaman asik banget untuk ngerjain tugas kampus, meeting atau nongkrong bikin betah pengunjungnya sampe malem. Selain itu makanan di siete salah satu yang paling enak dibanding cafe lainnya di Bandung.",positive
"Tempatnya sangat nyaman dan cocok untuk nongkrong dan ngerjain tugas sekolah atau tugas kampus karena disediakan free wifi. Selain adem, tempat ini juga ga terlalu bising meskipun posisinya ada di pinggir jalan. Tapi kalo dari segi menu makanan menurut saya kurang enak meskipun variasi menunya banyak. Jadi buat yang mau berlama-lama disini lebih baik pesen minuman yang banyak aja, jangan. Lanjutan",positive
minuman lovelichy dan chicken mummy sangat enak . tempat hommy dan nyaman. servicenya cepat dan penyajian makanan bagus.,positive
"Saya sering makan disini bersama pasangan saya. Sudah berkali-kali saya kecewa karena pelayanan dari waiter/waitress yaang sangat buruk. Butuh waktu yang sangat lama untuk memesan makanan saya. Parahnya lagi, saya yang harus berdiri dan mencari waiter/waitressnya, sama sekali TIDAK ADA kesigapan dari pihak cafe ini dalam melayani pelanggan. Dan untuk menikmati pesanan yang saya pesan, membutuhkan waktu lebih dari 20. Lanjutan",negative
"Tempatnya lumayan enak, cozy untuk browsing plus internetnya lumayan stabil. Tapi sayang terlalu banyak nyamuk. Tadi nya mau duduk lama sekalian makan, karena nyamuk, akhirnya cuma minum kopi saja. Saat di infokan soal nyamuk itu ke staff nya, staff nya malah senyum"" gak jelas. Kasihan.",negative
"tempat nongkrong asik buat yg suka berlama2 di suatu tempat sambil main laptop. kamu ga akan diusir dari sini. makanannya enak2, mulai dari yang ringan sampai yang berat, minumannya juga yahud.",positive
