content,polarity
"Masakan tradisional,aneka ikan tawa,ayam sea food,sup,tahu tempe,kelapa yang seger. Minum air teh anget paling cocok kalau makan di malam hari",positive
"Tempat nya bagus sekali, adem pilihan ada 2 yaitu lesehan dan duduk di kursi. kita memilih lesehan karena santai . menu masakan nya ala sunda, yang kita pilih hanya dua macam masakan yaitu kan gurame goreng dan sop ikannya ditambah sambel yang khas. pokok nya enak deh. harga relatif/ sedang tidak mahal banget.",positive
"Waktu itu saya ke sana bareng family. Mau cobain krn namanya keliatan tradisional. Pas masuk bener, tempatnya ada yang lesehan, ada juga sih yang meja. Tapi kita waktu itu pilih yang lesehan. Pas ke sana malem2 jadi ga gitu nikmatin tempatnya juga. Buat tempatnya sih rada kurang ya krn pertama bau amisnya masi ada yg berasal dari meja yang kurang. Lanjutan",positive
"pilihan Menu yang banyak yang lebih menarik lagi adalah menu khas yang mengangkat kedaerahan jawa barat, tempat sangat cocok untuk rapat rapat resmi atau membawa keluarga karena ada lempat buat lesehannya jadi bisa sambil nyantai donk.cozy banget",positive
Bila anda bepergian ke Bandung jangan lupa singgah di Restoran Sangkuriang. Resto ini menyajikan makanan khas sunda yang nikmat. penyajiannya pun cepat dan pelayananya ramah.,positive
"Makanannya cukup enak, situasinya juga cukup enak, harganya cukup tidak terlalu mahal, staffnya sangat ramah, sangat ramah ketika sepi mungkin.",positive
"Tempatnya nyaman, enak buat makan sambil santai bareng keluarga, makanannya juga enak, paling mantap ikan bakar dan sop ikan nya. maknyus",positive
"Sangkuriang merupakan salah satu restoran kuring (bergaya Sunda) di daerah Setiabudi, Bandung. Salah satu menu andalannya adalah nasi timbel komplit yang rasanya memang enak dan patut dicoba. Suasananya bergaya tradisional dan terdapat saung-saung lesehan di taman belakang.",positive
"Berkunjung ke sini sangat terkesan dengan alunan musik sunda mengiringi makan kas sunda (tetapi juga ada chinese food). referensi nasi timbal dan lalapannya. seger, kalau ingin suasana romantis pilih saung-saung kecil, Anak2 juga betah karena arenanya luas",positive
makanan enak.sambel pedas.suasana cukup nyaman dan lokasi restaurant gampang dijangkau. parkir bagus dan aman.,positive
