content,polarity
Gudegnya sudah terkenal sejak dahulu kala. Rasanya sangat manis. Harganya termasuk ramah di kantong. Banyak pilihan masakan lainnya selain gudeg,positive
"Brikut review gudeg banda : [+] : makanannya termasuk murah Dan rasanya enak. Saya makan berdua abis 30rb ; Satu nasi gudeg telur Dan soun , perkedel,tahu , emping : lokasi gampang dicari, dapat ditemukan di Gps/waze juga. [-] : -",positive
"Kami dan teman/teman mampir di gudeg Banda di bandung . Makanan nya ok : gudeg , kerecek. Tahu ayam dan telor . Umum nya enak . Dan tersedia juga masakan indonesia lain nya . Waktu pesan makanan langsung pilih apa yang mau . Then bayar . Sama dengan self services.",positive
"Enak sih.karena saya dan keluarga pecinta makanan pedas,,coz, manisnya itu loh gk ketolongan.hahaha",negative
Gudeg yang enak di kota bandung Rasanya enak banget Harganya tidak mahal Restorannya bersih Tapi kamar mandinya kurang bersih dan bau,positive
"menjual gudeg dan juga makanan lainnya. rasanya enak, harga tidak terlalu mahal, porsi lumayan besar.",positive
"Kalo ke Bandung saya sekeluarga selalu makan disini, rasanya enak sekali, apalagi anak2 suka banget, harganya tidak terlalu mahal, rumah makan ini udah ada sejak taon 90an.",positive
"Gudeg Banda sudah sejak lama ada di Bandung, dan rasanya dari dulu tidak berubah, tetap enak. Rasa gudegnya khas, yang menjadikannya favorit keluarga saya. Sangat direkomendasikan untuk dicoba jika anda berkunjung ke Bandung",positive
"Menurut saya gudegnya terlalu manis dan berkuah, boleh dicoba ikan nila kuningnya acarnya enak agak pedas",positive
"Tempat favorit saya jika kangen gudeg di Bandung ya gudeg Banda ini. Ini pas dengan selera lidah saya (dan juga bagi kebanyakan orang, soalnya tempat ini tampaknya selalu penuh setiap saat!). Tak tergerus oleh waktu rasanya, sedari dulu saya mengunjungi tempat ini dan selalu menikmati citarasa yang sama. Sudah banyak juga cabang dari gudeg Banda ini ditemui di berbagai tempat,. Lanjutan",positive
Jika anda ke bandung tidak ke gudeg banda berarti kurang senpurna. Guded banda enak . Apalagi krecek dan tahu dan atam opor nya . Good food .,positive
"Rasa gudengnya tidak pernah mengecewakan. Harganya juga pas, gudeg telor opor diharga 20ribu. Paling mahal gudeng komplit 35 ribu (kalau ga salah). Kalau tidak suka gudeng mereka sedia juga masakan lain.",positive
"Setiap kali kami pergi ke Bandung, kami selalu meluangkan waktu untuk mampir ke gudeg Banda. Rasa gudeg yang manis membuat kami sekeluarga ketangihan.",positive
"gudeg banda cukup terkenal di bandung, saya sering makan yang di Jl. Lombok, selalu penuh. Rasa gudeg nya khas dari yang lain. Mengenai selera bagi yang suka manis pasti cocok dengan rasa dari gudeg Banda ini. Untuk harga juga cukup realistis, untuk gudeg polos sekitar 15,000an. Cuma masalah parkir agak sulit jika yang di Jl. Lombok.",positive
