content,polarity
"Cafe morning glory di tengah kota bandung ini emang pas banget untuk nongkrong bareng temen dan pacar loh, ditambah konsep yang diberikan juga cukup unik dengan arsitektur yang eropa banget, makanan dan minuman yang disajikan enak banget, namun menurut saya harganya masi agak mahal sih, but overall semua terbayar dengan disajikannya konsep yang keren, ditambah dengan live music yang sabtu. Lanjutan",positive
"Tempat nya nyaman , wifi nya kenceng , colokan adaa yaa meskipun ga banyak banget tapi ada laaa. Terus klo mau nongki doang jga ad sofaa",positive
Tempat yang cozy dan homy banget. Letaknya juga strategis. Cobain deh cappuccino-nya. Sedap banget! Internetnya gratis dan keceng.,positive
"Tempatnya nyaman, dan terlihat teduh dan interiornya bagus, harganya terjangkau dan tempatny mudah dijangkau",positive
"tempatnya cozy, didesain minimalis. menyajikan minuman dan makanan lainnya. menu sarapannya bervariatif, menu kopinya juga banyak.",positive
"Kopi di sini sangat nikmat sekali, khususnya pagi hari pada saat sarapan, aromanya sangat kuat dan sedap. Dengan design interior yang menawan menambah kenikmatan menikmati kopi di pagi hari.",positive
"Interior cozy minimalis, cukup nyaman dan menyenangkan, makanan cukup bervariatif, harga relatif terjangkau.",positive
"Kopi dan makanan lumayan enak, tapi banyak tikus lari-lari. Menjelang sore malam selalu penuh, tapi tidak ribut. Tidak sesuai untuk ngopi sambil baca buku karena pencahayaan minim.",negative
Morning grlory 247 di dalam komplek perumahan batununggal jalan raya nya . Saya dan temen-temen ngafe di MF 247 . Pesan sop buntut goreng enak lahhh,positive
"Setelah jalan2 keliling Bandung, kami kembali ke hotel Ivory by Ayola,dan santap malam di morning glory, cafe/ resto hotel.Kami pesan kwitiew siram,sapo seafood with rice dan strawberry juice,porsinya besar dan rasanya enak dengan harga yang sesuai.Tempat yang pas untuk kumpul bareng keluarga dan teman2 dengan penataan ruangan cafe yang nyaman sehingga pengunjung betah berlama2.",positive
"Bergabung dengan resto/tempat sarapan suatu hotel di lingkungan yang sangat bersusasana Bandung. Sangat nyaman, desain interior sangat menarik penuh barang-barang retro, menyajikan lokal kopi kelas utama dengan kualitas rasa yang prima #SerieMakananDewa #CoffeeBandung. tersedia indoor dan outdoor sehingga pengunjung yang merokok dipisahkan dengan non smoking area.atau memang tidak diizinkan sama sekali untuk merokok (kebetulan saat itu saya tidak melihat), untuk. Lanjutan",positive
