content,polarity
tempat anak-anak muda berkumpul. Bagus sekali. Menu makanannya juga enak-enak. Pelayan nya juga bags dan ramah. Pasti akan ke sini lagi.,positive
makanan nya enak pelayanan nya ramah. cocok untuk nongkrong dengan teman teman ada live music tempat nya sangat nyaman dan menyenangkan,positive
"Saya kesini untuk kerja. Ditemanin musik di bober. Kenangan makan dan kerja di sini ok banget. Thanks Bober, Kasih Undangan instimewa dunk agar bisa review lagi hehehe",positive
"Letaknya di Jalan Riau dekat dengan Gedung Sate , tempat ini menyajikan makanan ringan seperti seblak atau makanan berat. Dan Cocok buat ngobrol dengan teman atau Nobar bola malam minggu",positive
Disini ramaii terus. Kebetulan dtg kesana pas satnite jd harus waiting list. Makanannya lumayan. Seblaknya juga enak disini.,positive
di bober cafe ini menyediakan aneka makanan dan minuman.dan juga cemilan2 bandung seperti cilok seblak dan lainnya. harganya lumayan terjangkau.,positive
"Ini pertama kaliny kesini krna lapar habis dari pemandian air panas di subang atas recomended dr temen saya kesini karena t4 ini buka 24 jam,pas kesini jam 1 pagi msh ramai untul menu makanan lumayan variatif,untuk rasa juga enak (waktu itu gw pesen soto betawi dan kentang goreng) pelayanannya juga ramah dan cukup tanggap jd bakal kesini lagi kalo ke. Lanjutan",positive
"ini salah satu cafe 24jam yang selalu rame.saya ksini karena janjian dengan teman yg bawa anak"" remajanya ksini karena penasaran.buat saya pribadi terlalu rame.maklum pangsa pasar mereka memang remaja dan mahasiswa. makanan kisaran 15 - 50rb an.ada pizza,sop iga bakar.ayam cobek.soto betawi bahkan cilok.untuk rasa biasa aja.tapi karena dinikmati bersama teman ya jd senang.",positive
"suasana nyaman, makanan dan cemilan enak dan tidak harga yang paling penting sedang, lengkap dengan access wifi jadi bisa sambil internetan, tempat cukup ramai cocok untuk ngumpul bersama teman, atau sekedar ngopi. menu makanan cukup beragam dan ringan.",positive
Nongkrong di sini asoy rame bener apalagi malam minggu cuman asap rokok yang gak nahan salah satu tempat nongkrong yang rekomended nih,positive
"Setiap ke sana, hanya 2 jenis makanan yang selalu saya pesan. Bober sampler dan aglio. Biarpun aglio nya sungguh sangat jauh dr standar aglio pada umumnya, tapi mereka meraciknya dengan sangat baik. Untuk minuman saya lebih suka thai tea karena untuk black coffee rasanya masih kurang.",positive
"Bober cafe ini sangat identik dengan tempat kumpul anak muda, harganya juga sangat cocok untuk anak muda. banyak pilihan menu makanan yang unik unik, sangat cocok untuk tempat ngobrol walaupun sangat berisik.",positive
"Saya tidak merekomendasikan cafe ini untuk anda yang membawa keluarga, karena suasananya cukup ramai dan banyak asap rokok serta agak bising. Untuk anak muda, cafe ini menjadi favorit karena letaknya yang strategis dan harga makanan dan minumannya pun tidak mahal, dan rasanya yang lumayan.",positive
"Saya berkunjung ke sini 2 hari setelah lebaran. Tempatnya sangat enak, ada area bermain untuk anak-anak. dan ada ruangan bebas rokok. Dari segi makanan rasanya standar saja. namun suasana yang enak menjadikan anak-anak lahap makan. Dengan adanya tempat bermain anak-anak jadi makin senang. Tempatnya juga enak untuk tempat nongkrong bersama teman. Menurut saya tempat ini cocok untuk acara pertemuan keluarga. Lanjutan",positive
"Suasananya cukup nyaman untuk bersantai, menu makanannya variatif dengan harga yang sesuai, dan saya terkesan dengan menu sheesa yang disediakan oleh Bober Cafe. Satu lagi, ayam rica-ricanya nya ""unforgettable"".",positive
"Tempat nongkrong anak muda, harganya juga bersahabat, dan porsinya lumayan banyak, jenis makanan dan minumnya juga beragam",positive
"Bobers buka sampe 24 jam, itu yang membuat para pelanggan selalu setia datang kesini. Aneka menu yang disediakan berupa minuman panas, serabi, kentang goreng dan banyak lagi lainnya. Suasana nongkrong santai dan Sisha yang disediakan disini membuat kegiatan kongkow berjalan mengasyikkan. Salah satu rekomendasi saya bagi para anak muda yang suka nongkrong ditempat yang asyik.",positive
"Bagi saya sebagai non-smoker, duduk di restoran dimana semuanya adalah smoking area menjadikan pembicaraan dengan teman sangat terganggu. Dengan konsep cafe yang buka 24 Jam, hal rasa dan porsi sudah lumayan. Lalu ketika mencoba membayar dengan credit card, mesin tidak berfungsi. Bukan menjadi pilihan utama untuk hang out di daerah Dago Riau dan sekitarnya.",positive
"Saya mengenal Bober Cafe tahun 2011 dan baru sering datang sekitar satu tahun terakhir. Biasanya saya datang ke sini untuk bertemu teman atau writing session di luar rumah. Sebenarnya, saya bukan tipe yang senang kongko di restoran atau kafe selama berjam-jam, tapi suasana homey di Bober (kebetulan tempatnya memang rumah) membuat saya betah. Meski terletak di jalur sutra kuliner Bandung. Lanjutan",positive
