content,polarity
Dim sum disini enak dan banyak pilihan. Harga cukup tinggi tetapi sesuai dengan kualitasnya. Menu masakan yang pasti dipesan adalah kerapu hot pot. Onde gorengnya juga patut dicoba.,positive
"The Duck King, salah satu Chinese Food restaurant yang wajib saya kunjungi, baik itu di Jakarta ataupun Bandung. The Duck King yang berlokasi di Paris Van Java Mall, lokasinya sangat nyaman bagi orang-orang yang tidak ingin keliling mall & tujuannya hanya langsung makan. Ketika masuk area parkir, saya lebih memilih untuk menggunakan jasa 'valet'. Beda Valet di sini adalah lokasi. Lanjutan",positive
Menu disini lengkap dan halal. Rasanya enak terutama soun kerapunya. Pelayanannya juga oke. Harga tidak murah tapi puas.,positive
"dimsumnya salah satu yg terbaik di kota, walaupun halal. pelayanannya juara, porsi makanan tidak terlalu banyak, harga lumayan mahal",positive
Paling doyan ikan krapu hotpot yang isinya ada soun. Enak sekali. Buburnya juga mantap. Sayang tahu simeji ala duck king nya kali ini agak keras. Biasanya tahunya selembut tahu jepang.,positive
"Disini dim sum nya enak. Ondenya kesukaan keluarga kami. Selain dim sum, menu lainnya juga enak seperti ikan kerapu soun hotpot. Ini selalu kami pesan setiap kali kesini.",positive
"Saya mencoba makan di sini bersama teman dan rasanya sangat standard, tidak sesuai dgn yg kami harapkan. Harga yg ditawarkan juga relatif tinggi. Grand Duck King di sini terasa kurang dibanding cabang di kota lain.",positive
"Restoran duck king benar-benar top banget khususnya untuk dim sumnya yang ada setiap hari dari pagi sampai malam. Saya berkeluarga dengan anak 2, dan keduanya sangat suka makan di duck king. Menu favorite kami adalah hakaw, shu may, kaki ayam lada hitam, onde-onde, egg tart, nasi goreng yang chow, dan tentunya bebek panggangnya. Makan di sini selalu enak banget dan. Lanjutan",positive
Salah 1 pilihan untuk restaurant keluarga. Menu favorit yang bisa dipesan sesuai namanya adalah bebek panggang. Ikan gurame asam manis & udang mayo nya juga boleh dicoba. Ada juga ceker ayam yang sudah dikuliti dengan rasa asam pedas.,positive
Makanan nya cukup baik pelayanan kurang attentive terutama kalau pesanan untuk beberapa orang ( lebih dari 6 orang) urutan makanan tidak berbarengan yang di bawa apa yang sudah jadi di dapur ( service squence),positive
"Seperti tipikal restoran tiongkok lainnya, duck king menawarkan banyak pilihan menu dan masakanan. Namun yang paling saya suka adalah nasi hainan yang rasanya sangat enak dan sangat terasa bumbunya. Juga teh tiongkok yang wanginya khas dan rasanya yang ringan. Untuk makananan lainnya rasanya cukup enak. Resto ini berukuran cukup besar, namun saya merasa jarak antar satu meja dengan yang lainnya. Lanjutan",positive
"Pilihan makanannya banyak. Baru nyobain ayam rebusnya ternyata enak. Menu wajibnya bebek panggang, nasinya nasi hainam, minumnya chinese tea",positive
"Saya datang ke restoran Duck King yang ada di Trans Studio Mall yang berada di lantai paling atas dan bersebelahan dengan Bioskop 21. Makanannya enak enak, Bebek Peking, mie, dan juga dim sum. Hanya porsi bebek yang menurut saya agak kecil. Pelayanannya cukup bagus dan baik, sayang nya disini tidak disediakan wifi gratis. Ada satu kekurangan lagi menurut saya, harganya. Lanjutan",positive
"Lokasinya yang be4rada di Mall sangat strategis karena biasanya, kalau ke Bandung selalu belanja dan cuci mata disini dan lanjut makan di Duck King. Makanan Favorite kita, udang goreng mayonise, mi ulang tahun yang basah, bebek peking BBQ, Ayam goreng kering, sama buncis saus shechuan.untuk dessertnya saya selalu pilih puding kelapa (yang biasanya habis terus), almond pudding dan yang paling. Lanjutan",positive
"Spesialis Masakan Bebek yang enak, dan juga ada pilihan lain masakan Chinese yang banyak menunya : Udang Mayonese, Sapi Lada Hitam, Hainam Chicken Rice, Tapi, Harga Makannan di The Duck King sedikit mahal.",positive
Dim sum nya variatif dan wuenakkk luar biasa.serta pelayanan yang sangat attentive.pantas untuk dicoba.,positive
uda rada lama sih ke sini nya overall enak lah harga lumayan expensive juga tapi enak ko makannya.^.^,positive
