content,polarity
Walaupun harganya cukup mahal tapi enak pakai banget. Disajiin panas-panas. Porsinya banyak. Tempatnya nyaman dan asyik buat ngobrol.,positive
Menu barunya yang cheese omelette enak sekali. Bumbunya yang saus coklat top markotop. Pelayanan juga bagus dan cepat,positive
"Salah satu restoran jepang yg agak beda di antara restoan Jepang lainnya yg memang banyak di kawasan di BSM/TSM.Dimana kita disuguhkan makanan memakai hotplet dan mengaduk sediri makanannya ,bisa jg dibantu oleh pelayan.Untuk rasa, lumayanlah, terasa banget pepper nya, sesuai dgn nama restonya. Untuk harga agak sedikit mahal krn menurut kami lebih banyak rice nya drpd toppingnya. Terutama menu steak. Lanjutan",positive
pepper lunch merupakan restoran jepang unik yg dimana kita harus memasak kaya chef di atas hotplate menu yg harus dicoba adalah the giant steak nikmat namun harga cukup tinggi,positive
Tempat mkn yang strategisss.berdekatan dengan trans studio bandung. Pelayanan yang ramah dan cepat sehingga tidak perlu mrnunggu waktu yang lama buat mengantri.,positive
"amazing, konsep hotel teritegrasi dengan hiburan terbesar dan super mall terbesar di bandung, membuat saya dan kolega dan keluarga merasa nyaman untuk selalu menginap dan melakukan meeting di hotel ini, menu yang bervariatif tidak membuat jenuh",positive
kami kebetulan sedang berbelanja di Badung Suer Mal. dan untuk makan melam mampir ke Pepper Lunch. Banyak pilihan makanan yang sedap rasa dan juga penampilannya. Harganya pun masih terjangkau.,positive
"Begitu saya disuguhkan pesanan saya, aya kaget dengan hot platenya yang dimana saya harus segera mengaduk makanan agar tidak godong karena hot plate tersebut masih panas. makanannya tasty di lidah saya. recommend!",positive
Pelayanan ramah dan cepat Tempat bersih Meskipun harganya mahal tapi memang diimbangi dengan rasanya yang lezat,positive
"Pepper lunch yang ada di TSM ini konsepnya sedikit terbuka, menurut saya lebih enak daripada yang di PVJ sehingga sambil makan bisa sambil melihat ke sekeliling. Untuk segi makanan, pepper lunch tidak pernah mengecewakan. Selalu berkualitas dari segi rasa dan bahan baku. Para pelayannya pun atraktif dan memberika pelayanan yang bagus, dan selalu menjelaskan kepada pelanggan cara memasak makanannya. Bahkan. Lanjutan",positive
"Saya makan di sini dengan menggunakan voucher disdus. Paket nasi ayam kari, dengan diskon hingga 30 persen. Akibatnya para pengunjung mengantri untuk meredeem voucher. Cilakanya cek voucher masih dilakukan secara manual. Tidak ada masalah untuk makanannya, hanya saja antrian terlalu lama. Voucher sendiri sudah dibeli jadi mau tidak mau para pengunjung mengantri",negative
"Sebenarnya sama saja dengan restaurant pepper lunch lainnya. Hanya saja karena restaurant ini mempunyai area tempat duduk sendiri, sehingga pada saat ramai, lebih mudah mencari tempat duduk",positive
"Makan disini sangat terjangkau, menu yg variatif, selain itu harga yang terjangkau untuk kelas kawasan superblok ini. Tiap ke supermall selalu pepper lunch jadi pilihan utama untuk makan.",positive
