content,polarity
Makanan murah. Untuk harga yang ditawarkan sih ya rata-rata begini makananya. Hanya pelayanan harus ditingkatkan karena cenderung lambat.,positive
"Kiosk braga sangat cocok ketika kita lapar tapi bingung pengen makan apa, Di sini ada banyak tenant yang menyediakan berbagai macam makanan yang khas di tiap sudut kota bandung, mereka semua berkumpul disini untuk menyediakan makanan makanan andalannya.",positive
Tempat makan yg menyediakan berbagai macam makanan. Suasana kafe pun berbeda dengan kafe yg lain. Saya merasa cukup puas dengan harga yg sebanding dengan rasa yg didapat. Tetapi pelayanan kurang baik. Saya harus menunggu lama untuk makanan yg saya pesan. Padahal keadaan kafe cukup sepi saat yg berkunjung.,positive
"the kios itu isinya macam2 stall dengan nama ternama yang dikumpulin jadi satu , yang biasa dimakan sih nasi liwet atau sate tempatnya di braga remang2 dan banyak nyamuk jadi nya , coba diterangin dikit ga usa remang2 lampunya makanan standar saja rasanya , mahal iya =D",positive
"Setiap ada waktu ke bandung dan jalan-jalan ke ciwalk, suka mampir ke the kiosk ciwalk karena banyak pilihan makanan dan minuman sunda. Makanan dan minuman dari beberapa tempat yang sudah ada dan cukup terkenal di kumpulkan jadi satu disini jadi tidak bingung untuk memilih makanan dan dari sisi harga juga tidak mahal menurut saya.",positive
"Suasana restoran sangat cozy dan bagus, makanan juga lengkap tersedia mulai dari camilan hingga makan besar. Sayang tempat ini cepat sekali kehabisan makanan saat malam",positive
Tempat nya asyik tapi kurang nyaman karena panas Menu makanan dan minumnya banyak banyak Rasanya juga lumayan,positive
"Lokasinya yang terdapat di salah satu mall di Jalan Braga ini menjadikan tempat ini nyamn untuk nongkrong ataupun makan siang, variasi menu cukup bervariasi lokal dan western tersedia, harganya juga terjangkau",positive
"Jika Anda punya waktu terbatas dan ingin menghindari jalanan Bandung yang macet, Anda bisa datang ke The Kiosk dan menikmati berbagai makanan Bandung terkenal dan enak, semua di kumpulkan di sini.",positive
"Tempat semi outdoor, jadi cenderung panas. Jumlah toilet sangat kurang, apalagi saat kami datang ada beberapa yang sedang dalam perbaikan. Penerangan pujasera cenderung redup, cenderung gelap",positive
Makanan standar dengan harga standar. Sungguh bisa diandalkan karena berada dalam mall. Cukup baik untuk membawa keluarga,positive
"Restoran ini menawarkan banyak sekali menu makanan dan minuman. Dari makanan Sunda, Chinese Food, hingga Western Food. Harganya pun tidak terlalu mahal. Saya menyantap Nasi Liwet Jambal Roti, rasanya gurih dan enak.",positive
di the kiosk kemarin cobain mie kocok wow enak bangett pake kikil sapi. harga lumayan murah meski tempatnya di braga city walk,positive
"Biasa2 saja g ada yg special, ayam gorengnya terlalu berminyak, makanan smua dingin cuma nasi nya yang panas, Harganya normal.",negative
