content,polarity
"Semua makanan minumannya enak, lengkap dengan sayur. Ada yang paket hemat dibawah 20 ribu untuk ayam potong sampai 30 ribuan untuk yang bebek/ayam kampung. Rasa rumahan. Enak sambil lihat kendaraan berlalu.",positive
"Hallo kali ini saya akan mencoba mencicipi makan di Bebek Garang jalan Braga, bandung, west Java, Indonesia. Suasana restorannya cukup nyaman, pelayanannya sangat baik, dan makanannya sangat enak dan lezat sekali. Sambel nya mantap sekali pedasnya, nikmat. Saya sangat merekomendasikan untuk mencoba makan di bebek garang ini, harga terjangkau. Mari selamat makan bebek garang.",positive
"Saya datang dengan keluarga, suami saya sangat suka sekali dengan Bebek Debusnya rasanya gurih pedas manis, ditambah sambelnya makin nampool.anak saya suka sekali dengan kremes dan kol gorengnya, kriuk2 garing beda dengan kol goreng di tempat lain.Very recomended buat makan di sana lagi.!!!",positive
"Saya pesan bebek kremes, bumbunya terasa tapi sayang daging bebeknya sedikit terbilang tipis. Tempatnya lumayan karena dipinggir jalan",positive
"Bebeknya kecil bener, buat yg udah pernah nyoba bebek ireng suroboyo pasti kerasa beda gedenya bebek. Ga puas rasanya makan bebek kecil kaya gini, tp overal enak juga sih. Sambelnya jg ok",positive
Bebek garang di braga ini tempatnya tidak terlalu luas. Sering penuh kalau sedang waktu makan siang jadi kalau berniat ke sini sebaiknya datang sebelum waktu istirahat siang. Pelayanannya lumayan cepat. Di setiap meja disediakan permainan dadu dan monopoli yang bisa dimainkan sambil menunggu pesanan datang. Daging bebeknya empuk dan gurih. Bumbunya terasa meresap sampai ke daging bebek. Harganya juga tidak. Lanjutan,positive
"Bebek nya empuk banget.bumbu sangat meresap sampe ke dalam, buka restaurant juga sampai malam, cocok untuk nongkrong",positive
"Menu bebek yang disajikan beragam. tempatnya kecil, tapi dengan harga yang terjangkau, bebeknya enak kok.",positive
"kami ke jl braga untuk sarapan karena tidak pesan sarapan dr hotel. akhirnya kami meutuskan makan di bebek garang karena rekomendasi teman yg dari bdg. kami pesan nasi ayam 70 dan ayam si hitam manis. isinya nasi, ayam, sambel, lalap. sambelnya enak. ayam hitam manisnya pas kecapnya.",positive
"Restoran ini terletak di Jalan Braga Bandung. Cukup ramai dan macet setiap harinya. Menu makanan yang ditawarkan yang utama adalah menu bebek dan ayam dengan berbagai macam menu yang beda. Untuk pertama mencoba ayam bakarnya, cukup enak dengan pilihan sambal yang berbeda, menu minuman juga banyak. Yang paling bagus pelayanannya sangat baik dan ramah.",positive
"Salah satu keunggulan dari menu bebek garang adalah sambelnya yang enak. Jus melonnnya agak aneh sih, bagi saya jus itu pure dari buahnya tanpa ada additional yang berlebihan, less sugar dan less ice jauh lebih bagus :)",positive
"Makan di tempat ini tanggal 17 Oktober malam saat menginap di kota Bandung, lokasinya sangat strategis berada di jalan Braga yang cukup ramai. Kami sekeluarga memesan nasi dengan bebek goreng yang disajikan dengan kol yang digoreng tepung dengan sambal yang menurut saya sangat pedas sampai berkeringat walau cuaca Bandung cukup sejuk. Rasa bebeknya lumayan enak, unttuk harga relatif masih terjangkau.",positive
"Pertama kali kesini, di Jogja belum ada soalnya. Ini juga karena liet pas lewat Jl Braga. Banyak pilihan menu masakan bebek. Saya pesan untuk take away karena masih perut masih penuh jadi rencana makan di hotel. Pas dimakan rasanya tetep enak, nasinya pulen, sambelnya enak.",positive
"Setelah sekian lama tidak berkunjung akhirnya mencoba lagi makanan disini, dengan banyak menu baru seperti bebek petasan yg pedasnya garang!! dan minuman tradisional yang segar sekali! recomended untuk selalu makan disini!",positive
"Terletak di kawasan Braga, membuat tempat ini selalu ramai oleh pengunjung. Apalagi kalau weekend, siap-siap saja bersabar dengan waiting list-nya. Tempat ini buka sampai jam 4 pagi. Menunya tidak hanya bebek, ayam pun tersedia. Saya mencoba bebek debus. Bagi saya ini sangat pedas. Harganya sekitar 30ribuan. Untuk minumnya banyak varian. Saya pesan banana split, harganya cuma 18ribu. Rasanya enak, es. Lanjutan",positive
"Sebelum puasa, saya janjian untuk ketemu dengan teman di area Braga. Setelah itu, kami memilih untuk masuk ke Bebek Garang. Kami memesan satu porsi bebek untuk berdua. Dan rasanya enak. Dengan harga 40 ribuan, kami makan dengan lahap.",positive
"Lokasinya di jln braga mudah dicari, restonya cukup bersih, luas. Menu bebek bervariasi dan saya mencoba bebek kremesnya, rasanya enak tp bebeknya terlalu berlemak. Staffnya sangat ramah dan informatif, penyajian cepat. Harganya murah dan yg paling saya suka adalah sambal bawangnya yg pedes dan wangi. Bakal balik lagi utk cobain yg lain.",positive
"Terletak di daerah Braga yang terkenal dengan hiburan malamnya, restoran ini cukup strategis. Tempatnya sederhana dengan beberapa lukisan dan pajangan lain. Saya mencoba bebek 70 dan american. Kedua-duanya enak. Yang saya sukai adalah sayur kol crispy nya dan juga jangan lupa untuk mencoba tempe mendoannya. Soal harga, murah dan memuaskan.",positive
"Tedapat diskon 15% untuk minuman dan 10% untuk kartu kredit tertentu, namun transaksi selain tunai ditolak karena sudah offline lewat jam 22.00, masak sih? apakah masuk akal??? Menu bebek, tidak terasa perbedaannya, pilihan menu tidak banyak, bukan karena jam pesan, namun karena tidak ada dari awal.",positive
