content,polarity
"Dulu pertama kali saya coba makanannya saya langsung suka tempat ini. Ada yang dikombinasikan dengan stroberi jadi memberikan sensasi rasa tersendiri. Saya pernah coba menu nasi liwet tapi saya lupa nama menunya. Disajikan di dalam kastrol, di atas nasinya ada bumbu dan sayuran. Dimakan nasi saja sudah enak karena ada rasanya. Kalau makanan saya akui enak, tapi pelayanan harus lebih. Lanjutan",positive
"Tempat makan ini sangat mudah ditemukan, tepatnya di jalan utama ke arah Gunung Tangkuban Perahu. Menu di sini sangat mengandalkan strawberry, sayang sekali saat saya kesini stawberry nya sedang tidak ada karena ada haman yang menyerang. Terdapat dua pilihan tempat makan disini, di kursi - kursi maupun saung (gazebo), saya merekomendasikan makan di saungnya karena dapat menikmati pemandangan kota bandung. Lanjutan",positive
"tempat petik strawberry nya bagus, luas dan nyaman. setiap ticket yg kita beli dpt free 1 gelas jus strawverry. disarankan datang pagi hari (sebelum jam 10), karena strwaberry nya msih besar dan segar2.",positive
"Yang ada cuma kebun selada ajah, udah diganti selada. Pas dateng lumayan sepi. Masih mending d rumah stroberi kalo mw ketik stroberi.",negative
"Baru sekali ke sini dan mau balik lagi tapi belom ada kesempatan, karena tempatnya lumayan jauh dan kalo lagi peak season jalanannya macet bangetttt. T.T Tempatnya enak, sejuk bangettttt plus ada kebun strawberry juga jadi kita bisa sekalian wisata petik. Makanannya recommended bangett terutama nasi liwetnya yang belom pernah seenak disini. Wajib dicoba kalo ke lembang. Love this place so. Lanjutan",positive
"kalau ke tempat ini pengennya ngejus terus, strawberry nya merah dan besar. siapa yg tak suka buah segar yang satu ini",positive
"Mau petik stroberinya tp trnyata sedang tidak musim jd coba makan di restonya. Nasi liwet, ayam keremes, ma karedoknya enak banget. Puas bgt ma rasa n pelayanannya yg cpt. Kalau ke lembang lg mau makan di sini lg aja hehe.",positive
"Bersama keluarga serta anak singgah disini untuk berlibur & memetik strawberry, ternyata tidak sesuai harapan, buah idaman anak-anak ternyata tidak ada yang masak setelah kami menebus tiket dengan harga yang cukup mahal. Kecewa dan merasa tertipu, padahal kasir mengatakan buah strawberry ada dibagian atas, lelah mendaki dan hasilnya nol, hanya mendapat lelah. Jika kalian kesini liat dari samping pintu masuk,. Lanjutan",negative
"makanannya enak, jangan lupa coba nasi liwetnya enak sekali di santap hangat-hangat, dan juga jus strawberry yang segar. rekomen ya buat yang ke lembang bandung.",positive
"Saya datang bersama keluarga tanggal 5 nopember 2015. Hari Kamis siang,, suasana agak sepi termasuk penjaga atau pelayan nya pun tidak ada ditempat,, kami memesan makanan setelah berteriak mencari pelayannya,,makanannya sangat-sangat standar,, padahal disini termasuk rekomendasi dari tripadvisor. Suasana restonya juga kotor sekali terlihat dari sarang laba2 di tempat lampu,, meja yang berdebu,, sayang sekali tempat besar tapi tidak dikelola. Lanjutan",negative
"awal masuk resto ini agak kurang meyakinkan krn tidak ada staf yg menunggu dibawah, awalnya kami pikir tutup, ternyata harus naik tangga ke atas dl. Makanan lumayan enak, tapi tergolong mahal utk layanan yg biasa saja.",positive
"Dari segi makanan gak recomended karena ada campuran strawberry, jadi semua makanannya ada rasa asemnya. Nasi goreng strawbery, puyeng dakh rasanya hehehe",positive
"Pelayanan baik, tempat parkir cukup luas, kebun strawberry luas dan banyak strawberry yang sudah cukup merah untuk dipetik. makanan direstoran sangat beragam, rasanya enak, sambal strawberrynya unik dan enak. nasi liwet strawberry harus dicoba. so far semua menu yang saya makan tidak ada yang mengecewakan sangat recommended untuk wisata keluarga",positive
Makanan yang disajikan sangat nikmat dan menggugah selera ditambah suasana sejuk yang nyaman menambah selera makanan. Jus strawberry yang begitu menyegarkan,positive
"Dari Jakarta,kurang lebih 2-3 perjalanan untuk menuju tempat dan lokasi ini,bisa melalui Subang atau via Bandung,kalau dari Bandung anda bisa menyusuri jalan pasteur dan setiabudi,naik keatas menuju Lembang,Kab.Bandung Barat.tempat dan lokasinya sudah tidak diragukan lagi,dikelilingi pepohonan yang rindang,alam yang indah,suasana pegunungan Tangkuban Perahu,restoran ini juga memiliki banyak wahana tempat rekreasi buat keluarga,seperti suasana kebun yang luas dan langsung menikmatinya. Hayu. Lanjutan",positive
"restoran ini dikelilingi taman beserta perpohon yang sejuk plus kita bisa memetik buah strawberry disini cocok dengan membawa anak, kalo masakan nya sih menurut saya biasa saja hanya khasnya sambal strawberrynya yang bikin beda plus yummy.",positive
"Akhir tahun lalu saya dan keluarga jalan ke daerah lembang dan tidak sengaja mampir makan di resto ini. Suasananya nyaman, pelayanan jg ramah dan over all kami puas. Makanan yg di sajikan standar spt makanan di restauran pd umumnya, tp yg membuat berbeda adalah sambal strawberry yg yummy dan bikin ketagihan. Disana selain bisa makan kita jg bisa sambil memetik. Lanjutan",positive
Makanannya enak. Suasananya nyaman. Sejuk. Sambal strawberry nya enak. Bisa petik strawberry sendiri. Cocok buat makan makan sama keluarga.,positive
"Makan malam di restoran ini memberikan sensasi yang sangat luar biasa sekali,selain dari makanan nya yang enak, tempat nya yang unik dengan memberikan konsep natural,dan mengedepankan nature,memberikan hembusan angin yang segar,sehingga stress saya terasa hilang sangat recomended sekali.",positive
Ini salah satu tempat yang makanannya enak&pemandangannya sejuk dimata. buat kumpul dengan keluarg atau teman-teman merupakan tempat yang cocok.,positive
"Makanannya enak banget ditambah lagi sambel strawberrynya yang khas. Tempat enak, makanan enak, mantap abis.",positive
"Dengan hanya 10 ribu rupiah untuk tiket masuk ke kebun straberry organik seluas 2 hektar, kita mendapatkan jus strawberry organik sebagai welcome drink dan juga dapat menikmati sensasi memetik strawberry sendiri dengan pemandangan pegunungan yang menakjubkan. kemudian dengan sajian masakan sunda yang menarik, seperti nasi liwet strawberry, nasi goreng dan nasi timbel strawberry juga sambal dadak srawberry",positive
