content,polarity
"Fasilitas tempat bermain anak, meski terbatas. Nasi bakar tunanya endess pedas dan sangat terasa bumbu serta menyatu. Price so-so.",positive
"Tempatnya luas, nyaman dan tenang, tidak jauh dari jalan juanda(dago), tepatnya di belakang RS Borromeus. Cocok untuk semua usia, bahkan anak-anak, dengan disediakannya berbagai wahana permainan untuk anak. Menunya beragam, harga lumayan mahal. Saya suka steaknya (chicken maupun beef).yummy.",positive
"tempatnya bagusss banget, selain saussage nya yang enak tempat main anak nya pun bagus, ada tree house nya yang tentunya anak-anak alan suka, ada mini playing fox dan tentunya semua permainan yang disediakan ini gratis, jadi tak perlu khawatir kesini membawa anak. harga lumayan lah ya worth it",positive
"Restaurant wajib yang harus didatengin kalo ke bandung terutama bila membawa anak. Tempatnya hommy banget karena berupa rumah, dekorasi resto nya bertema shabby chic, terlihat dari warna piring-piring yang tersusun di tangga pintu masuk resto dan dinding di dalam resto. Buat anak-anak ngga bakal bosen makan disini karena ada berbagai permainan seperti rumah pohon, ayunan, perosotan, dan yang paling favorit. Lanjutan",positive
Suasana cafe nyaman untuk bersama pasangan. Cafe ini juga menyediakan tempat Bermain untuk anak-anak. Makanan yang disediakan banyak variasinya Dan enak.,positive
"SESUAI namanya, kafe ini mempunyai rumah pohon. Rumah ini dibuat sekitar tiga meter tinggi menempel di pohon. Tentu ini adalah rumah main anak anak. Di situ memang sediakan lahan untuk tempat main. Mereka main sambil menaiki tangga ke rumah mungil itu. Di sampingnya ada kolam ikan koi. Kafe ini berbentuk rumah tinggal. Bagian depan dibuat atap dari plastik transpran untuk. Lanjutan",positive
"Saya dan adik saya kesini untuk sarapan dan merasakan bahwa tempatnya sangat nyaman apalagi untuk yang bawa keluarga. Ada taman bermain anak yang bikin makin betah untuk berlama-lama disini. Suasana restoran juga cukup rindang banyak pepohonan. Kalau makanan biasa saja menurut saya, yang cukup spesial adalah pancake duriannya.",positive
"Cafe ini letaknya dekat dengan Universitas Padjajaran Dipati Ukur. Waktu itu lagi jalan-jalan sendirian di Bandung, karena lapar dan pas banget lewat daerah sini terus lihat ada cafe yang lucu, homey, dan sepertinya suasananya calm makanya langsung mampir. Pertama kali masuk, kesan pertamanya ornamen dari cafe tersebut lucu banget, ditambah ada rumah pohon untuk anak-anak langsung jatuh cinta banget. Pas. Lanjutan",positive
Kafe yang terletak di daerah dago (tepatnya daerah Teuku Umar) ini menawarkan suasanya yang tenang dan nyaman. Akses mudah dicapai. Pilihan makanan dan minuman sangat beragam untuk makan siang atau makan malam atau sebatas bersantai sambil mengobrol. tersedia wifi dan power plug.,positive
"Area makan di luarnya menyenangkan. Iganya oke, rasanya enak. Jus orange plus stroberinya nikmat. Harganya pun ok.",positive
"Terletak di daerah dago, cafe ini menjadi pilihan keluarga karena ada tempat permainan flying fox mini sehingga anak- anak betah bermain disana. Opsi menu dan rasapun tidak mengecewakan.",positive
"Cafe dengan suasana yang nyaman, bikin betah dan berasa di rumah sendiri. Area makannya luas, bisa untuk reuni bersama teman atau family. Ada sofa-sofa yang nyaman dan dihiasi wall paper, ada saung-saung dan mini flying fox untuk anak-anak. Menunya pun lengkap dari menu sarapan, menu tradisional, pasta, steak, burger dan korean. Minuman panas, dingin, juice. Semuanya tersedia. Sayangnya, tidak menyediakan. Lanjutan",positive
