content,polarity
"Layanan di sini ramah, selain itu meja-mejanya cepat dibersihkan. Menunya juga enak dan selalu segar sehingga membuat kita lahap. Sebagai tambahan, sering ada promosi khusus.",positive
"Siapa yang tak kenal Bakmi GM. Salah satu brand bakmi yang sudah sangat familiar didengar bukan ? Sebagai informasi, kedai Bakmi GM Bandung ini selain ada Cihampelas kini ada juga di Trans Studi Mall. Oh ya all outlet di Bandung ini sudah menerima delivery service ya. Menurut saya bakmi ini lezat dan memiliki cita rasa yg khas. Saran saya bakmi. Lanjutan",positive
"Bakmi favorit makan bersama pasangan. Menu favorit kami : - bakmi spesial : jamurnya enak - pangsit goreng isi 5 : gurih - tea manis : rasa manis gulanya unik Overall : Menunya enak dan unik. Tempatnya luas dan bersih Pakai Tcash diskon 20%, lumayan hemat :)",positive
"Dulu setiap ke Jakarta suka mampir ke Bakmi GM, tapi sekarang ga perlu pergi jauh-jauh, cukup ke Ciwalk. Mienya tipenya tipis, dan rasanya menurut saya konsisten sejauh ini, dari jaman suka makan di Jakarta. Yang saya rekomendasikan: Pangsit goreng + saos cocolannya, pangsitnya renyah banget",positive
"Outlet bakmi yang cukup terkenal ini membuka gerai di Cihampelas Walk, salah satu mall yang ramai pengunjung di Bandung. Lokasinya cukup startegis, tepat berada di atas (di lantai 2) pintu masuk Mall. Untuk rasa, biasa aja sih. nothing special, tapi cukup lah buat penggemar mie. Terdiri atas 3 bagian, ada kursi dan meja yang berada di dalam lokasi mall, di. Lanjutan",positive
"Untuk rasa biasa saja tidak membuat saya terkesan, dengan harga 33rb untuk mie ayam dan segelas lemon tea katanya tapi yg disajikan bukan lemon tea malah jeruk nipis tea dengan ukuran gelas kecil terasa kurang menggigit dilidah, utk pelayan perlu dilatih utk melayani customer dengan sepenuh hati bukan lips service saja",negative
"Bakmie yg cukup terkenal di Jakarta kini ada di Bandung. Setelah mencoba diberbagai cabangnya yg ada di jkt, sya mencoba bakmie yg baru buka di Bec. Tempatnya berada di basement, tidak terlalu luas.Mungkin berhubung baru di buka, cukup ramai. Tempat yg sempit berhubung di basement tinggi plafond yg rendah terasa berdesakan, antara satu meja dengan meja lainnya terlalu berdekatan, sehingga. Lanjutan",positive
"bakmienya enak, pangsit kuah dan gorengnya jg enak hrganya cukup terjangkau, pelayanannya ramah dan cukup cepat",positive
"makanannya enak,, mienya mantap pelayanannya bagus dan cepat penyajiannya. lokasinya dan spotnya bagus",positive
Makanannya enak dengan menu baru.tidak begitu lama untuk menunggu makanan. Waiternya juga ranah ketika taking order mereka langsung suggest promo yang ada saat ini. Thank's,positive
