content,polarity
"Makanan enak, minuman enak, Pelayanan ok banget, kebersihan mantap. Interior saya suka sekali. Pertahankan dan maju terus ya. jangan lupa undang saya kalau ada event.",positive
"Ini merupakan resto ala tempo doeloe yang menawarkan hidangan lengkap ala indo belanda. Interiornya diisi dengan vintage items, termasuk sepeda ontel yang dipajang didalam resto. Saya mencoba sop iga. rasanya enak dengan bumbu rempah yang pas. Harganya juga cukup bersahabat",positive
Restoran ini cocok untuk bersantai dan berfoto dengan interior klasiknya. Makanan dan minuman overal cukup enak dengan menu favoritnya steak lidah sapi dan tongseng sapi ala indische.,positive
"Buat arisan ibu-ibu cocok banget karena restonya udah buka pagi2 jadi abis anter anak lanjut sarapan cantik Menunya jg enak-enak, suasana restonya juga unik. Serasa lagi ada di belanda jaman dulu",positive
Restoran yang unik dan bagus untuk dapat mengenang sejarah bagi generasi muda.makanannya enak.sop buntut bakar dan beef steik yg saya coba.harga juga terjangkau tidak terlalu mahal. Pelayanan juga cepat.hanya saja perlu adanya perawatan pd interior seperti dinding yang sudah mengelupas catnya.Parkir cukup luas. Next time sy akan kembali ke sana lagi.,positive
"Letaknya strategis di jalan sumatera, tidak jauh dari pusat kota Bandung, dengan makanan dan minuman berjudul sama dengan kafenya, ala belanada dengan harga yang tidak terlalu mahal, terjangkau lah :)",positive
"Tertarik mengunjungi cafe ini pertama karena bangunannya yg bernuansa tempo dulu dengan interior dipenuhi barang antik.Menu makanan yg ditawarkan jg disesuaikan dengan tema.Harga sedikit agak mahal tp rasa okelah, dengan ruangan yg disekat2 sehingga kita bisa menikmati makanan tidak terganggu pengunjung lain",positive
Restoran Indischetafel tidak 'mentereng' dari luar. Hanya rumah tua dengan kursi-kursi antik di bagian teras. Bikin penasaran gimana penampakan dalamnya! Ayo masuk! Ruangannya itu tersekat-sekat. Meja2 marmer besar dengan kursi kayu antik ditata indah di dalam ruangan. Ada pula ruangan-ruangan kecil (mungkin dulu kamar) yang bisa anda gunakan untuk makan bersama keluarga dengan sedikit privacy. Banyak sekali barang antik di. Lanjutan,positive
"Makan dengan suasana tempo dulu, gaya bangunannya yang mengusung gaya belanda antik.teras disini menyajikan pemandangan kebun dan halaman yang asri ,alami.bukan hanya internior yang seperti bangunan belanda,tapi makanan disini juga dinamai dengan nama berbau belanda. yang saya pesan disini yaitu Menu tahoe garam merupakan tahu yang dipotong serong dan digoreng dengan bumbu khas sehingga menjadi kriuk dan gurih. bagi pecinta. Lanjutan",positive
"Desain tempatnya cukup colonial,.Dengan display aksesoris yang menambah suasana tempo dulu. Sayangnya ada beberapa detail yang tidak diperhatikan, plafon yang berjamur mungkin karena bekas bocor, begitu juga dengan dinding kamar mandi. Dengan suasana tempo dulu bukan berarti beberapa detail dibiarkan seperti apa adanya dan seolah tidak terawat. Malah bila diperhatikan seharusnya tetap dengan keadaan yang bersih dan terawat. Rasa makanannya. Lanjutan",positive
"saya suka resto ini.serasa kerumah eyang,menempati bangunan tempo dulu.bangunan jaman Belanda.konsep ruangannyapun seperti jaman dulu.Sungguh memanjakan mata.buat saya yg suka tatanan jadul :) Bistik ( beefsteak) nya seperti dulu ibu saya suka masak.enak,Poffertjes an bitterballen nya enak.utk cemilan enak jg tahu garam pedasnya",positive
"Saya sangat menyukai konsep dari restoran ini yang benar-benar memperhatikan detail, darimulai seting ruangan hingga perabotan yang sepertinya dibawa dari jaman penjajahan belanda. Makanannya pun sangat otentik, favorit saya tentunya lidah saus keju. Yang mungkin banyak orang belum tahu, ternyata restoran ini menyediakan sesi sarapan",positive
"Suasana di bagunan tua memberikan kesan menarik (walaupun sedikit menyeramkan di malam hari). Beberapa masakan khas Belanda yang disediakan cukup enak dan harga yang ditawarkan pun sesuai, malah tergolong murah untuk hidangan yang didapat.",positive
"Resto ini menarik buat yang ingin bernostalgia ataupun merasakan suasana tempo doeloe ala belanda indonesia. Pilihan makanan cukup banyak, meski tidak semuanya enak atau berasa otentik. Tapi dengan harganya yang murah, okelah rasa spt itu. Sofa dan kursi yang comfortable serta dekorasi penuh barang antik cocok jadi tujuan foto selfie Anda. Oh ya, jangan lupa mampir ke toko cookies di. Lanjutan",positive
"Bila ingin menikmati masakan nusantara di Bandung, tidak perlu bingung, singgah ke Jl. Sumatera, disana ada Indischetafel yang menyediakan aneka masakan nusantara. Rasanya lezat dengan harga yang pas.",positive
"melakukan reservasi untuk pukul 19.00 dengan hanya menelpon pada pukul 17.30, kami sekeluarga masih mendapatkan tempat untuk 13 orang. kami diberikan ruangan yang cukup privat (berbentuk seperti kamar) dengan dekorasi seperti tahun 60-70an. jenis makanan yang ditawarkan juga cukup bervariasi dengan nama makanan/minuman dengan ejaan tempo doeloe. rasa makanan yang disajikan cukup enak dan cukup cepat. pelayan juga di-assign khususu. Lanjutan",positive
"saya melihat ada pegawai yang bernama santy sri pekatini dia terlalu ganjen mengurangi selera pngunjung sehingga pengunjung2 sebelah saya pun mengkritik ""tu cewe gatel banget ga bisa liat pria dikit,gwa yg stiap hari makan disini sllu perhatikan tu cewe setiap di jemput atau di antar beda pria tua semua"" itu keluhan yang membuat reputasi tempat anda tercemari oleh prilaku karyawan. Lanjutan",positive
