content,polarity
"Untuk rasa menurut saya standart saja, rasa sama dengan batagor kingsley, namun harganya sama mahalnya dengan batagor kingsley. Saya kesini karena batagor kingsley penuh dan terburu sehingga tidak bisa antri terlalu lama.",positive
Kalau bosan dgn batagor Kingsley kita bisa mampir ke Batagor ini. Rasanya lumayan lezat dan kalau dipikir mirip dan sama he he. Pilihan cukup banyak dan harga yah hampir sama mahalnya .,positive
"Waktu ke Bandung awal Januari lalu, sebetulnya gak kepikiran mau makan di Batagor Riasari. Karena Batagor Kingsley sangat penuh, saya dan suami 'terpaksa' makan di seberang. Suami lagi ingin makan batagor. Ternyata, yang awalnya 'terpaksa' malah jadi puas. Semua menu yang kami order rasanya enak. Ada harga, ada rasa, lah. Kami memang tidak jadi beli batagornya. Suami berubah pilihan dan. Lanjutan",positive
"siapa yang gak tau BATAGOR, coba sekali kali ke batagor riasari ini, walau harga sedikit lebih mahal tidak ada salah nya mencoba dan beri pendapat, menurut saya lumayan enak",positive
"buat orang lokal spt sy, makan seporsi 30.000 tdk terlalu besar, dengan rasa yg tdk dahsyat, lumayan mahal,,, kalo di tempat lain 30.000 sdh dpt 1 kotak bisa rame2,, sayangnya tdk masuk trip advisor, tapi org lokal yg doyan batagor pasti tau ,,, bukan berarti ini gak enak, enak jg kok cm agak mahal aja.",positive
"Karena bosan dengan batagor yang itu-itu saja, akhirnya sayapun iseng mencari tempat batagor yang belum pernah saya dengar. Dipilih lah tempat ini tanpa ekspektasi apapun. Ternyata rasanya enak! Ikannya benar-benar terasa dan ukurannya cukup mengenyangkan",positive
"Batagor riasari adalah pilihan kami setiap pergi ke bandung, rasanya yang khas juga nikmat membuat kami selalu datang dan kembali lagi. Favorit kami adalah siomay panjangnya, karna jujur kami belum pernah melihat siomay yang berbentuk seperti itu dimana pun. Rasa khas ikannya juga berbeda dengan batagor maupum siomay lainya. Dengan kombinasi rasa yang pas dan tidak amis, membuat makan beberapa. Lanjutan",positive
Sederhana aja. Batagornya enak bungkus buat oleh oleh keluarga di rumah. Pasti akan datang kembali bersama sama dengan keluarga. Padahal tadinya dikirain ga enak dan sempat ragu ragu. Udah makan ga ragu lagi,positive
"Tadinya mau cobain batagor yg terkenal tapi tutup, diseberangnya ada batagor riasari dan rasanya enak banget. Bungkus dah buat oleh oleh",positive
Enak sekali rasa batagornya. Beda beda dan beda dibanding dengan batagor kebanyakan dan branded lain nya. Bawain buat tetangga malah jadi buah bibir di arisan bulanan :),positive
"Raos pisan batagor & siomay nya, sampe saya bawa pulang buat orang2 dirumah, pokonya rekomendasi buat makan batagor harus makan disini terlebih bumbu kacang nya pas banget hehehe",positive
