content,polarity
"Buburnya nyuss banget. haoce gelo pokona. pilihan toppingnya bebas. mulai dari telor pitan, cuman cakue, polosan, kuping, chasio. bebasss. tapi usahakan tetap sopan. ^^",positive
Kami dan temen-temen 10 orang yam cha di hong sin . Pamgsit goreng enak goreng kering dan di kunyah chaklek. Angsio kaki ayam nya juga No.1 . Juga ubur-ubur nya dan sio may wow enak sekali .,positive
"Selain bubur malamnya yang terkenal, disini masakannya juga enak-enak. Kesukaan kami ifumie seafood gorengnya. Enak sekali! Nasi goreng yang chownya kurang berasa.",positive
"Kemarin sore saya mampir ke restaurant ini,restaurant ini buka jam 17.00.saya beli 1 porsi bubur ikan,dengan harga 20.000 rp,bubur ikannya (terdiri dari ikannya gurame,aromanya tidak amis,wangi jahe,cakue,bawang daun,daun ketumbar,sambel),bubur agak kental,rasanya pas.ubur-uburnya lumayan enak,sayangnya tidak ditaburin wijen.bapau spesialnya harganya 1 porsi 24.000 rp,2 buah bapau.bapaunya di dlmmya lamb chiong,telur asin bebek(bagian kuningnya),panggang babi merah,dll.rasanya mantap sesuai dengan harganya.lumpia udangnya,udangnya banyak.",positive
ini adalah salah satu restoran bubur legend di kota Bandung.rasanya yang enak dan tempatnya yang selalu penuh.selain bubur telor pitan yang enak disini juga menyediakan Chinese food yang juga lezat.dim sum juga enak.semua hampir dijamin enak disini.saya juga melihat logo Trip Advisor recommended tertempel di restoran ini. Om dan Tante-nya yang punya jaga sendiri jadi bisa langsung interaksi dengan Owner-nya.,positive
"Restaurant ini sudah lama ada, cuma sekarang sudah dibangun baru semenjak kebakaran beberapa tahun silam. Terkenal dengan bubur malamnya yang buka cuma dari jam 9 malam dan dalam waktu 2-2.5 sudah habis. Selain ada bubur malam, tersedia juga makanan chinese food siang dan malam. Dan kalo pagi ada dim sum juga.",positive
"Rumah makan jadul terletak di pusat kota, yam cha nya enak2, bapao, siomay, ceker dll hmm nikmat dan juga bubur nya",positive
"Bapao telor asin sangat enak, jangan lupa coba bubur malam disini, bubur ikan plus telor dadar enak sekali, ditutup dengan puding almond",positive
"Makan dim sum disini pesen Hakau ~ kulitnya lepas semua dan udangnya bau asem Sio may ~ kulitnya kering, rasanya hambar Bakut tim ~ bau, dagingnya keset banyak ampas nya Bapau spesial ~ kulit bapaunya kering, nempel sm kertas dah kaya lem Ceket kaki ayam ~ kulit kering dan rasa hambar Kesimpulannya makanan yg gw pesen adalah makanan bukan fresh,. Lanjutan",negative
"Pada kunjungan sebelumnya, tidak kesampaian makan bubur jadi sekarang kami datang lagi. Buburnya kental sekali. Mengenyangkan. Saya sendiri merasa buburnya kekentalan tapi rasanya cukup enak. Ubur-uburnya juga enak tidak berminyak.",positive
Tadinya mau coba buburnya tapi ternyata cuma ada jam 6 sore sampai malam jadi kita pesan dim sum-nya. Angsio kaki ayamnya enak sekali. Ga ada yg ngalahin. Bapau juga enak. Kalo siomay dan hakaunya biasa aja.,positive
"Restoran chinese food ini merupakan saksi sejarah daerah pecinan Banceuy tempo dulu dan masih bertahan melewati jatuh bangun sampai zaman sekarang. Masih ada saja pelanggan yang mengunjunginya untuk bersarapan dimsum, bersantap siang dan malam, dan yang paling terkenalnya adalah sajian bubur malam ala chinese food yang selalu ramai setiap malam. Bubur malam ini mulai disajikan sekitar jam 1900 wib setiap. Lanjutan",positive
"Restaurant ini sudah saya kenal sejak puluhan tahun yang lalu dan sekarang sudah bagus bangunannya sejak bangunan lama kebakaran beberapa tahun yang lalu. Makanan yang lezat tentunya "":sate Shanghai"" masakan ini saya sukai sejak dulu , menu lain banyak juga yang saya sukai seperti Ifumie . Makanan malam sesudah jam 10 bubur ayam serta makanan DimSumnya. Restoran ini sudah 3. Lanjutan",positive
Hidangan HongSin ini telah saya ingat sejak kecil. Bubur malamnya memberikan kualitas terbaik di kota bandung. Jangan lupa memesan ceker ayam dan siomaynya. Sambalnya pedas dan sedap. Tempatnya sendiri baru direnovasi sehingga nyaman untuk dikunjungi,positive
Biasanya saya ke restoran ini di malam hari untuk menikmati bubur. Sungguh menggugah selera menikmati bubur yang hangat di dinginnya malam Bandung. Apalagi jika ditemani panggangan babi yang menambah kenikmatan bersantap. Dua jempol deh.,positive
"Saya berkunjung ke restoran Hong Sin di kota Bandung pada tanggal 16 September 2014, saya bersama dua orang teman bersantap makan malam di sana. Menu masakan kebanyakan adalah bubur dan dim sum. Rasanya luar biasa.",positive
