content,polarity
"Saya boleh bilang ini adalah resto yang cocok untuk keluarga. Sambil istri saya belanja oleh oleh dari Kartika Sari, saya bisa menikmati makan siang di resto ini. Anak anak saya bisa bermain di playground dengam tiket yang murah. Menunya biasa saja dan rasanya lumayan.",positive
"Minggu lalu saya dan keluarga makan siang ke Madame Sari karena mencari tempat makan indoor yg kids friendly krn Bandung sedang sering hujan. Tempatnya sebenarnya lumayan dan ada playground yg besar & bersih tapi sangat disayangkan smoking area di tempat ini terlalu luas dan tempatnya di tengah2 dekat dengan playground. Justru, non smoking area hanya beberapa meja saja dan di. Lanjutan",positive
"Mengakhiri reuni di Lembang, kita belanja oleh oleh di Kartika Sari dan makan siang di Madame Sari terletak 1 lantai dg pusat oleh oleh yang cukup terkenal di Bandung yang terletak di daerah Dago Bandung. Suasana restaurant hari minggu sangat ramai pengunjung , menu makan siang Kami memesan variasi makanan ""gado gado, sapo tahu, nasi goreng babat dll"" . Secara. Lanjutan",positive
"Tempatnya di gedung kartika sari dago yang tempat beli oleh2 khas bandung itu. Makananya komplit asia western. Saya pesen nasi campur bali enak seh, tapi nasi nya agak keras sebagian nya seperti kelamaan di rice cooker. Yang enak kolak candil pisang nya. Plus nya disini ada playground anak nya. Jadi cocok sekali tempat makan ini buat keluarga yang punya anak. Lanjutan",positive
"Tempatnya luas tapi karena terkenal sebagai salah satu tempat jual oleh-oleh (makanan) khas Bandung, sehingga membuat restaurant ini menjadi penuh oleh para pendatang. Jenis makanannya cukup beragam dari Western, Asia sampai Indonesia. Es krimnya juga enak. Hati-hati bila membawa anak-anak ke sini, karena banyak sekali mainan dan bahkan sampai ada Toko Vega yang bergabung dengan counter-counter makanannya.",positive
"Tempatnya nyaman, menunya lumayan komplit untuk makan. Bagi pendatang yang ingin berbelanja oleh2, bisa sekalian istirahat & nyobain kuliner Bandung disini",positive
"Madame Sari adl resto milik Kartika Sari. Manajemen cerdik dgn membuat resto di dalam bangunan mereka, shg memudahkan konsumen yg ingin makan sehabis membeli brownies dan cemilan lainnya. Sop iga-nya recommended, termasuk nasi goreng-nya.",positive
"dari segi makanan menurut saya biasa saja, waktu itu saya memesan cincau dan rasanya terlalu manis. Kelebihannya adalah dari segi lokasi yang terletak di toko kue kartika sari. selain bisa makan, beli oleh-oleh makanan khas bandung, bisa juga belanja tas dan baju anak-anak, baju muslim maupun",positive
"Restoran ini terletak di gedung Kartika Sari, sehingga kita bisa sekalian makan ketika selesai berbelanja. Interiornya lumayan bagus, namun untuk makanan sih saya rasa biasa saja",positive
"hanya pesan 3 makanan dan lumayan harganya untuk ketiga makanan tersebut. nasi goreng harga 40,000-50,000 ribuan satu piring mungkin agak kurang reasonable (mending makan di hotel sekalian) rasa so-so tapi karena lapar dan hendak membeli oleh2. jadi mau tak mau mampir.",positive
"Rencana saya ke sini karena perlu membeli oleh oleh makanan khas Bandung yaitu pisang molen Kartika sari yang terkenal ditambah beberapa panganan lain seperti Kripik tempe dan oncom yang dikemas dengan baik di tempat ini. Sambil belanja, dilanjutkan dengan makan di sini. Menunya variatif, makanannya enak dan harganya juga terjangkau. Yang tidak bisa saya lupa. juice Duriannya enak banget",positive
Restaurant yang terletak di dalam Kartika Sari Dago ini mempunyai beragam menu makanan dan minuman. Makanan yang disajikan mempunyai citra rasa yang baik.,positive
"Di gedung kartika sari dago, di bagian belakangnya ada tempat makan yang selalu penuh pada jam makan siang. Menunya variatif. Dari nasi goreng, masakan cina, sampai masakan eropa. Tempatnya nyaman dan pelayanan cepat. Favorit saya nasi capcay.",positive
Madame Sari Restaurant selalu penuh seiring banyaknya pengunjung kartika sari yang datang membeli cake dan bakery di Kartika Sari Restauran selalu penuh tetapi pelayanan cukup cepat karena mereka memiliki banyak pelayan untuk melayani banyaknya pengunjung yang datang memesan banyak variasi makanan yang disiapkan oleh Madame Sari Restaurant.,positive
"bagi anda yang sering datang ke kartika sari juanda, ada baiknya jika anda mencoba restoran madame sari. makanan-makanan nya beragam dan enak. makanan favorit saya yamin dan sapo seafood. pokoknya recommended !!",positive
"Siapa yang tidak mengenal toko kue Kartika Sari yang begitu melegenda di kota Bandung ini? sudah sangat teruji dari segi kualitas rasa! Nah, apabila sedang berkunjung ke Kartika Sari Dago, atau ingin mencari kuliner dengan rasa yang enak dan harga yang sangat terjangkau? Jangan lewatkan mampir ke restaurant Madame Sari yang terletak di dalam gedung Kartika Sari, restauran yang baru. Lanjutan",positive
"Keluar tol Pasteur, lalu naik jalan layang PASOPATI, turun di Dago, lampu merah lurus danlampu merah kedua belok kiri, setelah lampu merah pelan-pelan, sekitar 20 meter dari lampu merah ada akan menemukan Toko Kue Kartika Sari. Selain toko kue yang menjual aneka kue yang biasa dijadikan oleh-oleh dari Bandung, disini ada Restaurant Madame Sari, makanannya berfariasi dari makanan asli Bandung,. Lanjutan",positive
"Resto ini bisa dijadikan salah satu pilihan apabila anda sedang pengen makan dipusat kota Bandung. Penatan ruangannya bak, lega, pelayanan juga baik. Makanan dapat dikatakan ada beberapa andalan.",positive
