content,polarity
"Istri saya yang tidak terlalu suka ramen, untuk kali ini dia bilang enak dan gurih. Dia malah memesan lagi untuk dirinya setelah mencicipi pesanan saya.",positive
"Salah satu restaurant makanan jepang favorit saya. Rasa makanannya enak, ga amis sama sekali, salmonnya lezat, harga standard",positive
Menu disini beraneka ragam dengan menu andalannya lidah sapi bakar. Rasa makanan disini standar dan harga termasuk agak tinggi.,positive
Menu disini banyak yang baru terutama sushinya. Sayang sushinya kurang enak. Odennya lumayan. Beef teriyakinya keras.,positive
"tempatnya bagus dan nyaman, parkir mobil lumayan luas, makanannya lengkap dan enak, saya suka teriyaki dan udonnya, ada tempat pijatnya juga,pokoknya kuliner jepang siiip degh",positive
"tempatnya bagus, nuansa kayu kayu, rasa makanan lumayan authentic jepang. harganya lumayan, banyak promo yg ditawarkan.",positive
"Ketika akhir pekan, keluarga saya mengajak untuk makan siang di sini. Ini pertama kali saya makan di sini. Apalagi lokasinya tidak jauh dari rumah saya. Makanannya sih menurut saya biasa saja. Saya lebih memilih Kiyadon ataupun Sushi Tei. Tapi yang membuat saya terkesan adalah dekorasi mejanya. Tampak personal sekali. Tiap tempat makan disediakan origami kecil. Lucu sekali bentuknya",positive
Restoran jepang ini cukup terkenal dgn Gyu Tang-nya (lidah). Sushinya sekarang banyak macamnya. Odennya kurang enak. Pelayanannya masih perlu diperbaiki. Pelayannya harus lebih ramah.,positive
"Kami suka tempat ini karena menu makanan Jepangnya yang berbeda dengan yang ada di tempat lain. Menu sushi disini tampaknya lebih otentik, penyajian menarik dan bahan-bahannya segar. Kualitas makanan yang prima jadi alasan kami untuk mengunjungi tempat ini. Selain hidangan enak, kami juga suka suasananya dan layanan yang kami terima.",positive
"Salmon, tuna, dll nya segar, kualitasnya sangat dijaga. Suasana restoran yg nyaman, didukung dengan fasilitas restroom yg sangat terjaga kebersihannya. Free WiFi and cepet pula.",positive
"Benar"" rasa masakan jepang asli cm harga agak mahal, rasa enak, Chicken katsu nya benar"" crispy tdk terlalu asin, sushi nya mantabsss gurih segar & bikin ketagihan, nasi ketannya harus dicoba walaupun isi nya 2 biji & hrg 26rb an . restorant bersih walaupun remang"", banyak dikunjungi org jepang & korea, pengalaman tak terlupakan",positive
"Banyak yang berkata bila ingin mencicipi hidangan Jepang seperti asli di negaranya, cobalah Midori. Kami mencoba Midori dan tanpa menunggu hingga 1 bulan, kami balik lagi ke tempat ini. Suasana restoran tenang, dan nyaman, pelayanan baik. Promo tanpa minimum order dan tanpa menggunakan kartu kredit sering diberikan, dan biasanya diganti per 3 bulan dari informasi yang diberikan pelayan Midori. Rasa. Lanjutan",positive
