content,polarity
"setiap kelembang makannya pasti disini dech.porsinya banyak,masakannya enak,cepat penyajiannya.menu favorite capcay,bistik,n puyunghai",positive
Saya sudah beberapa kali ke rumah makan ini baik untuk makan siang maupun makan malam. Rasanya hampir setiap kali saya ke Lembang saya selalu makan di rumah makan ini. Rumah makan ini terletak di ujung jalan Lembang (tusuk sate) dari arah Bandung. Restaurant ini tidak pernah sepi selalu ramai ketika weekend/long weekend. Seringkali kalau long weekend kita harus sabar antri. Lanjutan,positive
Sudah kenal resto ini sejak thn 1993. Rasa masih enak sama seperti dulu. Mandarin jadi salah satu icon yang tidak terpisahkan dari Lembang,positive
"Restorannya penuh terus. Tapi tenang, di bagian belakangnya (setelah dapur) biasanya selalu ada tempat. Jadi, jangan ciut dulu kalau liat tempatnya sangat penuh. Cah kangkung nya terbaik. Wajib coba. Pelayanan juga overall ok.",positive
"Enak, rasanya selalu bikin kangen. Makanan wajib jika Anda berkunjung ke Lembang. Hampir seluruh makanannya yang di goreng, sempurna rasanya. Mantap!!",positive
Saya sangat merekomendasi Mandarin restaurant ini bila sedang berada di Lembang. Kangkung Hot plate sapi.wowww!!! Pasti akan membuat lidah dan hidung anda menari nari. Kangkung yg segar dan terpilih plus daging sapi non lemak yg lembut.kombinasi yg sempurna. Menu lain yg layak dicoba adalah Udang gulung.jempol dua saya acungkan utk menu yang satu ini. You Must Try !!!,positive
"Terletak di pusat kota Lembang, sangat terkenal dengan masakan Chinese Foodnya sangat cocok bagi penyuka Chinese Food. Masakan yang khas adalah Cah Kangkung",positive
"Tempat makan yang berbeda dengan makanan yang biasa ditemui di daerah lembang. Setelah beberapa hari makan ala ""Sunda"", makan di tempat ini sangat menyegarkan. Apalagi di malam hari saat kabut mulai turun dan dingin mengelilingi lembang. Makan sup asparagus merupakan pilihan yang tepat. Porsi besar. Karena hanya 2 orang dewasa dan 2 orang anak kecil, Owner menyarankan pesan setengah porsi. Lanjutan",positive
"Makanannya enak-enak dan harga terjangkau, kurang 1 star karena terlalu banyak micin. Makanan yang harus dipesan: Kangkung hot plate, udang gulung, kodok goreng mentega.",positive
Chinese food restaurant yang enak di lembang dan porsinya besar. Paling favorit gurame kuah sayur asin mantap dan segar.,positive
Pelayan dan owner yang duduk di kasir tidak komunikatif dan tidak bisa memberikan rekomendasi untuk porsi menu yang harus kami pesan. Rasanya standar. Parkir susah.,positive
Saya dan keluarga sering berkunjung ke tempat ini khusus hanya untuk membeli nasi goreng favorit keluarga kami. Rasanya yang khas dan sulit untuk ditiru oleh rumah makan lainnya membuat kami ketagihan ke sana meskipun harus melewati jalan yang macet di hari Minggu,positive
"tentu tak lengkap bila ke lembang tanpa bersantap di mandarin lembang. chinese food. menu pilihan kangkung cha special (sapi) . biasanya saya pilih menu bistik sapi dan udang kipas serta sapo tahu. porsi nya besar dan untuk penutup, saya pesan es alpukat nya yang terkenal. cobalah juga sapi lada hitam nya. bila penuh, terkadang suka agak lambat, jadi sabarlah sedikit. Lanjutan",positive
Masakan chinese nya enak dan porsinya besar dan harga sedikit agak mahal. Lokasi cukup strategis dan satu satunya chinese food terenak dilembang,positive
"Masakan khas dari restaurant ini adalah Kangkung Hotplate-nya. Jangan lewatkan yang satu ini. salah satu strategi dari restaurant ini saya rasa cukup baik dengan membuka banyak cabang di dalam Mall, karena lebih mudah di akses, dibandingkan restaurant aslinya yang berada dekat stasiun kereta",positive
"Waktu liat menu ga ada harga udh curiga pasti mahal. Makanannya lumayan, service biasa. Harga selangit tapi restorannya biasa banget, ga sesuai. Banyak lalat lagi. Saya dan keluarga makan di restaurant2 yg jauh lbh nyaman di ciwalk, dago atau pvj aja ga semahal itu. G bakalan balik lagi ke mandarin restaurant. Sangat tidak disarankan makan di sini!",negative
"Makanannya enak sekali, porsinya tidak terlalu banyak, tapi harganya lumayan mahal. Tempatnya sudah agak tua (kecuali gerai2 di food court).",positive
