content,polarity
"rasa baso tahu dan batagornya lumyaan, dengan harga standar. kami pun mencoba mie yamin dan mie2 lainnya. ternyata rsanyapun tidak mengecewakan.",positive
"JIka sedang jalan-jalan atau berbelanja di IP pokoknya sempetin jajan di raja baso tahu saboga selain menyediakan baso tahu berbagai varian juga ada batagor khas bandung banget. Bumbu nya terasa pas di lidah dan ukuran batagor/baso nya juga cukup menghilangkan rasa lapar untuk satu porsi. Tapi jangan harap harga nya sama seperti baso tahu/batagor pinggir jalan ya , karena rasa. Lanjutan",positive
mahal. cuma kadang kalau lagi bingung mau makan apa di ip ya akhirnya ke sini juga sih. beli baso tahu buat nyemil,positive
"berada di mall istana plaza, baso tahu saboga terletak di tengah food court area lantai paling atas. yg favorit adalah baso malangnya. baso gepeng dengan batagor jamur.",positive
baso tahu dan siomay favorit kami sekeluarga.harga terjangkau dan rasa yang enak.khas Bandung.layak dicoba untuk para turis :),positive
"Pertama kali saya ke Bandung, saya langsung mencoba Saboga. Sangat suka rasanya, enak dan menyegarkan. Kali ini saya sempatkan kesini. Sebenarnya di Jakarta sudah ada Saboga, namun tetap lebih enak makan di Bandung. Harganya pun lebih murah dari yang di Jakarta.",positive
Baso Tahu merupakan salah satu makanan khas yang berasal dari kota Bandung dan salah satu yang terkenal adalah Raja Baso Tahu Saboga. Biasanya baso tahu yang saya beli adalah paket tahu baso isi 5 ditambah mie kuning atau bihun. Harganya agak mahal namun itu sebanding dengan porsi makanannya yang besar dan cita rasanya yang enak.,positive
"Sebagai penggemar baso tahu, kualitas terbaik bisa didapat di Saboga. Sedikit mahal tapi puas. Apalagi banyak pilihan menu lain selain baso tahu (batagor-nya juga enak).",positive
beragam menu baso tahu dan berbagai menu minuman yang beragam membuat raja baso tahu saboga saya rekomendasikan bumbu kacang yang manis dan pedas juga enak,positive
"Baru kemaren banget nyoba baso tahu ini. Kmren nyoba bareng mama. Mama pesen baso tahu set, klo ga salah harganya 28.000an 5 biji. Aku kmren pesen bihun baso karena emang lagi pengen baso. Nah, buat mama 5 biji udah kenyang banget krna baso tahunya gede2, jadi sisanya aku makan, dan rasanya enak banget bangettt. Bumbunya pas juga. Klo rasa dari. Lanjutan",positive
