content,polarity
"Warungnya oke, makanannya enak, lokasinya pinggir jalan. Kekurangannya adalah, lokasi tidak terjangkau transportasi umum.",positive
"Kalo buat nongkrong atau sekedar ngopi santai aja didaerah bandung warung salse harus dicoba, makanan nya lumayan murah dan cocok di lidah tempat nya juga bagus buat foto.",positive
"Tempat makannya enak banget, arsitektur bangunan juga unik. Pas banget buat foto"" hehe. Jika kita turun ke bawah ada halaman yang memang indah banget cocok deh buat siang-sore hari kalo malem gak kliatan hehe. Makanannya juga enak, harga nya si standar harga cafe lah pas dikantong. Untuk kesini lumayan butuh waktu dan tenaga, lokasi ada di dago kiri dan jalannya. Lanjutan",positive
"Penasaran dgn review orang, special cari waktu ke Warung Salse. Awalnya semangat. Menembus macet. demi lah. Tapi kecewa dgn jalannya. Selain jauh, kondisi jalan yg buruk membuat semangat mulai luntur. Phisik bangunan unik, ada music life. kapasitas ruangan terbatas kayaknya. Menu cukup unik dan kreatif. Tapi blm cukup berharga mengobati kecewa nya perjalanan. Sorry yaaaa. Kalaulah perjalanan ke Warung Salse. Lanjutan",positive
Untuk mencapai tempat ini butuh perjuangan. Macet dan jalannya sempit. Menu yang disajikan cukup beragam dengan harga standar.,positive
Tempatnya ok.pemandangan bagus.makanan enak khususnya nasi bakar kambing.parkir juga lumayan luas.ada musholanya. Recomended,positive
"tempat yg bagus, nyaman, rapi, dan juga good situation for reunion. disini comfortable untuk lunch or dinner.",positive
"warung salse ini berada di jalan dago giri, awalnya agak sulit untuk menemukan tempatnya, karena dari depan terlihat kecil. namun ternyata luas kebelakangnya. Menu nya masakan tradisional. sayang saat saya berkunjung makanan yang saya inginkan sedang tidak ada. Untuk harga standarnya resto.",positive
"Saya berkunjung bersama suami dan anak saya yg masih balita, makanannya enak, kebanyakan menu tradisional. Tempatnya asyik untuk santai2, bagi yg seneng foto2 disini spotnya juga bagus2 dan ternyata ada penginapannya juga. Kapan2 pengen juga coba nginep di penginapannya",positive
"Penyajian cukup cepat, rasa makanan enak, tapi porsi daging nya sedikit, sebanding dengan harga nya yang relatif murah. Tempat unik dengan atmosphere yang berbeda di tiap lantai.",positive
"Saya dan pasangan tgl 05 february 2016, makan siang di restaurant ini. saya memesan tahu pletok dan mie spagheti tektek yang sangat lezat, serta pasangan saya memesan nasi goreng mawut dan salse traditional. semua rasanya sangat mengundang selera , khas nusantara dan lezat dengan harga yang terjangkau. saya pasti datang ke tempat ini lagi",positive
"Banyak pilihan jenis makanan, mulai dari menu sarapan, makanan ringan, makanan berat sampai dessert dan jenis minumannya, makanannya khas indonesia tapi disajikan dan dikombinasikan seperti masakan western.",positive
Tidak begitu banyak pilihan menu yang disajikan di Warung Salsa dan hanya makanan khas indonesia saja yang ada. Awalnya binggung karena saya tidak begitu mengenal makanan khas indonesia. Nsaya dan beberapa temen saya memesan menu yang berbeda dan semua yang dihidangkan itu Enak. Recommended bgt buat para penyuka makanan khas indonesia.,positive
