content,polarity
"di restoran ini, saya dan keluarga makan malam yang terakhir di bandun. kami berjumlah 8 org dan bill nya hanya sekitar 400 an, benar2 murah meriah, sampai makan double2 lagi. makanannya juga enak, suasana kafe menarik, pelayanan sangat bagus. saya masih teringat petunjuk toilet yang ada di restoran ini ""Men to the left, because women are always right"" hahahaha",positive
"Sesuai dengan namanya, Restaurant ini seolah bercerita tentang Jalan Braga yang melegenda ini. Duduk dimanapun asik aja. Makanan Indonesia dan Sunda dengan porsi besar dan harga yang tidak mahal. Live music nya enak di dengar. Saya betah duduk berlama lama di resto ini.",positive
Ini malam sya berada disini. sya makan nasi ayam goreng ijo.sngt2 citerasa saya.sedap bangat. persekitran sngt2 mengasyikan.,positive
"Memiliki konsep restoran yang sesuai dengan namanya, dengan cara meceritakan perkembangan jalan braga di setip sudut temboknya. Restoran ini menyajikan menu-menu handalan khas bandung. Buat lidah saya, makananan disini sangat enak karena bumbunya yang pas dan orisinil.",positive
"Suasana sore menjelang malam cukup menyenangkan, ornamen resto yang berisi informasi mengenai sejarahnya Bandung dan keberadaan Braga membuat rasa ingin tahu yang besar. Rasa makanan cukup enak, harga juga masih masuk akal untuk ukuran kantong pelancong Jakarta. Perlu di coba milkshake ketan hitam, rasanya segar hanya sayangnya ketan/tape hitam nya keras, mungkin karena terlalu lama di freezer. Pemandangan di lantai. Lanjutan",positive
Restoran in bernama Braga Punya Cerita. That's the right name karena di setiap meja mereka meletakkan buku sejarah Jl. Braga yang juga dijadikan nomor meja. Jadi sambil menunggu pesanan tiba Anda akan mendapat wawasan tentang Jl. Braga. Suasana interiornya juga bertema tempo doeloe tapi sangat cozy. Anda akan betah berlama-lama duduk di sini sambil ngobrol dengan keluarga atau teman-teman. Bicara. Lanjutan,positive
restoran ini menjadi tempat pilihan saya berbuka puasa minggu lalu. pelayanan yang diberikan baik dengan pilhan menu yang banyak. yang saya suka adalah rasa ayam goreng nya yang khas.,positive
"Pertama kali tertarik sama neon-box nya di jalan.eye catching. Begitu mendekat, kedengeran suara live band nya yang lagi mainin lagu beatles.pas banget sama nuansa dekor kafenya yg vintage.akhirnya ga tahan untuk nyobain makanannya. Menunya banyak, dan enak2 kok.",positive
Tempatnya menyenangkan menurut saya Bersih dan nuansanya bagus. Kualitas makanan dan minumanya juga enak. Tempat asik buat habisin waktu di area braga.,positive
Saya kesini bersama adik saya karena penasaran dengan nama restorannya yang unik. Suasana restorannya klasik dan menampilkan Bandung zaman dulu. Makanan banyak pilihan dengan rasa yang cukup enak. Bisa jadi tempat rekomendasi untuk nongkrong bersama teman-teman.,positive
"kami makan di sini untuk makan siang bersama anak-anak. untuk rasa makanannya lumayan enak. anak-anak saya makan dengan lahap di sini. Pelayannya pun sangat ramah, padahal anak-anak saya termasuk yang kinestetik, nggak mau diam. Di restoran ini interiornya berisi lukisan-lukisan kondisi braga tempo dulu. Di lantai 2 terdapat roof top garden. Dan yang buat saya makin suka dengan restoran ini. Lanjutan",positive
"Jl Braga salah satu jalan yg cukup terkenal di kota Bandung. Ada banyak tempat nongkrong untuk makan, minum atau sekedar nongkrong bersama teman atau keluarga.Boleh di coba resto ini dengan nama cukup unik Braga punya cerita.Interior mengambil konsep tempo dulu.Menu cukup beragam dari makanan Indonesia maupun barat , rasanya biasa sj tp untuk minuman ok lah.Untuk harga masuk menengah.Sayang pelayanan. Lanjutan",positive
"Braga destinasi nongkrong hingga larut malam. jika berjalan disini dengan keluarga, ini adalah salah satu pilihan tempat makan yang tepat untuk keluarga. masakannya selalu dengan takaran yang pas, lezat dan layak dinikmati, seiring menikmati braga. kalau pingin sambil meniikmati braga maka pilihlah meja yang dekat jalan, walau hanya tersedia 3 meja. mencoba pisang goreng braga, nasi ayam goreng kremes, moctail. Lanjutan",positive
