content,adjectives,polarity
"Saya makan di sini dengan menggunakan voucher disdus . Paket nasi ayam kari , dengan diskon hingga 30 persen . Akibatnya para pengunjung mengantri untuk meredeem voucher . Cilakanya cek voucher masih dilakukan secara manual . Tidak ada masalah untuk makanannya , hanya saja antrian terlalu lama . Voucher sendiri sudah dibeli jadi mau tidak mau para pengunjung mengantri","[u'manual', u'antrian', u'lama', u'sendiri', u'jadi']",negative
"Dikarenakan adik saya suka dengan restoran ini , saya akhirnya mampir ke sini . Dari awal sih saya langsung tidak sreg sih . Makanan yang disediakan terlihat seperti yang tidak terlalu membangkitkan selera . Berbeda dengan restoran shabu yang biasa saya kunjungi . Dan setelah saya memilih dan mulai memasaknya , ternyata benar , rasanya pun tak masuk di lidah . Akhirnya banyak makanan yang tidak dimakan . Oiya, . Lanjutan","[u'awal', u'langsung', u'sreg', u'Berbeda', u'biasa', u'benar', u'banyak']",negative
"Biasa-iasa saja g ada yang special , ayam gorengnya terlalu berminyak , makanan semua dingin cuma nasi nya yang panas , Harganya normal .","[u'Biasa', u'special', u'dingin', u'panas', u'normal']",negative
"Beberapa kali saya coba makan malam disini . Pelayanannya sangat buruk , kurang responsif kepada pengunjung . Terakhir saya datang , saya haru mendatangi kasir untuk meminta menu . Terakhir saya coba makan pempek disini , tidak seperti dari asalnya , rasanya kurang enak dan tidak disediakan sambal . Sangat tidak memuaskan","[u'coba', u'buruk', u'responsif', u'Terakhir', u'Terakhir', u'coba']",negative
"Banyak pilihan makanan yang ada disini . Tempatnya pun bersih . Sangat disayangkan pelayanannya kurang baik . Pesan tahu gejrot saja lama sekali , ternyata pelayannya lupa .","[u'Banyak', u'bersih', u'baik', u'lama']",negative
"The Kiosk Braga salah satu alternatif tempat makan siang bagi saya dan rekan kerja saya , sebelum direnovasi menjadi konsep the lost ( sensasi makan di dalam gua) , the kiosk cukup recommended , namun akhir akhir ini , pelayanannya sangat buruk , sering lama , bahkan bisa hampir satu jam , pesan makanan jam 12.05 , datangnya 12.55 , untuk harga sich standarlah , tidak bisa dibilang murah juga karena . Lanjutan","[u'salah', u'cukup', u'recommended', u'akhir', u'akhir', u'buruk', u'sering', u'lama', u'murah']",negative
"Berbekal referensi dari internet , kami penggemar steak ingin mencari alternatif tempat yang belum kami datangi , salah satunya abuba.Kami pesan Tenderlorin dan T bone dengan pembakaran cukup matang.Sesudah menunggu lama , karena resto sedang penuh di akhir pekan.Pesanan kami jauh dari yang kami bayangkan , Steak yang gosong dan keras , dan satu lagi steak masih merah cenderung mentah , dengan penyajian asal-asal an , steaknya . Lanjutan","[u'salah', u'cukup', u'lama', u'penuh', u'akhir', u'jauh', u'keras', u'cenderung', u'mentah']",negative
"Saya adalah penggemar steak namun ketika saya makan di abuba , ternyata rasanya jauh dari yang pernah dibayangkan bahkan sauce - nya sangat tidak enak seperti sauce ABC biasa ( katanya barbeque ) kemudian tidak ada lagi pilihan sauce yang lain.!! ! Tak mau lagi kesini","[u'jauh', u'nya', u'biasa', u'lain.!']",negative
"Yang ada cuma kebun selada ajah , sudah diganti selada . Pas datang lumayan sepi . Masih lebih baik di rumah stroberi kalau now watching ketik stroberi .","[u'lumayan', u'baik']",negative
"Bersama keluarga serta anak singgah disini untuk berlibur & memetik strawberry , ternyata tidak sesuai harapan , buah idaman anak - anak ternyata tidak ada yang masak setelah kami menebus tiket dengan harga yang cukup mahal . Kecewa dan merasa tertipu , padahal kasir mengatakan buah strawberry ada dibagian atas , lelah mendaki dan hasilnya nol , hanya mendapat lelah . Jika kalian kesini lihat dari samping pintu masuk, . Lanjutan","[u'cukup', u'lelah', u'lelah']",negative
