content,polarity
Kalau makan disini harus coba makan Malon gorengnya . Enak banget . Gurih dan sambalnya itu loh bikin nagih saking nikmatnya . Masakan Sunda adalah favorit saya dan RM Ciganea ini salah satu favorit saya jika perjalanan ke Bandung .,positive
Baso adalah makanan fav saya . Pas tahu ada baso ini saya meluncur dan kepincut sama ' Black Yamin yang misterius' . Mie nya hitam . Teksturnya lebih kenyal dari mie biasa . Baso nya enak . Harga standar . Tempatnya nyaman,positive
"Saya pesan yamien manis dan bakso . Rasanya lumayan enak , karena saya suka manis maka cocok dilidah . Untuk rasa baksonya sih sebenernya enak tapi sayang agak lembek begitu , mungkin sudah terlalu lama direbus sebelum saya pesan kali iya . Hehehee",positive
"The atmosphere bring me to the comfy eatperience ( eat experience) , the menu has lot of selection , the taste was memorable and the place was comfortable Atmosfer pengalaman makan yang tak terlupakan saya jumpai saat tiba di kafe ini , banyaknya pilihan menu , rasa nikmat yang sulit dilupakan serta tempat yang nyaman membuat pengunjung betah berada disini dalam waktu yang lama",positive
Kalau ke Bandung boleh harus mampir ke sini . Menu sunda komplit . Enaklah pokoknyamah . Ada paket-paket buat beberapa orang kalau malas atau bingung pilih-pilih menu . Harga sangat bersahabat . Recommended !,positive
"Kami suka mengunjungi resto ini karena bubur - nya , porsinya pas dan enak . Cocok juga bila dihidangkan dengan menu dimsum yang ada di Ta Wan .",positive
"Harga sesuai rasa , saat itu saya pesen yang toping oreo . Enak banget , disini juga di sediain mainan juga hihi . Buat kesini tidak susah kok ada di dipatiukur dekat unikom . Banyak pilihan menunya , ayo kesinii",positive
"Suasananya cozy , romantic and alam banget pokoknya . The taste of food is so delicious dan cara menghidangkannya menggunakan piranti makan yang unik - unik . Udaranya sejuk dan bersih serta ada air terjun yang suaranya membuat hati tenang . Pelayannya ramah . Semuanya oke disini dan cocok banget buat kumpul keluarga or dengan pasangan anda . Kampung Daun oke deh !",positive
"Saat mengunjungi bandung , yang ada di dalam benak saya adalah wisata kuliner dan belanja . Akan tetapi dikarenakan terbatasnya waktu karena padatnya kegiatan , sehingga saya belum puas menikmati kuliner ataupun wisata di bandung . Di sela waktu luang saya dan teman - teman mencoba mengunjungi paris van java yang menjadi salah satu ikon di kota bandung , daripada berdiam diri di hotel kan suntuk . Rasa . Lanjutan",positive
"Saat paling tepat berkunjung ke Cuanki Serayu adalah jam <number> - 1-1 wib , belum terlalu penuh sehingga terlayani dengan baik . Semua menu enak terutama yang berkuah . Untuk take away juga dipisahkan counternya sehingga tidak menganggu yang makan ditempat . Minuman dan jus buah juga tersedia cukup lengkap . Tempatnya memang padat sehingga panasnya sangat terasa ( non AC ) tetapi waktu tunggu tidak terlalu lama karena . Lanjutan",positive
"View di restoran ini bagus . Makanannya pun enak - enak , Saya memilih saung agak dibawah ( rupanya kita masuk dari atas lalu menuruni beberapa anak tangga) . Sebenarnya tempat ini lebih cocok untuk mereka yang berpasangan atau dengan teman - teman . Saya bawa anak - anak yang masih balita cukup waswas karena selain banyak anak tangga , juga di sisi anak tangga tidak ada pengaman atau pegangan . Takut anak - anak . Lanjutan",positive
"Kesulitan mencari tempatnya karena ternyata telah berganti nama menjadi Eat Boss . Tempatnya cantik dan nyaman , tersedia area indoor dan outdoor . Mengusung banyak menu yang berporsi Boss . Kami berdua memesan <number> sandwich panjang yang sebenarnya cukup untuk <number> - <number> orang . Soal rasa tidak ada yang istimewa . Yang lain yang kami pesan adalah Ice Lemon Tea dan Ice Lychee Tea tentu dengan porsi . Lanjutan",positive
"Kalau berkunjung ke Nannys pasti pesan Blueberry Pancake , menu lain yang juga enak adalah Alvin's Heavy Potato . Dan minuman favorite kita adalah Blueberry Lemonade .",positive
"Hallo kali ini saya akan mencoba makan siang di Po Ka Tiam , saya memesan berbagai macam Dim Sum , Nasi campur , Mie Ayam , dan Bakso . Tidak ketinggalan minuman wajib China Tea . Makanannya sangat enak dan lezat . Tempatnya nyaman , No Smoking area . Saya sangat merasa puas sekali makan disini . Terima kasih .",positive
Saya disini bersama suami dan keluarga teman . Skalian reuni kecil-kecilan . Slama disini kami mendapatkan pelayanan yang baik . Menu juga cepat _URL_ juga enak . Hanya pada saat itu memang sedang weekend jadi penuh banget,positive
Restoran Thai ini hidangannya enak dan harganya relatif murah dibandingkan restoran Thai lainnya . Sayangnya tempat parkir agak sulit dan interior restoran tidak terlalu luas . Untungnya restoran ini menyediakan jasa delivery sehingga bisa dinikmati dengan santai di rumah .,positive
"saya mencoba rice dengan chicken katsu . Porsinya tidak terlalu besar . Isinya adalah nasi dengan potongan chicken katsu , sayur dan orak arik telur . nasinya cukup pulen . chicken katsu cukup gurih dan pas dimakan dengan nasi putih . secara keseluruhan lumayan enak dan pas untuk lunch",positive
"Setiap menu Sop Buntut mungkin rata - rata memang lezat . Tidak terkecuali dengan menu sop buntut khas dapur Dahapati . Gak ada ruginya makan disini , Sop buntutnya empuk dan terasa rempahnya serta harganya terjangkau . Memangsih parkirnya terbatas , kadang harus menunggu ada mobil yang keluar he . Recommended lah",positive
dusun bambu adalah tempat wisata di bandung terhitung sangat baru . wisata alam serta adanya private restoran yang unik membuat mata kita merasakan keindahan yang alami . hana denagn 15.000 rupiah anda bisa berkeliling mengelilingi keindahan dusun bambu . tetapi harga makanan serta fasilitas yang mahal membuat wisatawan tertentulah yang hanya bisa merasakan keindahannya .,positive
"Restaurant ini terletak di pinggir jalan,sebrang Hotel Hilton.Tempatnya kecil dan sederhana,tapi makanannya sangat enak.Terutama Kangkung Hotplate,Pu Yung Hai,dan Udang Nan King.Harga makanannya tidak terlalu mahal .",positive
"Pertama mengunjungi cafe ini langsung tertarik dengan design interiornya,lucu,serba putih . Cafe ini cocok banget buat yang ingin kumpul-kumpul bareng teman - teman . Apalagi yang suka selfie . Bagus untuk berfoto-berfoto ria . Makanan yang ditawarkanpun sesuai selera ( western food ) dan tidak terlalu mahal .",positive
Saat anda berkunjung ke Kota Bandung dan tengah malam bingung untuk memilih tempat makan dan kumpul-kumpul yang santai dapat mengunjungi Warung Ceu Mar ini . Jangan lupa mencicipi Kikil Setannya yang Joss .,positive
"Menu yang ditawarkan bermacam - macam , _URL_ dengan sambal yang beragam juga . Yang paling saya suka adalah sambal mangganya , rasanya itu asam pedas dan seger banget . Lokasi yang strategis , tempat parkir yang luas dan area makannya pun besar .",positive
"Ayam goreng dan pepes yang enak , serta sambal hejo yang legendaris , rasanya asam asam dan tidak terlalu pedas . Jangan datang terlalu malam karena Anda bisa saja kehabisan",positive
"Makan disini mah enaknya rame-rame , kalau berdua porsi nya banyak bangett , tidak kuat . kalau rame-rame cukup banget porsi nya , makanan nya juga enak-enak , sop ikan nya juara . sllrrp",positive
"Dari kecil suka makan ayam jogja , kalau beli pasti dibungkus dan makan di rumah sama keluarga . Rasa ayamnya dari dulu tidak berubah , dan itu yang membuat saya suka . Ayam nya itu ayam kampung , dan biasanya saya beli yang <number> ekor . Sambal nya juga cocok dimakan dengan ayam .",positive
Surabi Enhaii merupakan tempat makan surabi terkenal di Bandung . Menu surabinya bervariasi dari yang orginal hingga diberi toping macam - macam . Bisa pilih mau topping manis atau asin/pedas . Saran saya sebaiknya coba surabi oncom jika kuat dengan bumbu yang pedas . Tempat ini tampaknya selalu penuh . Pelayanannya agak lama baik dalam soal membersihkan meja maupun ketika memesan makanan . Sebaiknya siap - siap saja sabar menunggu .,positive
"rumah makan ini sangat terkenal di kalangan pelajar dan mahasiswa mungkin jkarena harganya yang sangat terjangkau untuk semua kalangan , makannya sangat enak . terutama nasi bakmoynya dan rujaknya sangat enak , namun sayangnya tempatnya masuk ke dalam gang sehingga agak susah mencari lokasinya",positive
"Salah satu tempat favorit saya untuk menghabiskan akhir pekan , bisa dengan bengong - bengong , baca buku , browsing , mengerjakan pekerjaan , hingga cemal - cemil bersama teman . Harganya sangat bersahabat , apalagi untuk para pelajar . Nah mereka juga punya diskon khusus untuk pelajar dan ada juga beragam penawaran menarik lainnya . Lokasi cukup strategis meski agak susah ( langka ) kalau menggunakan kendaraan umum . Makanan/cemilan kesukaan saya adalah french toast . Lanjutan",positive
"Berada di lokasi strategis jl Merdeka , berseberangan agak ke samping Bandung Indah Plaza , tapat sebelah kanan jalan sebelum traffic light , parkir mobil cukup luas . Saus bumbu dan lain-lain disediakan cukup lengkap di lantai _URL_ lantai atas suasana agak sepi . Bakso cukup enak dan terjangkau harganya tetapi kuah relatif kurang dan porsi tidak terlalu besar",positive
Makanannya top markotoop . uenaak dan sesuai dengan harganya . tempatnya juga nyaman dan ac nya dingin banget .,positive
"Suasana nya cukup nyaman , rasa makanan sih standard , cuma cukup lengkap , karena KiosK merupakan tempat berkumpulnya beragam restoran di Kota Bandung , hanya jumlahnya terbatas . Nasi liwet Jambal Roti nya enak ! Harganya sudah cukup mahal sih sekarang , cuma masih terjangkau oleh kantong mahasiswa . Variasi makanan Indonesia yang beragam tersedia disini .",positive
"bagi para perantau terutama yang berasal dari Jogja dan sekitarnya dan berdomisili di Bandung , tempat ini memberikan suasana yang "" JOGJA"" . dari pelayanan dan tutur bahasa , kita serasa bukan sedang berada di Bandung . memang tempat ini ramai sehingga kita harus selalu mengasah kesabaran , dan itu bisa saya maklumi . untuk menu yang disajikan , memang cita rasa "" JOGJA "" tidak sekental yang kita rasakan . Lanjutan",positive
Ayam bakar taliwang di jl . Citarum : enak sekali ayam bakar nya . Dan pedas yang utama nya . Nasi pun akan banyak tambah nya .,positive
Ngantri - nya panjang . Makanan sebenarnya biasa saja . Nothing special . Lebih enak jalan sedikit ke Mie Rica Kejaksaan dekat Braga .,positive
"Tempatnya selalu ramai pengunjung , dan makanannya sunda yang enak dan pelayannya sangat memuaskan sekali , sangat cocok untuk berkumpul bersama keluarga menikmati makanan khas bandung",positive
""" .pokoknya kurang kurang afdol kalau ke Lembang atw ke Bandung ngg mampir ke sini.4 thumbs up buat kampung daun. """,positive
batagor kingsley sangat pas untuk oleh oleh dari _URL_ _URL_ ikannya segar dan pas .,positive
"Bakmi Aloi merupakan Bakmi non - halal yang tergolong baru buka di kota Bandung . Walaupun begitu , Bakmi Aloi selalu ramai oleh pengunjung terutama pada saat akhir pekan . Menu favorit saya adalah Bakmi babi cincang jamur dan ditambah dengan pangsit rebus , rasa mienya enak dan gurih . Menu lain yang harus dicoba adalah Nasi Tim ayam kampung .",positive
"Banyak menu sarapan dsini , pelayanya sangat ramah dan jam bukanya sampai jam <number> pagi . terdapaat juga nasi goreng dan lauk pauk laainnya dsini",positive
"tak pernah absen ke sini apabila saya ke bandung . hanya sambalnya yang ngangenin . pelanyanannya cepat , ramah , dan helpfull . tempatnya cozy terutama yang di pendopo-pendoponya . resto ini full jika jaman liburan",positive
"Saya terkesan dengan menu yang ditawarkan oleh Le Marly yang "" eropa banget"" . Rasanya enak dan memuaskan lidah , bahkan daging steak lokal disini pun sama empuknya dengan daging steak impor .",positive
"enak dan murah walau jalan ke dalamnya lumayan . temapatnya sempit dan panas , tapi iya itulah seninya makan bakso di bandung . he",positive
Sederhana saja . Batagornya enak bungkus buat oleh oleh keluarga di rumah . Pasti akan datang kembali bersama sama dengan keluarga . Padahal tadinya dikirain tidak enak dan sempat ragu ragu . Udah makan tidak ragu lagi,positive
"Menikmati pemandangan kota Bandung malam hari dengan kelap kelip lampu dari kejauhan . Puncaknya Bandung ini mah.Makanannya juga lezat dengan harga yang terjangkau . Membeli _URL_ yang The Valley tawarkan , kami hanya makan malam disana sambil bercengkerama dengan teman - teman dari Jakarta .",positive
"Kedai yang menjual berbagai macam snack jepang seperi takoyaki , okonomiyaki , lalu ada berbagai pilihan ramen yang tidak kalah enak . Yang terkenal juga pilihan dessertnya yang menyegarkan ! Makanan favorit saya dari dulu , apalagi sekarang kedai yang di sukajadi sudah besar dan luas sehingga sangat nyaman",positive
"Ini enak , itu enak , yang ono mantap , yang situ wenak , apalagi ? Ya balik balik lagi nyobain ini itu , rekomended lah . Mau apa saja ada , tradisional , asian , western , macam dari cendol sampai iga bakar dan sop buntuts",positive
"Cocok untuk pecinta daging . Yang menarik adalah menu monster yang ditawarkan di sini . Hanya saja stoknya terbatas , bila datang malam hari sulit untuk mendapatkan menu monster . Harganya pun affordable , monster steak seberat ikg steak bisa didapatkan dengan sekitar rooribu saja . Sayangnya kemarin saat saya memesan t bone , dagingnya sangat alot padahal rasa bumbunya enak .",positive
"Dulu pernah berjaya , sekarang pilihan hidangannya cukup terbatas . Menu masakah Sunda dengan gaya prasmanan : pilih , duduk , makan . Rasa cukup OK , tempat luas .",positive
"Makanan utama disini adalah Br , tapi saya recommend buat makan di sini , mungkin terbaik di Bandung bagi non muslim .",positive
"Saya suka sekali atmosfer Kampung Daun . Suasana hening ditimpali suara gemericik air terjun dan penerangan romantis dengan blencong dan lilin . Meskipun jauh dari Bandung tapi seimbanglah dengan suasana yang diinginkan . Makanannya enak , standar makanan Sunda lah . Saya suka wedang ronde nya . Malam - malam dingin bercengkerama sama keluarga ditemani wedang ronde dan pisang goreng . Ada penampilan musik pada jam tertentu . Tapi carilah . Lanjutan",positive
"positifnya ; lebih lamak makannyo , dan halal negatif ; hati - hati barang bawaan jangan sampai tertingga .",positive
"Datang ke sini tidak direncanakan , pas lewat warung taro ini selalu ramai . Pas kebetulan lewat dan ada parkiran , mampir deh . Makanannya enak terutama tempe mendoan dan pisang gorengnya . Utk makan siang menu nasi kuning juga enak .",positive
"Rasa cukup lumayan dibanding dengan bubur disekitar , namun untuk harga sekelas semangkok bubur relatif agak mahal . tempat lumayan agak bersih dan pembeli cukup banyak mengantri",positive
"Restoran ini menawarkan menu sarapan yang memuaskan . Selain karena pilihannya yang banyak , rasa makanannya juga enak . Saya dengan chefnya baru sehingga membuat influence yang baru juga untuk resto ini , bahkan saat ini mereka menambah corner baru yaitu mexican food . Sempat icip guacamolenya dan enak :) Cakesnya juga tidak kalah menarik , dari black forest in a jar , opera cake , cheese cake . Lanjutan",positive
"Pertama masuk cafe kita disajikan ruangan unik yang berhias barang - barang antik tradisional . saya dan teman memesan sate dan jamur madu yang rasanya tak terlupakan . sangat lezat dan gurih , harganya pun tidak terlalu mahal",positive
