content,polarity
"Penyediaan Cable Extension mantap (rasanya tidak ada cafe lain yang menyediakan). Suasana mendukung untuk bekerja, baik kelompok maupun sendiri. Tempatnya juga cukup nyaman untuk bertemu dengan klien. (thumbs up)",positive
"Tempatnya nyaman cocok untuk berlama-lama untuk sekedar nongkrong, bercengkrama atau belajar, makan minumnya enak, tersedia wifi cepat, lokasi strategis hanya saja lahan parkir mobil terbatas. Cool",positive
"Sore ini gue abis keliling Bandung buat ngurusin banyak hal. Setelah seharian macet-macetan, gue mau santai bareng temen2 sambil minum kopi. Finally, kami memutuskan untuk ke Monsoon, tempat yang sangat tepat untuk bersantai bersama teman2 sambil menikmati kopi yang nikmat. Ok banget lah pokoknya.",positive
"Cozy place, wifi lumayan, harga juga ga terlalu mahal. daripada capek di bandung yang macet mending ngopi dulu disini.",positive
"Tempatnya asik banget nih. Diiringi musik jazz, minum kopi, makan bagel enak dan liat lalu lintas bandung yang padat. Bisa buat tempat meeting, chit chat bareng temen or me time nih.",positive
"Tempatnya nyaman banget. Buat ngobrol dan santai. Konsep cafenya unik banget, ala ala industrial yang lagi hitz. Makanannya enak dan harga bersahabat banget.",positive
"Tempat makan yang makanannya enak dan suasananya tenang. Bisa ngobrol dengan teman teman sebelum pulang ke rumah, untuk istirahat. Monsoon tempat yang recomended untuk ngopi, makan dan rileks.",positive
"Lokasi strategis.gampang dicari. Cafe multifungsi : bisa dipake rileks,kerja, meeting point. Interior cozy. Working station concept.buat rilkes juga tersedia sofa.bisa dipake buat cari ide, tempat kecil tapi ngga dempetan /sumpek.bsa buat kerja kelompok/meeting Available for breakfast Menu : komplet heavy n light tersedia lebih ke western food, Coffee: based on arabica west java, tersedia manual brew dan expresso based Recomended. Lanjutan",positive
"tempat ngopi ini agak tersembunyi, letaknya sebelah junction 8 jl cemara. tapi ini menjadi salah satu tempat favorit karena tempatnya tidak terlalu ramai sehingga akan merasa nyaman. untuk harganya masuk dikantong.",positive
"Menu andalan yang saya pesan adalah ""Bagel Beef Brisket"" yang menjadi salah satu menu favorit. Daging sapi sangat lembut dan bagelnya sangat crunchy. Menemani menu makan malam saya, segelas cokelat panas sangat tepat rasanya. Tempatnya nyaman untuk sambil bekerja atau hanya sekedar kumpul bersama komunitas atau bersama pasangan.",positive
