content,polarity
"Tempat makan yang sangat lengkap, anda bisa memilih berjenis makanan, minuman, snack dengan harga yang bervariasi. Lokasi mudah dijangkau, tempat parkir luas, selain itu banyak terdapat resto/ cafe di luar foodcourt tapi masih di dalam kompleks hypersquare",positive
Paskal Food Market ini salah 1 food court besar berkonsep terbuka.makanan yg dijual beraneka ragam dr Iga Bakar Pak Jangkung sampai Sate Hadori ada di sini. Menikmati malam diiringi musik.tak heran tempat ini selalu ramai. Yang kurang hanya kita harus membawa uang cash di sini karena tidak menerima debit/kredit.,positive
Pilihan makanan sangat bervariasi jd gausah khawatir kl pergi sama temen tp lagi pengen makan yg beda krn lengkap dari yg tradisonal sampe makanan jepang pun ada. Juara pilihannya!,positive
"Banyak makanan, menu nya banyak sekali. Tempat nya asiik untuk pemandangan dan jangan hujan saja krn banyak sekali tempat terbuka.",positive
"Sesuai namanya Paskal Food Market, pusat kuliner ini terletak di daerah Pasir Kaliki, di sebelah dalam Hyper Square. Lahan sangat luas, dapat menampung banyak pengunjung. Meja dan kursi tertata rapi, ada air mancur , ada saung dan banyak lampion. Pilihan makanan cukup banyak dan harga terjangkau. Ada gado-gado, mie tek tek, mie kocok, pasta, soto sulung, nasi campur, otak-otak dan. Lanjutan",positive
Tempatnya di ujung hyper square. Rame dan banyak makanan. Saking banyaknya bingung mo pilih yang mana. Makanan sih ya biasa aja. Ngak ketemu yang enak. Tempatnya enak buat tongkrongan malem malem.,positive
Salah satu foodcourt terbesar di bandung. Lokasi di dekat hotel hilton. Nyaman untuk bersantai dengan keluarga. Makanan sangat bervariasi dan harga terjangkau. Recommended place.,positive
Harga makanan di sini menurut saya di atas rata-rata. Ada lokasi outdoor maupun indoornya. Saat itu saya membeli burung puyuh goreng yang berada di deretan kios. Saya menghabiskan kurang dari Rp 30.000. Menurut saya rasanya enak dan menyediakan berbagai pilihan menu burung puyuh.,positive
"Lokasinya ada di dalam paskal hyper square di jln pasir kaliki. tempatnya luasss dan ruameee. segala macem masakan ada di sini. jadi gak perlu takut kamu gak cocok . oia lokasinya semi outdoor gitu, jadi kalo ujan pun kamu masih bisa makan di sini.",positive
"Kemarin saya berkesempatan berkunjung ke kota Bandung untuk liburan, dan saya mencari lokasi kuliner yang memiliki banyak menu. akhirnya saya berkunjung ke Paskal Food Market, woow 1 kata buat tempat ini ""KEREN"" di Paskal Food Market ini banyak bgt menu makanan yg disediakan tinggal pilih deh mau makan apa. suasana serta penataan yg bagus membuat betah berlama-lama di tempat ini.",positive
Jika anda ke Bandung anda harus menyempatkan untuk bersantai dan makan di tempat ini. Disini banyak penjual yang menjajakan berbagai jenis makanan. Makanan apapun yang anda cari pasti ada disini. Di bagian depan food market ini terdapat air mancur dan taman yang asyik untuk bersantai dan makan sambil menikmati sejuknya kota Bandung. Tempat ini hanya buka di malam hari. Jenis. Lanjutan,positive
"Jangan datang pas libur nasional,karena bakal susah duduk dan menikmati makanan dengan nyaman. Menu ada 1001 jadi gak bakal kehabisan akal mencari makanan.",positive
Pertama kesana sempat nyasar karena mengikuti arah GPS di maps.pas nyampe ternyata ada didalam sebuah komplek square.rame dan aneka macam makanan.harga cukup lumayan mahal menurut saya sih namun tempatnya enak.yag suka kuliner silahkan datang yaa,positive
"Untuk tempat sih lumayan nyaman, makanan yg tersedia juga banyak macamnya, lokasinya pun gampang dicari soalnya terletak dibagian komplek mall, tempat parkir luas tp diluar jadi kalo hujan agak repot sih keluat dari parkir ke tempat makannya pasti ribet. Untuk pembayaran kan memakai nota dan bayar dikasir, kadang-kadang antri dikasirnya ga nyantai. Dan makanan yg dipesan juga nyampe ke meja. Lanjutan",positive
"Banyak pilihan makanan, mulai dari makanan indonesia, jajanan indonesia, hingga makanan barat. Menariknya saya menemukan makanan kue bola obi disini, kue bola terbuat dari ubi dibentuk seperti bola macam tahu bulet. Yang kurang adalah parkir semrawut dan berlubang. Saat berkunjung kesini pas hujan jadi ya kubangan air semua diparkiran",positive
"Berlibur pada saat lebaran membuat kami kesusahan mencari hotel, pada akhirnya kami menginap di hyper inn paskal, dan pada saat malam hari kami berjalan kaki dari hotel untuk mencari makan di Paskal Food Market, tempatnya sangat ramai dan banyak pilihan makanan yang dilengkapi dengan live music",positive
"Ini adalah kali kedua saya makan di Paskal Food Market. Tempatnya enak, setting place nya juga bagus, pilihan makanan banyak, mulai dari cemilan hingga makan berat. harga nya juga ramah di kantong, di tambah sekarang ada tempat ngopi enak kaya general.co dan wide coffee. jadi betah mampir ke sini lagi.",positive
"Dekat dengan hotel sy menginap,hanya ditempuh jalan kaki,disini banyak sekali pilihan makanan nya,tempat yang luas, dan menyenangkan",positive
"Hallo kali ini saya mengunjungi food market Paskal, tempatnya menarik karena outdoor, pastikan tidak saat hujan mengunjungi tempat ini, dan bawa jaket karena udara kota bandung dingin. Untuk makanannya disini banyak sekali ragam dan macam makanan dan minuman, tinggal memilih, banyak sekali. Saya sih lebih suka untuk makan cemilan cemilan kecil disini, berkumpul bersama teman-teman.",positive
"Yaah, memang lumayan enak buat ngadem di malam hari dan di tengah kota ~ banyak pilihan makanannya pula.",positive
"Berbagai jenis masakan indonesia ada disini, harganya pun relatif terjangkau dan rasanya enak. Masakan favorit iga bakar Jangkung. Cocok untuk bersantap malam hari diterangi lampu dan suasana outdoor",positive
"Malem2 laper?? Tenanggg ada Paskal Food Market yg msih bukaaa hahahah . Di sini makanan yg di jual bnyak bnget menu nyaaa dri asian,western,chinesse food sgla ad dee , makanan2 ringan ny juga adaaa. Lengkap dee ! Hahaha. Buat yg mau nongkrong doang juga enak nie di sinii sambil denger alunan musik dan angin semeliwir ademmm",positive
"Penasaran ke sini karena tiap lewatin tol selalu liat iklannya dijalan. Pas ke sana ternyata tempatnya cenderung biasa aja. Ke sana pas malem2 plus ujan juga jadi agak becek. Pilihan makanannya memang banyak tapi malah bikin bingung mau yang mana. Haha. Harganya standarlah ga kemahalan ga murah juga. Mirip foodcourt tempatnya. Well, not recommended tapi boleh aja kalau mau coba.",positive
"suasana yang sangat menyenangkan, pilihan menu makanan, minuman, cemilan yang bermacam-macam. sangat menyenangkan juga untuk membawa anak-anak.",positive
"Menginap ga jauh dari tempat ini. Malam sabtu di masa liburan panjang cari tempat duduk ""kudu"" sabar. Untuk harga variatif. Karena acara keluarga, jadi seru"" aja main kesini.",positive
"Waktu ke Bandung, saya mendapat saran dari rekan untuk mampir di Paskal Food Market. Ternyata tempatnya oke banget dan jadi tempat nongkrong anak muda Bandung, gak cuma anak muda tapi yang tua pun makan disini, selain banyak tempat makan pilihan, apalagi makan nya di outdoor dengan udara Bandung yang sejuk di malam hari bikin semriwing banget. Mantap Pisan Euy .!!!",positive
"Berharap mendapatkan kuliner jawa barat yang enak.ini bukanlah tempatnya.! Secara konsep, tempat ini sangat bagus, walaupun aksesnya agak ribet sedikit. Dari tampilan dan aktivitas setiap gerai sudah tampak bahwa ini bukanlah gerai kuliner yang sedap.! Jika kita terbiasa menikmati kuliner, insting kita pasti tahu bahwa di tempat ini hanya tersedi kuliner hore-hore alakadarnya dengan mengandalkan MSG sebagai penyedap.! Setelah berkeliling. Lanjutan",negative
"Paskal food market di jl.pasirkaliki bandung.saya sekali-kali mampir disana. Yg satu tuju hanya sate maulana yusuf. Sate kambing. Sapi dan ayam enak. Hanya dapur kotor dan meja makan dan kursi juga kurang rapih. Jika lagi ramai . Meja2 tak terurus. Pada kotor . Pelayanan biasa2. Tak ada yang special .,",negative
semua makanan ada disini namun jangan sekali-sekali kesini saat malam minggu. saya pergi kesana malam minggu dan sangat ramai hingga akhirnya harus menunggu giliran untuk dapat tempat duduk.,positive
"Penasaran dengan tagline ""1001 menu"" yang diusung oleh Paskal Food Market, maka hari Senin 30 Mei 2016 lalu, sekitar pk. 16.00 kami bertiga ke sana untuk ""makan siang"" yang sudah terlambat setelah bermacet ria di jalanan:-) Karena saya penggemar masakan berbahan baku kodok, maka ketika mata membaca ""Swike Asli Jtw"", tak memerlukan waktu lama buat mengambil keputusan, hahaha. Tempat yang. Lanjutan",positive
"Banyak makanan dan minuman yang di sajikan di sini,dr western sampai asian food.Suasana nya bagus pada malam hari karena ada lampu"" yang menghiasi",positive
"Ketika kita bingung ingin menentukan lokasi tempat makan yang enak, maka ini jawaban paling benar untuk itu. one stop solution untuk kamu yang pemilih terhadap makanan. karena disini semua makanan enak di Bandung dikumpulkan. saya cari referensi lokasi makan enak, dan hampir semua list itu ada disini. selain makanan yang lengkap, lokasinya pun cukup strategis dari Bandara dan Stasiun Bandung. Lanjutan",positive
Buat pecinta kuliner tempat ini direkomendasikan.banyak banget pilihan makanan yg tersedia dan disini makanan disetiap restonya akan selalu tersedia selama jam buka.,positive
"Nggak banyak tempat makan yang enak dan nyaman di dekat Stasiun Bandung, tapi salah satu yang bisa dicoba adalah Paskal Food Market. Tinggal naik angkot St.Hall - Sarijadi / Cisitu - Tegalega sebentar, lalu turun di depan Paskal Hyper Square. Masuk ke dalam Paskal Hyper Square lurus terus, agak jauh, nanti ketemu. Paskal Food Market ditata dengan konsep one stop. Lanjutan",positive
"kalo buat nongkrong sama temen- temen sih pewe banget tempatnya, suasananya outdoot bikin lupa waktu tapi sayang makanannya cuma sedikit kurang ada makanan yg menarik, ya sama aja akayak ditempat tempat lain.",positive
"Tempatnya enak, luas, outdoor! Pilihan menu variatif, harga terjangkau! Well recommended! Best food: lumpia basah, sate susu, bolu bakar!! Enakkkk",positive
"Foodcourt outdoor yang luas menyajikan segala makanan dari tradisional hingga yang termodern, dari harga yang murah meriah hingga yang mahal. Penataan dekorasi yang apik akan membuat betah. Sayang pada saat kesini cuaca sedang hujan gerimis sehingga harus berjalan agak jauh untuk memilih tempat duduk",positive
